UID,Symbol,Name,Half-lives in LB,Half-lives in M9
B0116,lpdA,lpdA lipoamide dehydrogenase (NADH); component of 2-oxodehydrogenase and pyruvate complexes; L-protein of glycine cleavage complex ,,5.8
B0117,yacH,yacH putative membrane protein ,,6.6
B0118,acnB,acnB aconitate hydrase B ,11.9,2.1
B0119,yacL,"yacL orf, hypothetical protein ",12.9,3.9
B0120,speD,speD S-adenosylmethionine decarboxylase ,10.6,9.7
B0121,speE,speE spermidine synthase = putrescine aminopropyltransferase ,,4.4
B0122,yacC,"yacC orf, hypothetical protein ",,6.9
B0125,hpt,hpt hypoxanthine phosphoribosyltransferase ,4,6.3
B0126,yadF,yadF putative carbonic anhdrase (EC 4.2.1.1) ,1.9,2.5
B0127,yadG,yadG putative ATP-binding component of a transport system ,3.4,4.1
B0128,yadH,"yadH orf, hypothetical protein ",,3.8
B0129,yadI,yadI putative PTS enzyme II B component ,,4.7
B0130,yadE,"yadE orf, hypothetical protein ",8.4,6
B0131,panD,panD aspartate 1-decarboxylase ,4.1,2.6
B0132,yadD,"yadD orf, hypothetical protein ",,4.9
B0133,panC,panC pantothenate synthetase ,4.2,4.3
B0134,panB,panB 3-methyl-2-oxobutanoate hydroxymethyltransferase ,4.1,4
B0135,yadC,yadC putative fimbrial-like protein ,6.1,8.5
B0136,yadK,yadK putative fimbrial protein ,6.8,5.2
B0137,yadL,yadL putative fimbrial protein ,4.9,9.1
B0138,yadM,yadM putative fimbrial-like protein ,,4.2
B0140,ecpD,ecpD probable pilin chaperone similar to PapD ,,5.8
B0141,yadN,yadN putative fimbrial-like protein ,12.1,7.3
B0142,folK,"folK 7,8-dihydro-6-hydroxymethylpterin- pyrophosphokinase ",4.4,3
B0143,pcnB,pcnB poly(A) polymerase I ,4.7,4.8
B0144,yadB,yadB putative tRNA synthetase ,,5.3
B0145,dksA,dksA dnaK suppressor protein ,,4.7
B0146,sfsA,sfsA probable regulator for maltose metabolism ,14.8,4.8
B0147,yadP,"yadP orf, hypothetical protein ",,4.6
B0150,fhuA,"fhuA outer membrane protein receptor for ferrichrome, colicin M, and phages T1, T5, and phi80 ",3.1,2.1
B0151,fhuC,fhuC ATP-binding component of hydroxymate-dependent iron transport ,,4.4
B0152,fhuD,"fhuD hydroxamate-dependent iron uptake, cytoplasmic membrane component ",4.9,3.3
B0153,fhuB,"fhuB hydroxamate-dependent iron uptake, cytoplasmic membrane component ",5.2,4.4
B0154,hemL,hemL glutamate-1-semialdehyde aminotransferase (aminomutase) ,,5.8
B0155,yadQ,yadQ putative channel transporter ,3.5,4
B0157,yadS,"yadS orf, hypothetical protein ",6.2,5.2
B0158,yadT,"yadT orf, hypothetical protein ",5.9,4.3
B0159,pfs,"pfs orf, hypothetical protein ",,
B0160,dgt,dgt deoxyguanosine triphosphate triphosphohydrolase ,,4.2
B0161,htrA,htrA periplasmic serine protease Do; heat shock protein HtrA ,3.1,3.4
B0162,yaeG,"yaeG orf, hypothetical protein ",6.4,7.4
B0163,yaeH,yaeH putative structural protein ,7.6,13.7
B0164,yaeI,"yaeI orf, hypothetical protein ",5.2,7
B0165,B0165,"B0165 orf, hypothetical protein ",,
B0166,dapD,"dapD 2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase ",1.8,3.7
B0167,glnD,glnD protein PII; uridylyltransferase acts on regulator of glnA ,4.6,2.6
B0168,map,map methionine aminopeptidase ,,3.1
B0169,rpsB,rpsB 30S ribosomal subunit protein S2 ,,4.4
B0170,tsf,tsf protein chain elongation factor EF-Ts ,,3.1
B0171,pyrH,pyrH uridylate kinase ,,3.9
B0172,frr,frr ribosome releasing factor ,5.4,2.7
B0173,yaeM,yaeM putative ATP-binding component of a transport system ,2,4.2
B0174,yaeS,"yaeS orf, hypothetical protein ",2.4,2.5
B0175,cdsA,cdsA CDP-diglyceride synthetase ,4.8,4.3
B0176,yaeL,"yaeL orf, hypothetical protein ",1.8,3
B0177,yaeT,"yaeT orf, hypothetical protein ",1.6,2.2
B0178,hlpA,"hlpA histone-like protein, located in outer membrane or nucleoid ",,
B0179,lpxD,lpxD UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase; third step of endotoxin (lipidA) synthesis ,2,3.1
B0180,fabZ,fabZ (3R)-hydroxymyristol acyl carrier protein dehydratase ,,5.7
B0181,lpxA,lpxA UDP-N-acetylglucosamine acetyltransferase; lipid A biosynthesis ,,7.7
B0182,lpxB,"lpxB tetraacyldisaccharide-1-P; lipid A biosynthesis, penultimate step ",4.6,6.7
B0183,rnhB,"rnhB RNAse HII, degrades RNA of DNA-RNA hybrids ",,5.4
B0184,dnaE,"dnaE DNA polymerase III, alpha subunit ",6,
B0185,accA,"accA acetylCoA carboxylase, carboxytransferase component, alpha subunit ",3.6,6.1
B0186,ldcC,"ldcC lysine decarboxylase 2, constitutive ",4.5,5
B0187,yaeR,"yaeR orf, hypothetical protein ",,5.2
B0188,mesJ,mesJ cell cycle protein ,6.5,4.2
B0189,yaeO,"yaeO orf, hypothetical protein ",5.6,4.6
B0190,yaeQ,"yaeQ orf, hypothetical protein ",5.9,5
B0191,yaeJ,"yaeJ orf, hypothetical protein ",,5
B0192,cutF,cutF copper homeostasis protein (lipoprotein) ,6.2,4.2
B0193,yaeF,"yaeF orf, hypothetical protein ",,6.1
B0194,proS,proS proline tRNA synthetase ,,2.8
B0195,yaeB,"yaeB orf, hypothetical protein ",3.3,6.6
B0196,rcsF,rcsF regulator in colanic acid synthesis; interacts with RcsB ,,3.5
B0197,yaeC,yaeC putative lipoprotein ,3.3,6.5
B0198,yaeE,yaeE putative transport system permease protein ,,2.5
B0199,abc,abc ATP-binding component of a transporter ,5.1,
B0200,yaeD,yaeD putative phosphatase ,,3.4
B0207,yafB,yafB putative aldose reductase (EC 1.1.1.21) ,,5.4
B0208,yafC,yafC putative transcriptional regulator LYSR-type ,3.5,6.1
B0209,yafD,"yafD orf, hypothetical protein ",3.9,2.3
B0210,yafE,yafE putative biotin synthesis protein ,,3.4
B0211,dniR,dniR transcriptional regulator for nitrite reductase (cytochrome c552) ,2.4,2.2
B0212,gloB,gloB probable hydroxyacylglutathione hydrolase ,,23
B0213,yafS,"yafS orf, hypothetical protein ",4.5,4
B0214,rnhA,"rnhA RNase HI, degrades RNA of DNA-RNA hybrids, participates in DNA replication ",5,5.4
B0215,dnaQ,"dnaQ DNA polymerase III, epsilon subunit ",6.1,4.8
B0217,yafT,yafT putative aminopeptidase ,5.8,6.6
B0218,yafU,"yafU orf, hypothetical protein ",,6.8
B0219,yafV,yafV putative EC 3.5. amidase-type enzyme ,,4.2
B0220,ykfE,"ykfE orf, hypothetical protein ",,7
B0221,yafH,yafH putative acyl-CoA dehydrogenase (EC 1.3.99.-) ,,6.7
B0222,gmhA,gmhA phosphoheptose isomerase ,2.8,5.3
B0223,yafJ,yafJ putative amidotransferase ,2.2,2.3
B0224,yafK,"yafK orf, hypothetical protein ",5.2,2.6
B0225,yafQ,"yafQ orf, hypothetical protein ",7.3,4.9
B0226,dinJ,dinJ damage-inducible protein J ,4.2,2.8
B0227,yafL,yafL putative lipoprotein ,,6.6
B0228,yafM,"yafM orf, hypothetical protein ",5.2,8.4
B0229,fhiA,fhiA flagellar biosynthesis ,,5.4
B0230,mbhA,mbhA putative motility protein ,5,7.6
B0231,dinP,dinP damage-inducible protein P; putative tRNA synthetase ,4.7,5.6
B0232,yafN,"yafN orf, hypothetical protein ",,7.3
B0233,yafO,"yafO orf, hypothetical protein ",7.3,5.2
B0234,yafP,"yafP orf, hypothetical protein ",6.5,7.7
B0235,B0235,"B0235 orf, hypothetical protein ",,5.5
B0236,prfH,prfH probable peptide chain release factor ,4.7,6.7
B0237,pepD,pepD aminoacyl-histidine dipeptidase (peptidase D) ,,3.8
B0238,gpt,gpt guanine-hypoxanthine phosphoribosyltransferase ,2.8,
B0239,yafA,"yafA orf, hypothetical protein ",,3.7
B0240,crl,crl transcriptional regulator of cryptic csgA gene for curli surface fibers ,7.5,3.2
B0241,phoE,"phoE outer membrane pore protein E (E,Ic,NmpAB) ",,7.2
B0242,proB,proB gamma-glutamate kinase ,5.9,3.5
B0243,proA,proA gamma-glutamylphosphate reductase ,3.8,2.6
B0245,B0245,"B0245 orf, hypothetical protein ",4.5,7.1
B0246,yafW,"yafW orf, hypothetical protein ",4.4,6.3
B0247,ykfG,ykfG putative DNA repair protein ,,5.6
B0248,yafX,"yafX orf, hypothetical protein ",3.9,5.2
B0249,ykfF,"ykfF orf, hypothetical protein ",,7.9
B0250,ykfB,"ykfB orf, hypothetical protein ",4.8,6.5
B0251,yafY,"yafY orf, hypothetical protein ",,5.2
B0252,yafZ,"yafZ orf, hypothetical protein ",,8.8
B0253,ykfA,ykfA putative GTP-binding protein ,6,4.7
B0254,perR,perR putative transcriptional regulator LYSR-type ,,
B0255,yi91a,"yi91a IS911 hypothetical protein, variant (IS911A) ",,6.7
B0256,tra8_1,tra8_1 IS30 transposase ,,4.3
B0257,B0257,B0257 putative transposase ,4.8,3.5
B0258,ykfC,"ykfC orf, hypothetical protein ",,4.8
B0259,trs5_1,trs5_1 IS5 transposase ,,7.3
B0260,ykfD,ykfD putative amino acid/amine transport protein ,,4.8
B0261,yagD,yagD putative enzyme ,3.8,3.1
B0262,afuC,afuC putative ATP-binding component of a transport system ,,4.6
B0263,B0263,B0263 putative transport system permease protein ,,5.4
B0264,insB_2,insB_2 IS1 protein InsB ,4.8,3.6
B0265,insA_2,insA_2 IS1 protein InsA ,9.4,4.7
B0266,yagB,"yagB orf, hypothetical protein ",,6.6
B0267,yagA,"yagA orf, hypothetical protein ",,9.8
B0268,yagE,yagE putative lyase/synthase ,,7.9
B0270,yagG,yagG putative permease ,4.2,8.7
B0272,yagI,yagI putative regulator ,3.8,6.8
B0273,argF,"argF ornithine carbamoyltransferase 2, chain F ",8,5.7
B0274,insB_3,insB_3 IS1 protein InsB ,7.5,3.5
B0275,insA_3,insA_3 IS1 protein InsA ,8.2,3.1
B0276,yagJ,"yagJ orf, hypothetical protein ",,4.7
B0277,yagK,"yagK orf, hypothetical protein ",5.4,7.3
B0278,yagL,yagL DNA-binding protein ,,5.8
B0279,yagM,"yagM orf, hypothetical protein ",6.3,6.5
B0280,yagN,"yagN orf, hypothetical protein ",,5.2
B0281,intF,intF putative phage integrase ,6.9,6.3
B0282,yagP,yagP putative transcriptional regulator LYSR-type ,,7.4
B0283,yagQ,"yagQ orf, hypothetical protein ",,7.6
B0284,yagR,"yagR orf, hypothetical protein ",,4.8
B0285,yagS,"yagS orf, hypothetical protein ",4.3,6.3
B0286,yagT,yagT putative xanthine dehydrogenase (EC 1.1.1.20) ,8.7,7.6
B0287,yagU,"yagU orf, hypothetical protein ",4.8,4.4
B0288,ykgJ,ykgJ putative ferredoxin ,5.4,5.6
B0289,yagV,"yagV orf, hypothetical protein ",,7.5
B0290,yagW,yagW putative receptor ,,
B0291,yagX,yagX putative enzyme ,3.5,6.6
B0292,yagY,"yagY orf, hypothetical protein ",6,5.4
B0293,yagZ,"yagZ orf, hypothetical protein ",7.1,7.6
B0294,ykgK,ykgK putative regulator ,,5.7
B0295,ykgL,"ykgL orf, hypothetical protein ",,
B0296,ykgM,ykgM putative ribosomal protein ,8.5,6.5
B0297,eaeH,"eaeH attaching and effacing protein, pathogenesis factor ",7.3,
B0298,B0298,B0298 putative factor ,,5.5
B0299,tra5_5,tra5_5 IS3 putative transposase ,,4.1
B0300,ykgA,ykgA putative ARAC-type regulatory protein ,4.3,5.2
B0301,ykgB,"ykgB orf, hypothetical protein ",,6.3
B0302,B0302,"B0302 orf, hypothetical protein ",,
B0303,ykgI,"ykgI orf, hypothetical protein ",,
B0304,ykgC,ykgC putative oxidoreductase ,,7.1
B0305,ykgD,ykgD putative ARAC-type regulatory protein ,,6.8
B0306,ykgE,ykgE putative dehydrogenase subunit ,,
B0307,ykgF,"ykgF orf, hypothetical protein ",,6.5
B0308,ykgG,ykgG putative transporter ,,4.9
B0309,B0309,"B0309 orf, hypothetical protein ",,5.2
B0310,ykgH,"ykgH orf, hypothetical protein ",4.6,8.5
B0311,BetA,"BetA choline dehydrogenase, a flavoprotein ",,6.4
B0312,BetB,BetB NAD+-dependent betaine aldehyde dehydrogenase ,6.2,5.5
B0313,BetI,BetI probably transcriptional repressor of bet genes ,,5.4
B0314,BetT,BetT high-affinity choline transport ,,11.7
B0315,yahA,"yahA orf, hypothetical protein ",4.5,7.5
B0316,yahB,yahB putative transcriptional regulator LYSR-type ,,8.3
B0317,yahC,"yahC orf, hypothetical protein ",5.6,7
B0318,yahD,yahD putative transcription factor ,,6.4
B0319,yahE,"yahE orf, hypothetical protein ",,7.6
B0320,yahF,yahF putative oxidoreductase subunit ,,10.7
B0321,yahG,"yahG orf, hypothetical protein ",,6.6
B0323,yahI,yahI putative kinase (EC 2.7.2.2). ,,6
B0325,yahK,yahK putative oxidoreductase ,,5.7
B0326,yahL,"yahL orf, hypothetical protein ",,6.1
B0327,yahM,"yahM orf, hypothetical protein ",,6.5
B0328,yahN,yahN putative cytochrome subunit of dehydrogenase ,5.3,7.1
B0329,yahO,"yahO orf, hypothetical protein ",9,
B0330,prpR,prpR regulator for prp operon ,,4.4
B0331,prpB,prpB putative phosphonomutase 2 ,,9.2
B0332,B0332,"B0332 orf, hypothetical protein ",,5.7
B0333,prpC,prpC putative citrate synthase; propionate metabolism? ,5.2,8.1
B0334,prpD,"prpD orf, hypothetical protein ",,8.2
B0335,prpE,prpE putative propionyl-CoA synthetase ,7.2,10.6
B0336,codB,codB cytosine permease/transport ,,8.7
B0337,codA,codA cytosine deaminase ,,6.1
B0339,cynT,cynT carbonic anhydrase ,,5.7
B0340,cynS,"cynS cyanate aminohydrolase, cyanase ",,4.5
B0341,cynX,cynX cyanate transport ,,12.9
B0342,lacA,lacA thiogalactoside acetyltransferase ,,7.1
B0343,lacY,lacY galactoside permease (M protein) ,,7.9
B0344,lacZ,lacZ Beta-D-galactosidase ,,10.4
B0345,lacI,lacI transcriptional repressor of the lac operon ,3.8,5.7
B0346,mhpR,mhpR transcriptional regulator for mhp operon ,6.2,5.2
B0347,mhpA,mhpA 3-(3-hydroxyphenyl)propionate hydroxylase ,,7.3
B0348,mhpB,"mhpB 2,3-dihydroxyphenylpropionate 1,2-dioxygenase ",,
B0349,mhpC,"mhpC 2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase ",5.6,8.1
B0350,mhpD,mhpD 2-keto-4-pentenoate hydratase ,,5.9
B0351,mhpF,mhpF acetaldehyde dehydrogenase ,,
B0352,mhpE,mhpE 4-hydroxy-2-ketovalerate aldolase ,3.7,7.1
B0353,mhpT,mhpT putative transport protein ,,7.1
B0354,yaiL,yaiL nucleoprotein/polynucleotide-associated enzyme ,3.2,3.9
B0355,yaiM,yaiM putative esterase (EC 3.1.1.1) ,,4.8
B0356,adhC,"adhC alcohol dehydrogenase class III; formaldehyde dehydrogenase, glutathione-dependent ",15.4,13.6
B0357,yaiN,yaiN putative alpha helix chain ,,7.8
B0358,yaiO,"yaiO orf, hypothetical protein ",,8.6
B0359,B0359,B0359 putative transferase ,,9.6
B0360,yi21_1,yi21_1 IS2 hypothetical protein ,4.7,5.4
B0361,yi22_1,yi22_1 IS2 hypothetical protein ,3.1,2.1
B0362,B0362,"B0362 orf, hypothetical protein ",4,4.7
B0363,yaiP,yaiP polysaccharide metabolism ,5.7,6.1
B0364,yaiS,"yaiS orf, hypothetical protein ",5.9,6
B0365,tauA,tauA taurine transport system periplasmic protein ,,6.4
B0366,tauB,tauB taurine ATP-binding component of a transport system ,,5.6
B0367,tauC,tauC taurine transport system permease protein ,,7.8
B0368,tauD,"tauD taurine dioxygenase, 2-oxoglutarate-dependent ",,7.3
B0369,hemB,hemB 5-aminolevulinate dehydratase = porphobilinogen synthase ,,3.4
B0370,B0370,"B0370 orf, hypothetical protein ",,4.3
B0371,yaiT,"yaiT orf, hypothetical protein ",,8.5
B0372,tra5_1,tra5_1 IS3 putative transposase ,,
B0373,B0373,B0373 putative factor ,6.3,6.2
B0374,yaiU,yaiU putative flagellin structural protein ,5.2,6.1
B0376,yaiH,yaiH putative enzyme ,5.1,6.4
B0377,sbmA,"sbmA sensitivity to microcin B17, possibly envelop protein ",1.9,4.8
B0378,yaiW,"yaiW orf, hypothetical protein ",1.8,4.8
B0379,B0379,"B0379 orf, hypothetical protein ",4.8,4.7
B0380,B0380,"B0380 orf, hypothetical protein ",,7.7
B0381,ddlA,ddlA D-alanine-D-alanine ligase A ,4.4,4.1
B0382,yaiB,"yaiB orf, hypothetical protein ",9.7,7.5
B0383,phoA,phoA alkaline phosphatase ,,5.1
B0384,psiF,psiF induced by phosphate starvation ,,5.2
B0385,yaiC,"yaiC orf, hypothetical protein ",,7.5
B0386,proC,proC pyrroline-5-carboxylate reductase ,,5.4
B0387,yaiI,"yaiI orf, hypothetical protein ",,5.8
B0388,aroL,aroL shikimate kinase II ,5.7,2.3
B0389,yaiA,"yaiA orf, hypothetical protein ",,
B0390,aroM,"aroM protein of aro operon, regulated by aroR ",5.3,3.7
B0391,yaiE,"yaiE orf, hypothetical protein ",6.5,9.2
B0392,B0392,"B0392 orf, hypothetical protein ",3.9,6.6
B0393,yaiD,"yaiD orf, hypothetical protein ",2.5,4.5
B0394,yajF,yajF possible NAGC-like transcriptional regulator ,6.6,5.1
B0395,B0395,"B0395 orf, hypothetical protein ",,4.5
B0396,araJ,araJ involved in either transport or processing of arabinose polymers ,,6.1
B0397,sbcC,sbcC ATP-dependent dsDNA exonuclease ,2.1,3.9
B0398,sbcD,sbcD ATP-dependent dsDNA exonuclease ,4.6,5.9
B0399,phoB,"phoB positive response regulator for pho regulon, sensor is PhoR (or CreC) ",4.3,4.9
B0400,phoR,phoR positive and negative sensor protein for pho regulon ,5.7,4.2
B0401,BrnQ,BrnQ Branched chain amino acid transport system II carrier protein ,,
B0402,proY,proY proline permease transport protein ,4,4.5
B0404,yajB,yajB putative glycoprotein ,4.6,6
B0405,queA,queA synthesis of queuine in tRNA; probably S-adenosylmethionine:tRNA ribosyltransferase-isomerase ,4,15.9
B0406,tgt,tgt tRNA-guanine transglycosylase ,4.2,4.2
B0407,yajC,"yajC orf, hypothetical protein ",5.5,4.5
B0408,secD,"secD protein secretion; membrane protein, part of the channel ",1.4,2.8
B0409,secF,"secF protein secretion, membrane protein ",2.4,4.9
B0410,yajD,"yajD orf, hypothetical protein ",4.6,7.6
B0411,tsx,tsx nucleoside channel; receptor of phage T6 and colicin K ,2.8,4.1
B0412,yajI,"yajI orf, hypothetical protein ",,
B0413,ybaD,"ybaD orf, hypothetical protein ",5.9,4.8
B0414,ribD,ribD Bifunctional pyrimidine deaminase/reductase in pathway of riboflavin synthesis ,3.1,3.4
B0415,ribH,"ribH riboflavin synthase, beta chain ",3.1,3.5
B0416,nusB,nusB transcription termination; L factor ,3.4,3.3
B0417,thiL,thiL thiamin-monophosphate kinase ,,2.5
B0418,pgpA,pgpA phosphatidylglycerophosphatase ,2.5,2.9
B0419,yajO,yajO putative NAD(P)H-dependent xylose reductase ,4,3.9
B0420,dxs,dxs 1-deoxyxylulose-5-phosphate synthase; flavoprotein ,1.6,2.2
B0421,ispA,ispA geranyltranstransferase (farnesyldiphosphate synthase) ,3.7,3.9
B0422,xseB,"xseB exonuclease VII, small subunit ",5,
B0423,yajK,yajK putative oxidoreductase ,,5.8
B0424,thiJ,thiJ 4-methyl-5(beta-hydroxyethyl)-thiazole monophosphate synthesis ,,5.1
B0425,apbA,"apbA involved in thiamin biosynthesis, alternative pyrimidine biosynthesis ",2.8,4
B0426,yajQ,"yajQ orf, hypothetical protein ",,4.1
B0427,yajR,yajR putative transport protein ,3.6,9.4
B0428,cyoE,cyoE protoheme IX farnesyltransferase (haeme O biosynthesis) ,,5.2
B0429,cyoD,cyoD cytochrome o ubiquinol oxidase subunit IV ,,4.3
B0430,cyoC,cyoC cytochrome o ubiquinol oxidase subunit III ,7.4,3.2
B0431,cyoB,cyoB cytochrome o ubiquinol oxidase subunit I ,,3.3
B0432,cyoA,cyoA cytochrome o ubiquinol oxidase subunit II ,4.8,3.2
B0433,ampG,ampG regulates beta-lactamase synthesis ,3.7,5.4
B0434,yajG,yajG putative polymerase/proteinase ,2.9,
B0435,BolA,BolA possible regulator of murein genes ,5.2,
