CPLX0-8083	IscR-2Fe-2S DNA binding transcriptional repressor		((CPD-6, 1) (G7326-MONOMER, 1))
MONOMER-51	FadR-acyl-CoA		((ACYL-COA, 1) (PD01520, 1))
CPLX0-7605	IclR-pyruvate DNA-binding transcriptional repressor		((PYRUVATE, 1) (PD04099, 1))
CPLX0-8057	GlpR-glycerol		((GLYCEROL, 1) (PD03576, 1))
MONOMER0-165	XylR-Xylose DNA-binding transcriptional activator		((XYLOSE, 1) (EG20253-MONOMER, 1))
MONOMER0-162	TyrR-Tyrosine DNA-binding transcriptional repressor		((TYR, 1) (PD00413, 1))
CPLX0-7671	ArgP-arginine  DNA binding transcriptional dual regulator		((ARG, 1) (CPLX0-7669, 1) (EG10490-MONOMER, 2))
MONOMER0-159	LacI-allolactose		((ALLOLACTOSE, 1) (PD00763, 1))
CPLX0-2781	CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator		((ACETYLSERINE, 1) (PC00040, 1) (PD00232, 4))
CPLX0-7650	FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator		((FUCULOSE-1P, 1) (PD00444, 1))
MONOMER0-183	FhlA-Formate DNA-binding transcriptional activator		((FORMATE, 1) (PD02936, 1))
CPLX0-8070	DksA-ppGpp		((GUANOSINE-5DP-3DP, 1) (EG10230-MONOMER, 1))
CPLX0-8077	ExuR-lysine		((LYS, 1) (PD03270, 1))
MONOMER0-164	CynR-Cyanate DNA-binding transcriptional activator		((CPD-69, 1) (PD00291, 1))
CPLX-124	RhaS-L-rhamnose DNA-binding transcriptional activator		((RHAMNOSE, 1) (PC00086, 1) (PD00221, 2))
CPLX0-7541	AlaS-L-alanine		((L-ALPHA-ALANINE, 1) (ALAS-MONOMER, 1))
CPLX0-7743	MprA-CCCP		((CPD-7970, 1) (EG10603-MONOMER, 1))
CPLX0-7736	ArsR-arsenite		((CPD-763, 1) (EG12235-MONOMER, 1))
CPLX0-7751	NsrR-nitric oxide		((NITRIC-OXIDE, 1) (EG11212-MONOMER, 1))
CPLX0-8074	ComR-Cu(I)		((CU+, 1) (G6569-MONOMER, 1))
CPLX0-8079	ChbR-<i>N</i>-monoacetylchitobiose-6-phosphate		((DIACETYLCHITOBIOSE-6-PHOSPHATE, 1) (EG10143-MONOMER, 1))
CPLX0-7749	LsrR-DHPD		((DIHYDROXYPENTANEDIONE, 1) (G6799-MONOMER, 1))
CPLX0-8076	ArgR-arg		((ARG, 1) (PD00194, 1))
CPLX0-6	ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator		((CPD-3, 1) (CPLX0-2541, 1) (MONOMER0-185, 2))
CPLX0-8075	YjiE-hypochlorite DNA-binding transcriptional dual regulator		((CPD-12800, 1) (CPLX0-7970, 1) (G7924-MONOMER, 2))
MONOMER0-163	TyrR-Phenylalanine DNA-binding transcriptional repressor		((PHE, 1) (PD00413, 1))
CPLX0-7618	RcnR-nickel		((NI+2, 1) (G7137-MONOMER, 1))
MONOMER0-157	MetJ-S-adenosylmethionine		((S-ADENOSYLMETHIONINE, 1) (PD04032, 1))
CPLX0-8060	GcvA-gly		((GLY, 1) (PD00339, 1))
CPLX-172	AraC-Arabinose DNA-binding transcriptional activator		((ARABINOSE, 1) (PC00003, 1) (PD00242, 2))
CPLX0-7606	IclR-glyox		((GLYOX, 1) (CPLX0-7605, 1) (PD04099, 1) (PYRUVATE, 1))
MONOMER0-49	BetI-choline		((CHOLINE, 1) (PD00251, 1))
CPLX0-7619	RcnR-Co<SUP>2+</SUP>		((CO+2, 1) (G7137-MONOMER, 1))
MONOMER0-155	Lrp-Leucine DNA-binding transcriptional dual regulator		((LEU, 1) (PD00353, 1))
CPLX0-228	ArgR-L-arginine DNA-binding transcriptional dual regulator		((ARG, 1) (PC00005, 1) (PD00194, 6))
MONOMER0-941	GcvR-gly		((GLY, 1) (EG11149-MONOMER, 1))
MONOMER0-160	DnaA-ATP transcriptional dual regulator		((ATP, 1) (PD03831, 1))
CPLX0-8071	AllR-allantoin		((ALLANTOIN, 1) (G6276-MONOMER, 1))
CPLX0-7746	MurR-MurNAc-6-P		((CPD0-881, 1) (G7262-MONOMER, 1))
MONOMER0-158	MalT-Maltotriose-ATP DNA-binding transcriptional activator		((ATP, 1) (MALTOTRIOSE, 1) (PD00237, 1))
MONOMER-59	PdhR-pyruvate		((PYRUVATE, 1) (EG11088-MONOMER, 1))
CPLX0-7739	ArsR-antimonite		((ANTIMONITE, 1) (EG12235-MONOMER, 1))
MONOMER-56	GutR-sorbitol		((SORBITOL, 1) (PD00283, 1))
CPLX0-7729	PaaX-phenylacetyl-CoA		((CPD-207, 1) (G6720-MONOMER, 1))
CPLX0-7715	IlvY-2-acetolactate DNA binding transcriptional dual regulator		((2-ACETO-LACTATE, 1) (PD00200, 1))
CPLX0-8061	NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor		((ZN+2, 1) (EG11320-MONOMER, 1))
CPLX0-8058	RutR-thymine		((THYMINE, 1) (PD01352, 1))
MONOMER-58	MarR-salicylate		((CPD-110, 1) (PD00364, 1))
CPLX0-7716	NemR-<i>N</i>-ethylmaleimide		((N-ETHYLMALEIMIDE, 1) (G6889-MONOMER, 1))
CPLX0-8069	YqjI-nickel		((NI+2, 1) (G7594-MONOMER, 1))
CPLX0-7701	MntR-Mn<sup>2+</sup>		((MN+2, 1) (G6420-MONOMER, 1))
CPLX0-7702	CueR-Cu(I)		((CU+, 1) (G6263-MONOMER, 1))
MONOMER0-1301	IdnR-5-ketogluconate DNA-binding transcriptional dual regulator		((G7891-MONOMER, 1))
MONOMER0-1781	NikR-Ni transcriptional repressor		((NI+2, 1) (EG11519-MONOMER, 1))
CPLX0-7651	RutR-uracil		((URACIL, 1) (PD01352, 1))
CPLX0-7714	DsdC-D-serine DNA binding transcriptional dual regulator		((D-SERINE, 1) (CPLX0-7713, 1) (PD00297, 2))
