2Fe-2S cluster-containing protein	G6988-MONOMER					(yeaW)	(G6988)	
2Fe-2S cluster-containing protein	CPLX0-7675							
2Fe-2S cluster-containing protein involved in diferric-tyrosyl radical cofactor maintenance	EG12360-MONOMER					(yfaE)	(EG12360)	((cytosol, CCO-CYTOSOL))
3-(2,3-dihydroxyphenyl)propionate dioxygenase monomer	DHPDIOXYGEN-MONOMER					(mhpB)	(M011)	
3-(3-hydroxyphenyl)propionate 2-hydroxylase	MHPHYDROXY-MONOMER					(mhpA)	(M010)	
3-dehydroquinate dehydratase	AROD-CPLX							
3-dehydroquinate synthase	AROB-MONOMER					(aroB)	(EG10074)	((cytosol, CCO-CYTOSOL))
3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase	KDO-8PPHOSPHAT-CPLX							
3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase monomer	G7663-MONOMER					(kdsC)	(G7663)	
3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase	KDO-8PSYNTH-MONOMER					(kdsA)	(EG10518)	((cytosol, CCO-CYTOSOL))
3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase	KDO-8PSYNTH-CPLX							
3-deoxy-D-<i>manno</i>-octulosonate cytidylyltransferase	CPM-KDOSYNTH-MONOMER					(kdsB)	(EG10519)	((cytosol, CCO-CYTOSOL))
3-hydroxy acid dehydrogenase	CPLX0-1962							
3-hydroxy acid dehydrogenase monomer	EG12345-MONOMER					(ydfG)	(EG12345)	
3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	FABZ-CPLX							
3-hydroxyadipyl-CoA dehydrogenase (NAD<sup>+</sup>)	G6716-MONOMER					(paaH)	(G6716)	
3-hydroxydecanoyl-[acp] dehydrase	FABA-CPLX							
3-hydroxyphenylpropionate / 3-hydroxycinnamate:H<sup>+</sup> symporter	MHPT-MONOMER					(mhpT)	(G6206)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
3-isopropylmalate dehydrogenase	3-ISOPROPYLMALDEHYDROG-CPLX							
3-keto-L-gulonate 6-phosphate decarboxylase	EG12285-MONOMER					(sgbH)	(EG12285)	
3-keto-L-gulonate 6-phosphate decarboxylase	G7858-MONOMER					(ulaD)	(G7858)	
3-keto-L-gulonate 6-phosphate decarboxylase	CPLX0-7744							
3-ketoacyl-CoA thiolase	FADA-MONOMER					(fadA)	(EG10278)	((cytosol, CCO-CYTOSOL))
3-methyl-2-oxobutanoate hydroxymethyltransferase	3-METHYL-2-OXOBUT-OHCH3XFER-CPLX							
3-methyl-2-oxobutanoate hydroxymethyltransferase monomer	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER					(panB)	(EG11675)	((membrane, CCO-MEMBRANE) (cytosol, CCO-CYTOSOL))
3-methyl-adenine DNA glycosylase I, constitutive	EG10986-MONOMER					(tag)	(EG10986)	((cytosol, CCO-CYTOSOL))
3-methyl-adenine DNA glycosylase II, inducible	EG11222-MONOMER					(alkA)	(EG11222)	((cytosol, CCO-CYTOSOL))
3-octaprenyl-4-hydroxybenzoate carboxy-lyase	CPLX0-301							
3-octaprenyl-4-hydroxybenzoate carboxy-lyase monomer	EG11396-MONOMER					(ubiD)	(EG11396)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
3-octaprenyl-4-hydroxybenzoate decarboxylase together with UbiG	UBIX-MONOMER					(ubiX)	(EG11044)	
3-oxo-acyl-[acyl-carrier-protein] reductase	3-OXOACYL-ACP-REDUCT-MONOMER					(fabG)	(EG11318)	((cytosol, CCO-CYTOSOL))
3-phenylpropionate dioxygenase system	HCAMULTI-CPLX							
3-phenylpropionate dioxygenase, &alpha; subunit	PHENYLPRODIOXY-MONOMER					(hcaE)	(M009)	
3-phenylpropionate dioxygenase, &beta; subunit	HCAA2-MONOMER					(hcaF)	(M015)	
3-phenylpropionate dioxygenase, predicted ferredoxin reductase subunit	HCAD-MONOMER					(hcaD)	(G7336)	((cytosol, CCO-CYTOSOL))
3-phenylpropionate dioxygenase, predicted ferredoxin subunit	HCAC-MONOMER					(hcaC)	(G7334)	
3-phosphoshikimate-1-carboxyvinyltransferase	AROA-MONOMER					(aroA)	(EG10073)	((cytosol, CCO-CYTOSOL))
3-phytase / glucose-1-phosphatase	GLUCOSE-1-PHOSPHAT-CPLX							((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
3,4-dihydroxy-2-butanone 4-phosphate synthase	DIOHBUTANONEPSYN-MONOMER					(ribB)	(EG10465)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (cytosol, CCO-CYTOSOL))
3,4-dihydroxy-2-butanone 4-phosphate synthase	DIOHBUTANONEPSYN-CPLX							
3'-phospho-adenylylsulfate reductase	PAPSSULFOTRANS-CPLX							
30S ribosomal subunit	CPLX0-3953							
30S ribosomal subunit protein S1	EG10900-MONOMER					(rpsA)	(EG10900)	((membrane, CCO-MEMBRANE) (cytosol, CCO-CYTOSOL))
30S ribosomal subunit protein S10	EG10909-MONOMER					(rpsJ)	(EG10909)	((cytosol, CCO-CYTOSOL) (ribosome, CCO-RIBOSOME))
30S ribosomal subunit protein S11	EG10910-MONOMER					(rpsK)	(EG10910)	((cytosol, CCO-CYTOSOL) (ribosome, CCO-RIBOSOME))
30S ribosomal subunit protein S12	EG10911-MONOMER					(rpsL)	(EG10911)	((cytosol, CCO-CYTOSOL) (ribosome, CCO-RIBOSOME))
30S ribosomal subunit protein S13	EG10912-MONOMER					(rpsM)	(EG10912)	((cytosol, CCO-CYTOSOL) (ribosome, CCO-RIBOSOME))
30S ribosomal subunit protein S14	EG10913-MONOMER					(rpsN)	(EG10913)	((cytosol, CCO-CYTOSOL) (ribosome, CCO-RIBOSOME))
30S ribosomal subunit protein S15	EG10914-MONOMER					(rpsO)	(EG10914)	((cytosol, CCO-CYTOSOL) (ribosome, CCO-RIBOSOME))
30S ribosomal subunit protein S16	EG10915-MONOMER					(rpsP)	(EG10915)	((cytosol, CCO-CYTOSOL) (ribosome, CCO-RIBOSOME))
