"Table 6. mRNA relative abundances in M9 + glucose and LB media"				
				
"This table contains the relative abundances for individual mRNAs in M9 + glucose"				
"and LB media. Relative abundances were determined by using mRNA harvested from"				
"cultures grown at 30ºC to OD600 = 0.8 as described in Materials and Methods. "				
"The data in this file were used as source data for Fig. 3A."				
				
			"Relative abundance "	"Relative abundance "
"B0111"	"ampE"	"ampE regulates ampC "	-2.251	-0.399
"B0112"	"aroP"	"aroP aromatic amino acid transport protein "	-2.043	1.328
"B0113"	"pdhR"	"pdhR transcriptional regulator for pyruvate dehydrogenase complex "	-0.445	0.387
"B0114"	"aceE"	"aceE pyruvate dehydrogenase (decarboxylase component) "	2.024	1.595
"B0115"	"aceF"	"aceF pyruvate dehydrogenase (dihydrolipoyltransacetylase component) "	1.599	1.846
"B0116"	"lpdA"	"lpdA lipoamide dehydrogenase (NADH); component of 2-oxodehydrogenase and pyruvate complexes; L-protein of glycine cleavage complex "	3.034	1.441
"B0117"	"yacH"	"yacH putative membrane protein "		-1.272
"B0118"	"acnB"	"acnB aconitate hydrase B "	3.55	1.029
"B0119"	"yacL"	"yacL orf, hypothetical protein "	1.498	0.764
"B0120"	"speD"	"speD S-adenosylmethionine decarboxylase "	2.957	0.797
"B0121"	"speE"	"speE spermidine synthase = putrescine aminopropyltransferase "	2.383	0.408
"B0122"	"yacC"	"yacC orf, hypothetical protein "		0.17
"B0123"	"yacK"	"yacK orf, hypothetical protein "	-1.651	0.375
"B0124"	"gcd"	"gcd glucose dehydrogenase "		1.352
"B0125"	"hpt"	"hpt hypoxanthine phosphoribosyltransferase "	-1.115	-0.027
"B0126"	"yadF"	"yadF putative carbonic anhdrase (EC 4.2.1.1) "	1.267	2.165
"B0127"	"yadG"	"yadG putative ATP-binding component of a transport system "	-1.329	-0.143
"B0128"	"yadH"	"yadH orf, hypothetical protein "		-0.706
"B0131"	"panD"	"panD aspartate 1-decarboxylase "	0.188	1.296
"B0132"	"yadD"	"yadD orf, hypothetical protein "		-0.741
"B0133"	"panC"	"panC pantothenate synthetase "	-0.41	0.536
"B0134"	"panB"	"panB 3-methyl-2-oxobutanoate hydroxymethyltransferase "	0.106	0.712
"B0138"	"yadM"	"yadM putative fimbrial-like protein "		-0.629
"B0141"	"yadN"	"yadN putative fimbrial-like protein "		
"B0142"	"folK"	"folK 7,8-dihydro-6-hydroxymethylpterin- pyrophosphokinase "	-1.333	-0.83
"B0143"	"pcnB"	"pcnB poly(A) polymerase I "	0.519	0.431
"B0144"	"yadB"	"yadB putative tRNA synthetase "		-0.574
"B0145"	"dksA"	"dksA dnaK suppressor protein "	2.15	2.101
"B0146"	"sfsA"	"sfsA probable regulator for maltose metabolism "	0.714	1.501
"B0147"	"yadP"	"yadP orf, hypothetical protein "		-0.206
"B0148"	"hrpB"	"hrpB helicase, ATP-dependent "	-2.125	-1.034
"B0149"	"mrcB"	"mrcB peptidoglycan synthetase; penicillin-binding protein 1B "		-0.982
"B0150"	"fhuA"	"fhuA outer membrane protein receptor for ferrichrome, colicin M, and phages T1, T5, and phi80 "	-1.511	1.519
"B0151"	"fhuC"	"fhuC ATP-binding component of hydroxymate-dependent iron transport "		-0.499
"B0152"	"fhuD"	"fhuD hydroxamate-dependent iron uptake, cytoplasmic membrane component "		-1.235
"B0153"	"fhuB"	"fhuB hydroxamate-dependent iron uptake, cytoplasmic membrane component "		-0.675
"B0154"	"hemL"	"hemL glutamate-1-semialdehyde aminotransferase (aminomutase) "	-0.428	-0.397
"B0155"	"yadQ"	"yadQ putative channel transporter "		-0.036
"B0156"	"yadR"	"yadR orf, hypothetical protein "	0.6	1.07
"B0157"	"yadS"	"yadS orf, hypothetical protein "		
"B0158"	"yadT"	"yadT orf, hypothetical protein "	-1.808	-1.077
"B0159"	"pfs"	"pfs orf, hypothetical protein "	0.618	0.561
"B0160"	"dgt"	"dgt deoxyguanosine triphosphate triphosphohydrolase "	-1.474	-0.941
"B0161"	"htrA"	"htrA periplasmic serine protease Do; heat shock protein HtrA "	-0.173	-0.292
"B0162"	"yaeG"	"yaeG orf, hypothetical protein "	-0.74	0.033
"B0163"	"yaeH"	"yaeH putative structural protein "	1.913	2.017
"B0164"	"yaeI"	"yaeI orf, hypothetical protein "		-0.813
"B0166"	"dapD"	"dapD 2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase "	0.081	1.544
"B0167"	"glnD"	"glnD protein PII; uridylyltransferase acts on regulator of glnA "	0.325	-0.671
"B0168"	"map"	"map methionine aminopeptidase "	0.371	0.643
"B0169"	"rpsB"	"rpsB 30S ribosomal subunit protein S2 "	2.566	2.139
"B0170"	"tsf"	"tsf protein chain elongation factor EF-Ts "	2.326	1.383
"B0171"	"pyrH"	"pyrH uridylate kinase "	0.702	-0.042
"B0172"	"frr"	"frr ribosome releasing factor "	1.932	1.622
"B0173"	"yaeM"	"yaeM putative ATP-binding component of a transport system "	-2.138	-1.037
"B0174"	"yaeS"	"yaeS orf, hypothetical protein "	0.202	0.245
"B0175"	"cdsA"	"cdsA CDP-diglyceride synthetase "	-0.663	-0.354
"B0176"	"yaeL"	"yaeL orf, hypothetical protein "	0.209	0.39
"B0177"	"yaeT"	"yaeT orf, hypothetical protein "	1.246	1.237
"B0178"	"hlpA"	"hlpA histone-like protein, located in outer membrane or nucleoid "	2.243	2.26
"B0179"	"lpxD"	"lpxD UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase; third step of endotoxin (lipidA) synthesis "	0.301	0.932
"B0180"	"fabZ"	"fabZ (3R)-hydroxymyristol acyl carrier protein dehydratase "	-0.081	0.878
"B0181"	"lpxA"	"lpxA UDP-N-acetylglucosamine acetyltransferase; lipid A biosynthesis "	-1.059	0.21
"B0182"	"lpxB"	"lpxB tetraacyldisaccharide-1-P; lipid A biosynthesis, penultimate step "	-1.576	-0.16
"B0183"	"rnhB"	"rnhB RNAse HII, degrades RNA of DNA-RNA hybrids "		-0.555
"B0184"	"dnaE"	"dnaE DNA polymerase III, alpha subunit "	-0.95	-0.17
"B0185"	"accA"	"accA acetylCoA carboxylase, carboxytransferase component, alpha subunit "	-0.273	0.798
"B0186"	"ldcC"	"ldcC lysine decarboxylase 2, constitutive "	-2.017	-0.011
"B0187"	"yaeR"	"yaeR orf, hypothetical protein "		0.51
"B0188"	"mesJ"	"mesJ cell cycle protein "		-0.488
"B0189"	"yaeO"	"yaeO orf, hypothetical protein "	0.278	0.917
"B0190"	"yaeQ"	"yaeQ orf, hypothetical protein "	-1.801	-0.51
"B0191"	"yaeJ"	"yaeJ orf, hypothetical protein "	-0.333	0.187
"B0192"	"cutF"	"cutF copper homeostasis protein (lipoprotein) "		-0.633
"B0193"	"yaeF"	"yaeF orf, hypothetical protein "		-0.281
"B0194"	"proS"	"proS proline tRNA synthetase "	0.442	0.325
"B0195"	"yaeB"	"yaeB orf, hypothetical protein "	-0.745	0.779
"B0196"	"rcsF"	"rcsF regulator in colanic acid synthesis; interacts with RcsB "	2.153	1.686
"B0197"	"yaeC"	"yaeC putative lipoprotein "	-0.643	2.579
"B0198"	"yaeE"	"yaeE putative transport system permease protein "	-1.39	1.669
"B0199"	"abc"	"abc ATP-binding component of a transporter "		1.899
"B0200"	"yaeD"	"yaeD putative phosphatase "	0.898	2.387
"B0207"	"yafB"	"yafB putative aldose reductase (EC 1.1.1.21) "	-0.649	1.475
"B0208"	"yafC"	"yafC putative transcriptional regulator LYSR-type "	-1.103	1.184
"B0209"	"yafD"	"yafD orf, hypothetical protein "	-1.848	1.138
"B0210"	"yafE"	"yafE putative biotin synthesis protein "		-0.091
"B0211"	"dniR"	"dniR transcriptional regulator for nitrite reductase (cytochrome c552) "	-0.006	0.988
"B0212"	"gloB"	"gloB probable hydroxyacylglutathione hydrolase "	-1.041	0.293
"B0213"	"yafS"	"yafS orf, hypothetical protein "		0.305
"B0214"	"rnhA"	"rnhA RNase HI, degrades RNA of DNA-RNA hybrids, participates in DNA replication "		-0.118
"B0215"	"dnaQ"	"dnaQ DNA polymerase III, epsilon subunit "	-1.554	0.113
"B0217"	"yafT"	"yafT putative aminopeptidase "		
"B0219"	"yafV"	"yafV putative EC 3.5. amidase-type enzyme "		-0.733
"B0220"	"ykfE"	"ykfE orf, hypothetical protein "	0.755	1.18
"B0221"	"yafH"	"yafH putative acyl-CoA dehydrogenase (EC 1.3.99.-) "		
"B0222"	"gmhA"	"gmhA phosphoheptose isomerase "	0.219	0.757
"B0223"	"yafJ"	"yafJ putative amidotransferase "	-0.575	0.354
"B0224"	"yafK"	"yafK orf, hypothetical protein "	-0.707	1.679
"B0225"	"yafQ"	"yafQ orf, hypothetical protein "		0.923
"B0226"	"dinJ"	"dinJ damage-inducible protein J "	0.073	1.07
"B0229"	"fhiA"	"fhiA flagellar biosynthesis "		-1.072
"B0230"	"mbhA"	"mbhA putative motility protein "		
"B0231"	"dinP"	"dinP damage-inducible protein P; putative tRNA synthetase "		-1.823
"B0234"	"yafP"	"yafP orf, hypothetical protein "		
"B0235"	"B0235"	"B0235 orf, hypothetical protein "		-1.037
"B0237"	"pepD"	"pepD aminoacyl-histidine dipeptidase (peptidase D) "	1.688	2.067
"B0238"	"gpt"	"gpt guanine-hypoxanthine phosphoribosyltransferase "	1.287	0.871
"B0239"	"yafA"	"yafA orf, hypothetical protein "	-0.723	-0.306
"B0240"	"crl"	"crl transcriptional regulator of cryptic csgA gene for curli surface fibers "	1.858	2.286
"B0241"	"phoE"	"phoE outer membrane pore protein E (E,Ic,NmpAB) "		-1.573
"B0242"	"proB"	"proB gamma-glutamate kinase "		-0.275
"B0243"	"proA"	"proA gamma-glutamylphosphate reductase "		0.269
"B0245"	"B0245"	"B0245 orf, hypothetical protein "		-0.176
"B0248"	"yafX"	"yafX orf, hypothetical protein "		-0.283
"B0249"	"ykfF"	"ykfF orf, hypothetical protein "		0.719
"B0250"	"ykfB"	"ykfB orf, hypothetical protein "		-0.468
"B0251"	"yafY"	"yafY orf, hypothetical protein "		
"B0252"	"yafZ"	"yafZ orf, hypothetical protein "		
"B0253"	"ykfA"	"ykfA putative GTP-binding protein "		-1.146
"B0254"	"perR"	"perR putative transcriptional regulator LYSR-type "		
"B0255"	"yi91a"	"yi91a IS911 hypothetical protein, variant (IS911A) "		
"B0256"	"tra8_1"	"tra8_1 IS30 transposase "	-1.59	-1.231
"B0257"	"B0257"	"B0257 putative transposase "		-0.9
"B0258"	"ykfC"	"ykfC orf, hypothetical protein "		
"B0259"	"trs5_1"	"trs5_1 IS5 transposase "	-0.803	-0.718
"B0260"	"ykfD"	"ykfD putative amino acid/amine transport protein "		-1.244
"B0263"	"B0263"	"B0263 putative transport system permease protein "		
"B0264"	"insB_2"	"insB_2 IS1 protein InsB "	-2.029	-0.798
"B0265"	"insA_2"	"insA_2 IS1 protein InsA "		-0.924
"B0267"	"yagA"	"yagA orf, hypothetical protein "		-2.677
"B0268"	"yagE"	"yagE putative lyase/synthase "		
"B0271"	"yagH"	"yagH putative beta-xylosidase (EC 3.2.1.37) "		-1.229
"B0272"	"yagI"	"yagI putative regulator "		
"B0273"	"argF"	"argF ornithine carbamoyltransferase 2, chain F "	-3.2	-1.951
"B0274"	"insB_3"	"insB_3 IS1 protein InsB "	-2.117	-0.818
"B0275"	"insA_3"	"insA_3 IS1 protein InsA "	-2.347	-0.857
"B0276"	"yagJ"	"yagJ orf, hypothetical protein "		-0.814
"B0280"	"yagN"	"yagN orf, hypothetical protein "	1.366	1.891
"B0281"	"intF"	"intF putative phage integrase "	-1.98	-0.518
"B0282"	"yagP"	"yagP putative transcriptional regulator LYSR-type "	-1.067	-0.17
"B0283"	"yagQ"	"yagQ orf, hypothetical protein "		-0.566
"B0284"	"yagR"	"yagR orf, hypothetical protein "	-1.505	-0.281
"B0285"	"yagS"	"yagS orf, hypothetical protein "		-0.83
"B0286"	"yagT"	"yagT putative xanthine dehydrogenase (EC 1.1.1.20) "		-1.14
"B0287"	"yagU"	"yagU orf, hypothetical protein "		0.372
"B0289"	"yagV"	"yagV orf, hypothetical protein "		-0.499
"B0290"	"yagW"	"yagW putative receptor "		-1.897
"B0291"	"yagX"	"yagX putative enzyme "		
"B0292"	"yagY"	"yagY orf, hypothetical protein "		
"B0295"	"ykgL"	"ykgL orf, hypothetical protein "		1.005
"B0296"	"ykgM"	"ykgM putative ribosomal protein "	1.5	3.991
"B0298"	"B0298"	"B0298 putative factor "		1.132
"B0299"	"tra5_5"	"tra5_5 IS3 putative transposase "	-2.201	-1.534
"B0300"	"ykgA"	"ykgA putative ARAC-type regulatory protein "		-0.988
"B0304"	"ykgC"	"ykgC putative oxidoreductase "		-0.702
"B0306"	"ykgE"	"ykgE putative dehydrogenase subunit "		
"B0307"	"ykgF"	"ykgF orf, hypothetical protein "	-1.835	
"B0308"	"ykgG"	"ykgG putative transporter "	-0.369	-0.064
"B0309"	"B0309"	"B0309 orf, hypothetical protein "		
"B0311"	"BetA"	"BetA choline dehydrogenase, a flavoprotein "	-1.886	-1.442
"B0312"	"BetB"	"BetB NAD+-dependent betaine aldehyde dehydrogenase "	-0.447	-0.454
"B0313"	"BetI"	"BetI probably transcriptional repressor of bet genes "	1.199	0.481
"B0315"	"yahA"	"yahA orf, hypothetical protein "		
"B0316"	"yahB"	"yahB putative transcriptional regulator LYSR-type "	-1.045	-0.417
"B0318"	"yahD"	"yahD putative transcription factor "		
"B0320"	"yahF"	"yahF putative oxidoreductase subunit "		-1.262
"B0321"	"yahG"	"yahG orf, hypothetical protein "		
"B0323"	"yahI"	"yahI putative kinase (EC 2.7.2.2). "		
"B0324"	"yahJ"	"yahJ putative deaminase "		
"B0329"	"yahO"	"yahO orf, hypothetical protein "	-0.454	2.753
"B0330"	"prpR"	"prpR regulator for prp operon "	-1.113	-1.133
"B0331"	"prpB"	"prpB putative phosphonomutase 2 "		-0.713
"B0335"	"prpE"	"prpE putative propionyl-CoA synthetase "		-1.235
"B0336"	"codB"	"codB cytosine permease/transport "	-0.995	
"B0337"	"codA"	"codA cytosine deaminase "	0.072	-0.649
"B0338"	"cynR"	"cynR cyn operon positive regulator "	-1.605	-1.298
"B0339"	"cynT"	"cynT carbonic anhydrase "		
"B0342"	"lacA"	"lacA thiogalactoside acetyltransferase "		
"B0343"	"lacY"	"lacY galactoside permease (M protein) "		
"B0344"	"lacZ"	"lacZ Beta-D-galactosidase "		2.593
"B0345"	"lacI"	"lacI transcriptional repressor of the lac operon "	-0.869	-0.772
"B0346"	"mhpR"	"mhpR transcriptional regulator for mhp operon "	0.603	-0.221
"B0347"	"mhpA"	"mhpA 3-(3-hydroxyphenyl)propionate hydroxylase "		
"B0349"	"mhpC"	"mhpC 2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase "		
"B0351"	"mhpF"	"mhpF acetaldehyde dehydrogenase "		-0.96
"B0352"	"mhpE"	"mhpE 4-hydroxy-2-ketovalerate aldolase "		-1.064
"B0353"	"mhpT"	"mhpT putative transport protein "		-0.741
"B0354"	"yaiL"	"yaiL nucleoprotein/polynucleotide-associated enzyme "	-0.609	-0.781
"B0355"	"yaiM"	"yaiM putative esterase (EC 3.1.1.1) "		
"B0356"	"adhC"	"adhC alcohol dehydrogenase class III; formaldehyde dehydrogenase, glutathione-dependent "	-0.687	-1.204
"B0357"	"yaiN"	"yaiN putative alpha helix chain "	-0.487	-0.706
"B0358"	"yaiO"	"yaiO orf, hypothetical protein "		-0.349
"B0360"	"yi21_1"	"yi21_1 IS2 hypothetical protein "	-3.166	-1.258
"B0361"	"yi22_1"	"yi22_1 IS2 hypothetical protein "	-3.137	-1.268
"B0362"	"B0362"	"B0362 orf, hypothetical protein "		-0.992
"B0365"	"tauA"	"tauA taurine transport system periplasmic protein "		-1.437
"B0367"	"tauC"	"tauC taurine transport system permease protein "		-0.735
"B0368"	"tauD"	"tauD taurine dioxygenase, 2-oxoglutarate-dependent "		
"B0369"	"hemB"	"hemB 5-aminolevulinate dehydratase = porphobilinogen synthase "	1.386	0.426
"B0371"	"yaiT"	"yaiT orf, hypothetical protein "		
"B0372"	"tra5_1"	"tra5_1 IS3 putative transposase "	-3.038	-1.793
"B0373"	"B0373"	"B0373 putative factor "		-1.672
"B0376"	"yaiH"	"yaiH putative enzyme "	-1.612	-0.431
"B0377"	"sbmA"	"sbmA sensitivity to microcin B17, possibly envelop protein "		
"B0380"	"B0380"	"B0380 orf, hypothetical protein "		1.43
"B0381"	"ddlA"	"ddlA D-alanine-D-alanine ligase A "	0.111	1.527
"B0382"	"yaiB"	"yaiB orf, hypothetical protein "	0.09	0.481
"B0383"	"phoA"	"phoA alkaline phosphatase "	-1.631	-0.937
"B0384"	"psiF"	"psiF induced by phosphate starvation "	-1.293	0.548
"B0385"	"yaiC"	"yaiC orf, hypothetical protein "	-2.339	-0.804
"B0386"	"proC"	"proC pyrroline-5-carboxylate reductase "	-0.241	-0.222
"B0387"	"yaiI"	"yaiI orf, hypothetical protein "		-0.221
"B0388"	"aroL"	"aroL shikimate kinase II "	-0.901	2.243
"B0389"	"yaiA"	"yaiA orf, hypothetical protein "	1.757	2.68
"B0390"	"aroM"	"aroM protein of aro operon, regulated by aroR "		-0.291
"B0391"	"yaiE"	"yaiE orf, hypothetical protein "	0.087	0.825
"B0392"	"B0392"	"B0392 orf, hypothetical protein "		-0.029
"B0393"	"yaiD"	"yaiD orf, hypothetical protein "	-1.048	-0.74
"B0394"	"yajF"	"yajF possible NAGC-like transcriptional regulator "	-0.396	-0.197
"B0396"	"araJ"	"araJ involved in either transport or processing of arabinose polymers "		-1.249
"B0397"	"sbcC"	"sbcC ATP-dependent dsDNA exonuclease "	-1.29	-1.009
"B0398"	"sbcD"	"sbcD ATP-dependent dsDNA exonuclease "	-1.638	-0.923
"B0400"	"phoR"	"phoR positive and negative sensor protein for pho regulon "		
"B0401"	"BrnQ"	"BrnQ Branched chain amino acid transport system II carrier protein "		-0.366
"B0402"	"proY"	"proY proline permease transport protein "		-0.2
"B0403"	"malZ"	"malZ maltodextrin glucosidase "		-0.685
"B0405"	"queA"	"queA synthesis of queuine in tRNA; probably S-adenosylmethionine:tRNA ribosyltransferase-isomerase "	-1.552	-0.289
"B0406"	"tgt"	"tgt tRNA-guanine transglycosylase "	-0.104	0.561
"B0407"	"yajC"	"yajC orf, hypothetical protein "	0.609	0.66
"B0408"	"secD"	"secD protein secretion; membrane protein, part of the channel "	-1.143	-0.26
"B0409"	"secF"	"secF protein secretion, membrane protein "	-1.522	0.5
"B0410"	"yajD"	"yajD orf, hypothetical protein "		
"B0411"	"tsx"	"tsx nucleoside channel; receptor of phage T6 and colicin K "	1.023	-0.97
"B0412"	"yajI"	"yajI orf, hypothetical protein "		-0.216
"B0413"	"ybaD"	"ybaD orf, hypothetical protein "	-0.927	0.465
"B0414"	"ribD"	"ribD Bifunctional pyrimidine deaminase/reductase in pathway of riboflavin synthesis "	-0.067	0.124
"B0415"	"ribH"	"ribH riboflavin synthase, beta chain "	0.383	0.471
"B0416"	"nusB"	"nusB transcription termination; L factor "	0.302	0.806
"B0417"	"thiL"	"thiL thiamin-monophosphate kinase "	-1.443	-0.593
"B0418"	"pgpA"	"pgpA phosphatidylglycerophosphatase "		0.227
"B0419"	"yajO"	"yajO putative NAD(P)H-dependent xylose reductase "	-0.506	1.055
