SpeG	SPERMACTRAN-MONOMER	((cytosol, CCO-CYTOSOL))
MqsA antitoxin of the MqsRA toxin-antitoxin system and DNA-binding transcriptional repressor	G7571-MONOMER	
FadJ monomer	G7212-MONOMER	((cytosol, CCO-CYTOSOL))
peptide ABC transporter SapABCDF - membrane subunit	SAPC-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted protein	G7389-MONOMER	
conserved protein	EG11097-MONOMER	
xylose ABC transporter - periplasmic binding protein	XYLF-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
conserved protein	EG11430-MONOMER	
spermidine efflux transporter - MdtJ subunit	B1600-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DNA topoisomerase I	EG11013-MONOMER	((cytosol, CCO-CYTOSOL))
putative transport protein	G7108-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
conserved protein	G6992-MONOMER	((cytosol, CCO-CYTOSOL))
TdcR DNA-binding transcriptional activator	PD03292	((cytosol, CCO-CYTOSOL))
dihydromonapterin reductase / dihydrofolate reductase	G6862-MONOMER	
conserved protein	MONOMER0-765	
shikimate kinase I	AROK-MONOMER	((cytosol, CCO-CYTOSOL))
SspB	EG10978-MONOMER	((ribosome, CCO-RIBOSOME))
sulfite reductase, flavoprotein subunit	ALPHACOMP-MONOMER	
outer membrane porin protein; locus of qsr prophage	EG10659-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
NAD-binding component of TrK potassium transporter	TRKA-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
galactose-1-epimerase	ALDOSE1EPIM-MONOMER	((cytosol, CCO-CYTOSOL))
30S ribosomal subunit protein S21	EG10920-MONOMER	((cytosol, CCO-CYTOSOL) (ribosome, CCO-RIBOSOME))
tetrahydrodipicolinate succinylase subunit	MONOMER0-2001	((cytosol, CCO-CYTOSOL))
OmpC	EG10670-MONOMER	((outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
CPS-53 (KpLE1) prophage; conserved protein	G7224-MONOMER	
predicted enzyme	EG11607-MONOMER	
protein deacetylase, Sir2 homolog	G6577-MONOMER	((cytosol, CCO-CYTOSOL))
predicted transporter	B1775-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DLP12 prophage; predicted tail fiber assembly protein	G6315-MONOMER	
predicted dehydrogenase	G7580-MONOMER	
ecotin monomer; serine protease inhibitor	EG10255-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
predicted protein	EG11462-MONOMER	
DNA mismatch endonuclease of the very short patch (VSP) mismatch repair pathway	EG11068-MONOMER	
AtpI	EG10106-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
2-dehydropantoyl-lactone reductase (B-specific)	DEHYDROPANTLACRED-MONOMER	
predicted outer membrane lipoprotein	G6507-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
AroG	AROG-MONOMER	
DLP12 prophage; DNA packaging protein	EG11635-MONOMER	
Qin prophage; predicted S lysis protein	G6829-MONOMER	
hypothetical protein	G7933-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
nitrate reductase Z, &beta; subunit	NARY-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
small predicted membrane protein	MONOMER0-2885	
leader peptidase (signal peptidase I)	EG10530-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DgkA	DIACYLGLYKIN-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
putative transport protein	G7745-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
D-serine transporter	DSDX-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
putative lipase	EG12269-MONOMER	((membrane, CCO-MEMBRANE))
predicted protein	G6768-MONOMER	
citrate lyase, acyl carrier &gamma; subunit	ACPSUB-MONOMER	((cytosol, CCO-CYTOSOL))
predicted acyltransferase with acyl-CoA N-acyltransferase domain	G6118-MONOMER	
putrescine / spermidine ABC transporter - membrane subunit	POTC-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted protease, membrane anchored	G6265-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
putative NAD(P)H-dependent xylose reductase	G6236-MONOMER	
NADH-dependent dihydropyrimidine dehydrogenase subunit	G7145-MONOMER	((cytosol, CCO-CYTOSOL))
heat shock protein HslJ	G6702-MONOMER	
conserved protein	G6498-MONOMER	
ribosome rescue factor	MONOMER0-2687	
predicted transposase	G6743-MONOMER	
ferrous iron transport protein A	EG12101-MONOMER	
30S ribosomal subunit protein S3	EG10902-MONOMER	((cytosol, CCO-CYTOSOL) (ribosome, CCO-RIBOSOME))
predicted protein	G6191-MONOMER	
EntE	ENTE-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (cytosol, CCO-CYTOSOL))
conserved protein	G6413-MONOMER	
phosphatidylglycerophosphatase A	PGPPHOSPHAA-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted IS protein	MONOMER0-2655	
molybdopterin biosynthesis protein A	EG11595-MONOMER	((cytosol, CCO-CYTOSOL))
AcpS	HOLO-ACP-SYNTH-MONOMER	((cytosol, CCO-CYTOSOL))
3,4-dihydroxy-2-butanone 4-phosphate synthase	DIOHBUTANONEPSYN-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (cytosol, CCO-CYTOSOL))
conserved inner membrane protein	EG11571-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
TatA	TATA	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
protein with possible role in iron-sulfur cluster biogenesis	EG12311-MONOMER	
esterase	G7578-MONOMER	
16S rRNA m<sup>5</sup>C967 methyltransferase	EG12163-MONOMER	((cytosol, CCO-CYTOSOL))
conserved protein	G6451-MONOMER	
tRNA(i<sup>6</sup>A37) synthase	EG10595-MONOMER	((cytosol, CCO-CYTOSOL))
mannose-6-phosphate isomerase	MANNPISOM-MONOMER	((cytosol, CCO-CYTOSOL))
SecE	SECE	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase	UDPNACETYLMURAMATEDEHYDROG-MONOMER	((cytosol, CCO-CYTOSOL))
predicted metal-binding enzyme	G6475-MONOMER	
predicted transporter	G6421-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
HipB	EG10442-MONOMER	((cytosol, CCO-CYTOSOL))
galactose ABC transporter - ATP binding subunit	MGLA-MONOMER	((cytosol, CCO-CYTOSOL) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
acid phosphatase/phosphotransferase monomer	APHA-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
FlhC	MONOMER0-2488	((cytosol, CCO-CYTOSOL))
putative cytochrome	G7617-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
endonuclease IV	EG10651-MONOMER	
GlmS	L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER	((cytosol, CCO-CYTOSOL))
glycyl-tRNA synthetase, &beta; subunit	GLYS-MONOMER	((cytosol, CCO-CYTOSOL))
CheW	CHEW-MONOMER	((cytosol, CCO-CYTOSOL))
predicted lyase	G6095-MONOMER	
acetyl esterase	EG11101-MONOMER	((cytosol, CCO-CYTOSOL))
putative ATP-binding component of a transport system	G6423-MONOMER	((cytosol, CCO-CYTOSOL))
conserved protein	G6216-MONOMER	
c-di-GMP phosphodiesterase, heme-regulated	G6783-MONOMER	
disulfide reductase / organic hydroperoxide reductase	G7553-MONOMER	
peptide ABC transporter - membrane subunit	YEJE-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
ring 1,2-phenylacetyl-CoA epoxidase, monooxygenase subunit	G6709-MONOMER	
YeiG	EG12026-MONOMER	
NADH:ubiquinone oxidoreductase, membrane subunit L	NUOL-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
translocation and assembly module - TamA subunit	G7874-MONOMER	((outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
conserved inner membrane protein	EG11793-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
2-octenoyl-ACP	MONOMER-4565	
predicted ribosomal protein	G6167-MONOMER	((ribosome, CCO-RIBOSOME))
Hsc56, co-chaperone of Hsc62	G6356-MONOMER	
predicted protein	G7862-MONOMER	((membrane, CCO-MEMBRANE))
protein involved in base analog detoxification	G6487-MONOMER	
conserved protein	EG11825-MONOMER	
FolP	H2PTEROATESYNTH-MONOMER	((cytosol, CCO-CYTOSOL))
trimethylamine N-oxide reductase II	TMAOREDUCTII-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted DNA-binding transcriptional regulator	G7657-MONOMER	
ClpP	EG10158-MONOMER	((membrane, CCO-MEMBRANE) (cytosol, CCO-CYTOSOL))
YjhF Gnt tranporter	YJHF-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted hydrolase, inner membrane	G6418-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
PurC	SAICARSYN-MONOMER	((membrane, CCO-MEMBRANE) (cytosol, CCO-CYTOSOL))
flagellar P-ring protein FlgI	FLGI-FLAGELLAR-P-RING	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC) (cell projection, CCO-CELL-PROJECTION))
3-keto-L-gulonate 6-phosphate decarboxylase	EG12285-MONOMER	
predicted oxidoreductase, NAD(P)-binding Rossmann-fold domain	G6560-MONOMER	
50S ribosomal subunit protein L32	EG10890-MONOMER	((ribosome, CCO-RIBOSOME))
stationary-phase protein with possible role in p-aminobenzoate or folate biosynthesis	EG10307-MONOMER	
outer membrane protein involved in copper permeability, stress resistance and biofilm formation	G6570-MONOMER	((outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM) (periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
IS150 protein InsAB	MONOMER0-2851	
predicted protein	EG12225-MONOMER	
predicted fimbrial-like adhesin protein	G6293-MONOMER	((pilus, CCO-PILUS))
peptidyl-tRNA hydrolase, ribosome rescue factor	EG12354-MONOMER	((cytosol, CCO-CYTOSOL))
IspB	OPPSYN-MONOMER	
conserved protein	G7392-MONOMER	
small predicted membrane protein	MONOMER0-2675	((membrane, CCO-MEMBRANE))
predicted short chain fatty acid transporter	EG11671-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
cobinamide adenosyltransferase / cobalamin adenosyltransferase	COBALADENOSYLTRANS-MONOMER	((cytosol, CCO-CYTOSOL))
predicted protein	EG11093-MONOMER	
ArgE	ACETYLORNDEACET-MONOMER	((cytosol, CCO-CYTOSOL))
galactonate:H+ symporter	YJIZ-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
FocA	FOCA-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
conserved protein	EG11119-MONOMER	
predicted oxidoreductase	G6640-MONOMER	
conserved protein	G6894-MONOMER	
putative subunit of YdiQ-YdiR flavoprotein	G6921-MONOMER	
DNA repair; excision nuclease subunit B	EG11062-MONOMER	((cytosol, CCO-CYTOSOL))
predicted fimbrial-like adhesin protein	G7637-MONOMER	((pilus, CCO-PILUS))
AscG DNA-binding transcriptional repressor	EG10087-MONOMER	((cytosol, CCO-CYTOSOL))
predicted protein, C-ter fragment	G7054-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
ribonucleotide monophosphatase	EG10634-MONOMER	
Qin prophage; DNA-binding transcriptional regulator for DicB	EG10228-MONOMER	
LsrR DNA-binding transcriptional repressor	G6799-MONOMER	((cytosol, CCO-CYTOSOL))
monoacetylchitobiose-6-phosphate hydrolase	EG10144-MONOMER	((cytosol, CCO-CYTOSOL))
MarR transcriptional repressor	PD00364	((cytosol, CCO-CYTOSOL))
membrane-bound lytic murein transglycosylase B	G7410-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
regulator of biofilm formation	G6557-MONOMER	
putative amino acid/amine MFS transporter	B1791-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted DNA-binding transcriptional regulator	EG11849-MONOMER	
CP4-6 prophage; partial regulator of insertion element IS911A	G6130-MONOMER	
allantoate amidohydrolase monomer	G6285-MONOMER	
predicted protein	G6225-MONOMER	
L-ribulose 5-phosphate 4-epimerase	G7860-MONOMER	
hypothetical protein	G7922-MONOMER	
RNA polymerase, sigma 32 (sigma H) factor	RPOH-MONOMER	((cytosol, CCO-CYTOSOL))
predicted hydrolase	G7804-MONOMER	
conserved protein	EG11401-MONOMER	
nitrate reductase A, &gamma; subunit	NARI-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
glycogen phosphorylase-limit dextrin &alpha;-1,6-glucohydrolase	EG10381-MONOMER	((cytosol, CCO-CYTOSOL))
DD-endopeptidase / DD-carboxypeptidase	EG12867-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
polymerized tip adhesin of <i>E. coli</i> common pilus - cryptic	G6161-MONOMER	
L-fucose mutarotase	EG10355-MONOMER	((cytosol, CCO-CYTOSOL))
transaldolase B	TRANSALDOLB-MONOMER	
3-methyl-adenine DNA glycosylase I, constitutive	EG10986-MONOMER	((cytosol, CCO-CYTOSOL))
transketolase I	TRANSKETOI-MONOMER	
ArgD	ACETYLORNTRANSAM-MONOMER	((cytosol, CCO-CYTOSOL))
hydroxyethylthiazole kinase	THZ-KIN-MONOMER	
Nlp transcriptional regulator	EG10656-MONOMER	((cytosol, CCO-CYTOSOL))
glycerol-3-phosphate dehydrogenase (anaerobic), large subunit	ANGLYC3PDEHYDROGSUBUNITA-MONOMER	((cytosol, CCO-CYTOSOL) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
propionyl-CoA:succinate CoA transferase	G7517-MONOMER	
selenocysteine synthase	EG10941-MONOMER	((cytosol, CCO-CYTOSOL))
predicted RNA-binding protein	EG12879-MONOMER	
endonuclease of nucleotide excision repair	G6937-MONOMER	
(R)-lactate / (S)-lactate / glycolate:H+ symporter LldP	LCTP-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dTDP-4-dehydrorhamnose 3,5-epimerase	DTDPDEHYDRHAMEPIM-MONOMER	((cytosol, CCO-CYTOSOL))
ProP	PROP-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
NADH:ubiquinone oxidoreductase, chain B	NUOB-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
transcription elongation factor GreA	EG10415-MONOMER	((cytosol, CCO-CYTOSOL))
&beta;-lactam resistance protein	MONOMER0-1561	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted protein	EG12865-MONOMER	
predicted chaperone	G6353-MONOMER	
predicted protein	G7954-MONOMER	
predicted protein	MONOMER0-2683	
murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit	OPPC-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
IS5 transposase and trans-activator	MONOMER0-4239	
conserved protein	G7152-MONOMER	
conserved inner membrane protein	EG11395-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
AllR DNA-binding transcriptional repressor	G6276-MONOMER	((cytosol, CCO-CYTOSOL))
dihydroorotate dehydrogenase, type 2	DIHYDROOROTOX-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
conserved inner membrane protein	G6264-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
pyridoxal kinase 2	PDXY-MONOMER	
50S ribosomal subunit protein L9	EG10870-MONOMER	((ribosome, CCO-RIBOSOME))
e14 prophage; predicted integrase	EG12370-MONOMER	
tartronate semialdehyde reductase 2	G6278-MONOMER	
essential cell division protein FtsQ	EG10342-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
AsnA	ASNSYNA-MONOMER	((cytosol, CCO-CYTOSOL))
peptidase component of the HslVU protease	EG11676-MONOMER	((cytosol, CCO-CYTOSOL))
SugE SMR transporter	SUGE-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
zinc-binding phosphatase	G6540-MONOMER	
XapR transcriptional activator	EG11146-MONOMER	((cytosol, CCO-CYTOSOL))
glycolate oxidase, predicted FAD-binding subunit	G7544-MONOMER	
FrwB	FRWB-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (cytosol, CCO-CYTOSOL))
conserved protein	G7420-MONOMER	
e14 prophage; predicted tail fiber assembly protein	EG11120-MONOMER	
predicted ATP-dependent helicase	EG12329-MONOMER	
inhibitor of g-type lysozyme	G6615-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
Qor	QOR-MONOMER	((cytosol, CCO-CYTOSOL))
predicted protein	G7117-MONOMER	
conserved protein	G6230-MONOMER	
predicted protein	MONOMER0-2684	
predicted protein	EG12374-MONOMER	
CP4-6 prophage; conserved protein	EG12339-MONOMER	
endonuclease VIII	G6383-MONOMER	((cytosol, CCO-CYTOSOL))
predicted endonuclease	G7649-MONOMER	
polymyxin B resistance protein	G7172-MONOMER	
heavy metal divalent cation transporter ZupT	EG11167-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted amino acid kinase	G7493-MONOMER	
flagellar basal-body protein FliE	EG11346-MONOMER	((cell projection, CCO-CELL-PROJECTION))
RNAse HII,  degrades RNA of DNA-RNA hybrids	EG10861-MONOMER	((cytosol, CCO-CYTOSOL))
conserved protein	EG11360-MONOMER	
GdhA	GDHA-MONOMER	((cytosol, CCO-CYTOSOL))
hypothetical protein	EG11312-MONOMER	
predicted DNA-binding transcriptional regulator	G6226-MONOMER	
allantoinase monomer	G6281-MONOMER	((cytosol, CCO-CYTOSOL))
flagellar biosynthesis	EG10322-MONOMER	((cell projection, CCO-CELL-PROJECTION) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
bacteriophage N4 receptor, outer membrane protein	EG11740-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
actin family protein	EG12200-MONOMER	
predicted peptidase	G6856-MONOMER	
predicted protein	G6631-MONOMER	
acetate CoA-transferase	ACECOATRANS-MONOMER	
anhydro-N-acetylmuramoyl-L-alanine amidase	G6452-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
biosynthetic peptidoglycan transglycosylase	G7668-MONOMER	((cell wall (sensu Gram-negative Bacteria), CCO-CW-BAC-NEG) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
50S ribosomal subunit protein L35	EG11231-MONOMER	((cytosol, CCO-CYTOSOL) (ribosome, CCO-RIBOSOME))
conserved inner membrane protein	EG12707-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
protein involved in &beta;-methylthiolation of ribosomal protein S12	G6468-MONOMER	
predicted protein	G6747-MONOMER	
leucyl, phenylalanyl-tRNA-protein transferase	EG11112-MONOMER	((cytosol, CCO-CYTOSOL))
predicted DNA-binding transcriptional regulator	G6976-MONOMER	
formate dependent nitrate reductase - NrfD subunit	NRFD-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
galactarate dehydratase	GALACTARDEHYDRA-MONOMER	
conserved protein; member of the Autotransporter family	G6610-MONOMER	
DNA polymerase III, &chi; subunit	EG11413-MONOMER	((cytosol, CCO-CYTOSOL))
SdiA DNA-binding transcriptional dual regulator	PD02198	((cytosol, CCO-CYTOSOL))
conserved inner membrane protein	YJCH-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
cardiolipin synthase 3	G6551-MONOMER	
Ppa	INORGPYROPHOSPHAT-MONOMER	((membrane, CCO-MEMBRANE) (cytosol, CCO-CYTOSOL))
DNA gyrase, subunit B	EG10424-MONOMER	((bacterial nucleoid, CCO-BAC-NUCLEOID) (cytosol, CCO-CYTOSOL))
predicted sensory kinase in two-component regulatory system with YedW	G7056-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
regulatory peptide whose translation enables hokC (gef) expression	EG10373-MONOMER	((membrane, CCO-MEMBRANE))
methionine aminopeptidase	EG10570-MONOMER	((cytosol, CCO-CYTOSOL))
conserved protein	G6506-MONOMER	
HisG	ATPPHOSRIBOSTRANS-MONOMER	((cytosol, CCO-CYTOSOL))
tyrosine phosphatase	G7106-MONOMER	((cytosol, CCO-CYTOSOL))
glycerol-3-phosphate / glycerol-2-phosphate ABC transporter - putative ATP binding subunit	UGPC-MONOMER	((cytosol, CCO-CYTOSOL) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
conserved DNA-binding protein	EG11100-MONOMER	((bacterial nucleoid, CCO-BAC-NUCLEOID) (cytosol, CCO-CYTOSOL))
Lon	EG10542-MONOMER	((cytosol, CCO-CYTOSOL) (bacterial nucleoid, CCO-BAC-NUCLEOID))
predicted lipoprotein	EG11780-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted protein	G6841-MONOMER	
InsAB' transposase	MONOMER0-4231	
protein involved in processing of HyaA and HyaB proteins	EG10471-MONOMER	
GTP cyclohydrolase I monomer	GTP-CYCLOHYDRO-I-MONOMER	((cytosol, CCO-CYTOSOL))
formate dehydrogenase-O, &beta; subunit	FDOH-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
ferredoxin-type protein	NAPH-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
small predicted membrane protein	MONOMER0-2821	
MngR	PD01103	((cytosol, CCO-CYTOSOL))
7-cyano-7-deazaguanine synthase	G6245-MONOMER	
toxin of the HicA-HicB toxin-antitoxin system	MONOMER0-2673	
predicted enzyme IIC component of PTS	MONOMER0-6	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
