"Object ID"	"Polypeptides"	"Synonyms"	"Molecular-Weight-KiloDaltons"
"PHENPRODIOLDEHYDROG-MONOMER"	PHENPRODIOLDEHYDROG-MONOMER	"YfhX" // "PhdD" // "HcaB"	28.5
"ENTE-MONOMER"	ENTE-MONOMER	"EntE"	59.112 // 58.0
"EG12279-MONOMER"	EG12279-MONOMER	"YiaK"	36.573
"MONOMER0-422"	MONOMER0-422	"YiaM"	17.516
"EG12282-MONOMER"	EG12282-MONOMER	"YiaN"	45.368
"EG12283-MONOMER"	EG12283-MONOMER	"YiaO"	35.97 // 33.4688
"DIENOYLCOAREDUCT-MONOMER"	DIENOYLCOAREDUCT-MONOMER	"YgjL" // "FadH"	72.678 // 73.0
"AKBLIG-MONOMER"	AKBLIG-MONOMER	"Kbl"	43.117 // 42.0
"H2PTERIDINEPYROPHOSPHOKIN-MONOMER"	H2PTERIDINEPYROPHOSPHOKIN-MONOMER	"HPPK" // "FolK"	18.079 // 23.0
"EG11870-MONOMER"	EG11870-MONOMER	"YiiM" // "protein involved in base analog detoxification"	25.343
"EG11816-MONOMER"	EG11816-MONOMER	"YgbB" // "IspF"	16.898 // 17
"G7423-MONOMER"	G7423-MONOMER	"YgbP" // "IspD" // "4-diphosphocytidyl-2C-methyl-D-erythritol synthase"	25.737 // 26
"DEHYDDEOXPHOSGALACT-ALDOL-MONOMER"	DEHYDDEOXPHOSGALACT-ALDOL-MONOMER	"YidU" // "DgoA"	21.391 // 21.3836
"KDGT-MONOMER"	KDGT-MONOMER	"KdgT"	33.669
"DEHYDDEOXGALACTKIN-MONOMER"	DEHYDDEOXGALACTKIN-MONOMER	"YidV" // "DgoK"	31.374
"DEOXYGLUCONOKIN-MONOMER"	DEOXYGLUCONOKIN-MONOMER	"YhjI" // "KdgK"	33.962
"2-DEHYDROPANTOATE-REDUCT-MONOMER"	2-DEHYDROPANTOATE-REDUCT-MONOMER	"PanE" // "ApbA"	33.871 // 33.0
"DEHYDROPANTLACRED-MONOMER"	DEHYDROPANTLACRED-MONOMER		
"MHPCHYDROL-MONOMER"	MHPCHYDROL-MONOMER	"MhpC"	31.937 // 29.0
"G6721-MONOMER"	G6721-MONOMER	"YdbZ" // "PaaY"	21.325
"HYDGLUTSYN-MONOMER"	HYDGLUTSYN-MONOMER		
"MHPDHYDROL-MONOMER"	MHPDHYDROL-MONOMER	"MhpS" // "MhpD"	28.89 // 28.0
"THIH-MONOMER"	THIH-MONOMER	"ThiB" // "ThiH"	43.32 // 42.0
"2-ISOPROPYLMALATESYN-MONOMER"	2-ISOPROPYLMALATESYN-MONOMER	"LeuA"	57.298
"G7158-MONOMER"	G7158-MONOMER	"YfaU"	28.916
"KETOBUTFORMLY-INACT-MONOMER"	KETOBUTFORMLY-INACT-MONOMER	"YhaS" // "TdcE"	85.935 // 85.0
"G6199-MONOMER"	G6199-MONOMER	"AcnC" // "YahT" // "PrpD"	53.952 // 54
"G6198-MONOMER"	G6198-MONOMER	"YahS" // "YzzD" // "PrpC"	43.102 // 43.0
"G6196-MONOMER"	G6196-MONOMER	"YahQ" // "PrpB"	32.135 // 32.0
"B1791-MONOMER"	B1791-MONOMER	"NimT" // "YeaN"	41.208
"HRSA-MONOMER"	HRSA-MONOMER	"HrsA" // "EII<sup>MngA</sup>" // "EII<sup>HrsA</sup>" // "EII<sup>mannosylglycerate</sup>" // "Enzyme II<sup>mannosylglycerate</sup>" // "Frx"	69.668
"OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON"	OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON	"YleB" // "UbiF"	42.954
"OCTAPRENYL-METHOXYPHENOL-OH-MONOMER"	OCTAPRENYL-METHOXYPHENOL-OH-MONOMER	"Acd" // "VisB" // "UbiH"	42.288
"EG11333-MONOMER"	EG11333-MONOMER	"UbiI" // "VisC"	44.245
"G6103-MONOMER"	G6103-MONOMER	"YafV"	28.925
"MEND-MONOMER"	MEND-MONOMER	"MenD"	61.367 // 61
"EG12438-MONOMER"	EG12438-MONOMER	"YfbB" // "MenH"	27.682 // 25.4
"EG11794-MONOMER"	EG11794-MONOMER	"YgdE" // "RlmM" // "ribosomal RNA large subunit methyltransferase M"	41.905
"G7845-MONOMER"	G7845-MONOMER	"RlmB" // "YjfH"	26.557
"EG11507-MONOMER"	EG11507-MONOMER	"RrmJ" // "MrsF" // "FtsJ" // "RlmE" // "ribosomal RNA large subunit methyltransferase E"	23.335 // 23.0
"G6746-MONOMER"	G6746-MONOMER	"RlhA" // "YdcP"	72.702
"EG12207-MONOMER"	EG12207-MONOMER	"YebH" // "RrmA" // "RlmA" // "ribosomal RNA large subunit methyltransferase A" // "rRNA large subunit methyltransferase A"	30.419
"EG12401-MONOMER"	EG12401-MONOMER	"YfgB" // "RlmN" // "ribosomal RNA large subunit methyltransferase N"	43.086
"G7603-MONOMER"	G7603-MONOMER	"YgjO" // "RlmG" // "ribosomal RNA large subunit methyltransferase G"	42.331
"EG11254-MONOMER"	EG11254-MONOMER	"YbeA" // "RlmH"	17.341
"G6501-MONOMER"	G6501-MONOMER	"YccW" // "RlmI"	44.357
"EG11247-MONOMER"	EG11247-MONOMER	"YgcA" // "RumA" // "RlmD"	48.052
"G6449-MONOMER"	G6449-MONOMER	"YbjF" // "RumB" // "RlmC"	41.956
"G6416-MONOMER"	G6416-MONOMER	"YbiN" // "RlmF" // "ribosomal RNA large subunit methyltransferase F"	34.226
"EG12234-MONOMER"	EG12234-MONOMER	"RlmJ" // "YhiR"	31.942
"EG12098-MONOMER"	EG12098-MONOMER	"YfiI" // "RluD" // "SfhB"	37.122 // 37.0
"G6581-MONOMER"	G6581-MONOMER	"RluE" // "YmfC" // "ribosomal large subunit pseudouridine synthase E"	24.88
"EG11921-MONOMER"	EG11921-MONOMER	"RluF" // "YjbC" // "ribosomal large subunit pseudouridine synthase F"	32.477
"EG12433-MONOMER"	EG12433-MONOMER	"RluB" // "YciL" // "ribosomal large subunit pseudouridine synthase B"	32.711
"EG12609-MONOMER"	EG12609-MONOMER	"YabO" // "RluA" // "ribosomal large subunit pseudouridine synthase A" // "23S rRNA and tRNA pseudouridine synthase"	24.861 // 30.0
"EG11118-MONOMER"	EG11118-MONOMER	"YceC" // "RluC" // "ribosomal large subunit pseudouridine synthase C" // "ribosomal large subunit (23S rRNA) pseudouridine synthase C"	36.027
"EG11481-MONOMER"	EG11481-MONOMER	"YigX" // "YigW" // "MttC" // "TatD" // "ExoXI" // "exonuclease XI"	28.974 // 33.8
"EG10043-MONOMER"	EG10043-MONOMER	"Amt" // "AmtA" // "CysQ"	27.176 // 28.0
"DIOHBUTANONEPSYN-MONOMER"	DIOHBUTANONEPSYN-MONOMER	"LuxH" // "HtrP" // "RibB"	23.353 // 23.4
"DHPDIOXYGEN-MONOMER"	DHPDIOXYGEN-MONOMER	"MhpB" // "2,3-dihydroxyphenylpropionate/2,3-dihydroxycinnamate 1,2-dioxygenase"	34.196 // 36.0
"AROD-MONOMER"	AROD-MONOMER	"AroD"	27.467 // 29.0
"AROB-MONOMER"	AROB-MONOMER	"AroB"	38.881 // 56.0
"AROG-MONOMER"	AROG-MONOMER	"AroG" // "2-dehydro-3-deoxyphosphoheptonate aldolase"	38.009 // 35.0
"AROH-MONOMER"	AROH-MONOMER	"2-dehydro-3-deoxyphosphoheptonate aldolase" // "AroH"	38.735 // 39.0
"AROF-MONOMER"	AROF-MONOMER	"AroF" // "2-dehydro-3-deoxyphosphoheptonate aldolase"	38.804 // 39.0
"G7663-MONOMER"	G7663-MONOMER	"YrbJ" // "KdsC" // "YrbI"	19.997
"KDO-8PSYNTH-MONOMER"	KDO-8PSYNTH-MONOMER	"KdsA"	30.833 // 30
"CPM-KDOSYNTH-MONOMER"	CPM-KDOSYNTH-MONOMER	"KdsB"	27.614 // 32
"EG12345-MONOMER"	EG12345-MONOMER	"YdfG"	27.249 // 27
"G6804-MONOMER"	G6804-MONOMER	"LsrF" // "YneB"	31.893
"FABZ-MONOMER"	FABZ-MONOMER	"YaeA" // "SefA" // "FabZ"	17.033 // 17
"G7212-MONOMER"	G7212-MONOMER	"FadJ" // "YfcX" // "FadJ component of anaerobic fatty acid oxidation complex"	77.072 // 77.1
"G6716-MONOMER"	G6716-MONOMER	"YdbU" // "HbdH" // "PaaH" // "3-hydroxyadipyl-CoA dehydrogenase (NAD<sup>+</sup>)"	51.733
"MHPT-MONOMER"	MHPT-MONOMER	"YaiK" // "MhpT"	41.551
"LEUC-MONOMER"	LEUC-MONOMER	"LeuC" // "3-isopropylmalate dehydratase, large subunit"	49.882
"LEUD-MONOMER"	LEUD-MONOMER	"LeuD" // "3-isopropylmalate dehydratase, small subunit"	22.487
"3-ISOPROPYLMALDEHYDROG-MONOMER"	3-ISOPROPYLMALDEHYDROG-MONOMER	"LeuB"	39.517
"EG12285-MONOMER"	EG12285-MONOMER	"YiaQ" // "SgbH"	23.445
"G7858-MONOMER"	G7858-MONOMER	"YjfV" // "SgaH" // "UlaD"	23.578
"FADA-MONOMER"	FADA-MONOMER	"OldA" // "FadA"	40.876
"G7213-MONOMER"	G7213-MONOMER	"FadI" // "YfcY" // "FadI component of anaerobic fatty acid oxidation complex"	46.531 // 46.5
"EG11600-MONOMER"	EG11600-MONOMER	"MstA" // "SseA"	30.812 // 31
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER"	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	"PanB"	28.237 // 28.2
"EG10986-MONOMER"	EG10986-MONOMER	"TagA" // "Tag"	21.1
"EG11396-MONOMER"	EG11396-MONOMER	"YigY" // "YigC" // "UbiD"	55.604
"3-OXOACYL-ACP-REDUCT-MONOMER"	3-OXOACYL-ACP-REDUCT-MONOMER	"FabG" // "3-oxoacyl-[acyl-carrier-protein] reductase subunit"	25.56
"AROA-MONOMER"	AROA-MONOMER	"AroA"	46.096 // 49.0
"EG11847-MONOMER"	EG11847-MONOMER	"SquU" // "YihU"	31.158
"EG10270-MONOMER"	EG10270-MONOMER	"SdgE" // "RbaA" // "Era"	33.81 // 36.0
"EG10900-MONOMER"	EG10900-MONOMER	"SsyF" // "RpsA"	61.158
"EG10909-MONOMER"	EG10909-MONOMER	"NusE" // "RpsJ"	11.736 // 12.0
"EG10910-MONOMER"	EG10910-MONOMER	"RpsK"	13.845 // 13.7
"EG10911-MONOMER"	EG10911-MONOMER	"StrA" // "AsuB" // "RpsL"	13.737
"EG10912-MONOMER"	EG10912-MONOMER	"RpsM"	13.099
"EG10913-MONOMER"	EG10913-MONOMER	"RpsN"	11.58
"EG10914-MONOMER"	EG10914-MONOMER	"SecC" // "RpsO"	10.269
"EG10915-MONOMER"	EG10915-MONOMER	"RpsP"	9.191
"EG10916-MONOMER"	EG10916-MONOMER	"NeaA" // "RpsQ"	9.704
"EG10917-MONOMER"	EG10917-MONOMER	"RpsR"	8.986
"EG10918-MONOMER"	EG10918-MONOMER	"RpsS"	10.43
"EG10901-MONOMER"	EG10901-MONOMER	"RpsB"	26.744 // 29.2
"EG10919-MONOMER"	EG10919-MONOMER	"SupS" // "RpsT"	9.684
"EG10920-MONOMER"	EG10920-MONOMER	"RpsU"	8.5
"EG11508-MONOMER"	EG11508-MONOMER	"Sra" // "RpsV" // "Protein D"	5.096
"EG10902-MONOMER"	EG10902-MONOMER	"RpsC"	25.983
"EG10903-MONOMER"	EG10903-MONOMER	"RamA" // "RpsD"	23.469
"EG10904-MONOMER"	EG10904-MONOMER	"Spc" // "Eps" // "SpcA" // "RpsE"	17.603
"EG10905-MONOMER"	EG10905-MONOMER	"SdgH" // "RpsF"	15.187
"EG10906-MONOMER"	EG10906-MONOMER	"RpsG"	20.019
"EG10907-MONOMER"	EG10907-MONOMER	"RpsH"	14.127 // 15.8
"EG10908-MONOMER"	EG10908-MONOMER	"RpsI"	14.856
"EG11178-MONOMER"	EG11178-MONOMER	"YhbB" // "RbfA"	15.154
"EG11166-MONOMER"	EG11166-MONOMER	"YgiD"	29.903
"EG11294-MONOMER"	EG11294-MONOMER	"Ipk" // "YchB" // "IspE"	30.925 // 31
"G7800-MONOMER"	G7800-MONOMER	"WecF" // "Rff" // "RffT" // "YifM"	40.64 // 41.5
"AMYLOMALT-MONOMER"	AMYLOMALT-MONOMER	"MalA" // "MalQ" // "amylomaltase"	78.503 // 71
"GABATRANSAM-MONOMER"	GABATRANSAM-MONOMER	"GabT"	45.775 // 43.0
"G6646-MONOMER"	G6646-MONOMER	"GoaG" // "PuuE"	44.729
"GABP-MONOMER"	GABP-MONOMER	"GabP" // "GabP APC transporter" // "GABA permease"	51.08
"MHPELY-MONOMER"	MHPELY-MONOMER	"MhpE"	36.47
"DIHYDROPICRED-MONOMER"	DIHYDROPICRED-MONOMER	"DapB" // "DHPR" // "dihydrodipicolinate reductase"	28.757 // 28.0
"DIHYDRODIPICSYN-MONOMER"	DIHYDRODIPICSYN-MONOMER	"DapA" // "DHDPS" // "dihydrodipicolinate synthase"	31.27 // 32.0
"4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER"	4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	"Cyr" // "UbiA"	32.512 // 32
"PDXA-MONOMER"	PDXA-MONOMER	"PdxA"	35.114 // 35.1
"G6946-MONOMER"	G6946-MONOMER	"YdjY"	24.125
"EG11090-MONOMER"	EG11090-MONOMER	"Mtn" // "YadA" // "Pfs"	24.354 // 26.0
"USHA-MONOMER"	USHA-MONOMER	"UshA"	60.824 // 52.0
"METHYLENETHFREDUCT-MONOMER"	METHYLENETHFREDUCT-MONOMER	"MetF"	33.103
"PURK-MONOMER"	PURK-MONOMER	"PurK" // "purE2 peptide" // "CO2 subunit, AIR carboxylase"	39.461 // 39.0
"EG11202-MONOMER"	EG11202-MONOMER	"YigB"	27.122
"G6442-MONOMER"	G6442-MONOMER	"YbjI"	30.196
"EG10997-MONOMER"	EG10997-MONOMER	"MnmE" // "TrmE" // "ThdF" // "GTPase, involved in modification of U34 in tRNA" // "5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmE"	49.231 // 48 // 50
"EG10375-MONOMER"	EG10375-MONOMER	"GidA" // "MnmG" // "protein involved in modification of U34 in tRNA" // "TrmF"	69.521
"G7463-MONOMER"	G7463-MONOMER	"YqeE" // "KduI" // "5-keto 4-deoxyuronate isomerase"	31.076 // 33.0
"G6954-MONOMER"	G6954-MONOMER	"YnjG" // "NudG" // "Orf135"	15.046 // 15
"GLUCONREDUCT-MONOMER"	GLUCONREDUCT-MONOMER	"YjgU" // "IdnO"	27.563
"EG10574-MONOMER"	EG10574-MONOMER	"RglB" // "McrB" // "MrcB subunit of 5-methylcytosine restriction system"	53.157
"EG10575-MONOMER"	EG10575-MONOMER	"McrC" // "MrcC subunit of 5-methylcytosine restriction system"	40.59
"G6382-MONOMER"	G6382-MONOMER	"PxpA" // "YbgL" // "putative lactam utilization protein" // "putative glycoside hydrolase YbgL"	25.8
"G6380-MONOMER"	G6380-MONOMER	"PxpB" // "YbgJ" // "putative hydrolase subunit YbgJ"	23.947
"G6381-MONOMER"	G6381-MONOMER	"PxpC" // "YbgK" // "putative carboxyltransferase subunit YbgK"	34.386
"EG10725-MONOMER"	EG10725-MONOMER	"PhnP"	27.848
"EG10864-MONOMER"	EG10864-MONOMER	"Rpy" // "RplA"	24.73
"EG10871-MONOMER"	EG10871-MONOMER	"RplJ"	17.712
"EG10872-MONOMER"	EG10872-MONOMER	"RelC" // "RplK"	14.875
"EG10873-MONOMER"	EG10873-MONOMER	"RplL" // "50S ribosomal subunit protein L7/L12"	12.295
"EG10874-MONOMER"	EG10874-MONOMER	"RplM"	16.019
"EG10875-MONOMER"	EG10875-MONOMER	"RplN"	13.541
"EG10876-MONOMER"	EG10876-MONOMER	"RplO"	14.98
"EG10877-MONOMER"	EG10877-MONOMER	"RplP"	15.281
"EG10878-MONOMER"	EG10878-MONOMER	"RplQ"	14.365
"EG10879-MONOMER"	EG10879-MONOMER	"RplR"	12.77
"EG10880-MONOMER"	EG10880-MONOMER	"RplS"	13.133 // 13.0
"EG10865-MONOMER"	EG10865-MONOMER	"RplB"	29.86
"EG10881-MONOMER"	EG10881-MONOMER	"PdzA" // "RplT"	13.497 // 13.4
"EG50001-MONOMER"	EG50001-MONOMER	"RplU"	11.564
"EG10882-MONOMER"	EG10882-MONOMER	"EryB" // "RplV"	12.226
"EG10883-MONOMER"	EG10883-MONOMER	"RplW"	11.199
"EG10884-MONOMER"	EG10884-MONOMER	"RplX"	11.316
"EG10885-MONOMER"	EG10885-MONOMER	"RplY"	10.693 // 12.0
"EG50002-MONOMER"	EG50002-MONOMER	"Rpz" // "RpmA"	9.124
"EG10886-MONOMER"	EG10886-MONOMER	"RpmB"	9.006
"EG10887-MONOMER"	EG10887-MONOMER	"RpmC"	7.273
"EG10866-MONOMER"	EG10866-MONOMER	"RplC"	22.243
"EG12449-MONOMER"	EG12449-MONOMER	"PrmB" // "YfcB" // "ribosomal large subunit L3 protein glutamine methyltransferase" // "protein-glutamine N-methyltransferase"	35.002
"EG10888-MONOMER"	EG10888-MONOMER	"RpmD"	6.542
"EG10889-MONOMER"	EG10889-MONOMER	"RpmE"	7.871
"EG10890-MONOMER"	EG10890-MONOMER	"RpmF"	6.446 // 6.3
"EG10891-MONOMER"	EG10891-MONOMER	"RpmG"	6.372 // 6.255
"EG10892-MONOMER"	EG10892-MONOMER	"SsaF" // "RimA" // "RpmH"	5.38
"EG11231-MONOMER"	EG11231-MONOMER	"RpmI" // "50S ribosomal subunit protein A" // "X1 protein"	7.289
"EG11232-MONOMER"	EG11232-MONOMER	"SecX" // "RpmJ" // "50S ribosomal subunit protein B"	4.364
"EG10867-MONOMER"	EG10867-MONOMER	"EryA" // "RplD"	22.086
"EG10868-MONOMER"	EG10868-MONOMER	"RplE"	20.302
"EG10869-MONOMER"	EG10869-MONOMER	"RplF"	18.904
"EG10870-MONOMER"	EG10870-MONOMER	"RplI"	15.769 // 15.7
"G7319-MONOMER"	G7319-MONOMER	"Der" // "YfgK" // "EngA"	55.036
"LUMAZINESYN-MONOMER"	LUMAZINESYN-MONOMER	"YbaF" // "RibH" // "RibE"	16.156 // 16.2d0
"G7431-MONOMER"	G7431-MONOMER	"SscR" // "YgcM" // "QueD"	13.773
"EG11848-MONOMER"	EG11848-MONOMER	"YihV"	31.728
"EG11846-MONOMER"	EG11846-MONOMER	"SquT" // "YihT"	31.983
"G6487-MONOMER"	G6487-MONOMER	"YcbX" // "protein involved in base analog detoxification"	40.644
"G495-MONOMER"	G495-MONOMER	"YqfC" // "BglD" // "BglA"	55.361
"EG10085-MONOMER"	EG10085-MONOMER	"Sac" // "AscB"	53.935
"EG10114-MONOMER"	EG10114-MONOMER	"BlgA" // "BglB" // "phospho-&beta;-glucosidase B; cryptic" // "6-phospho-b-glucosidase" // "6-phospho-b-D-glucosyl-(1,4)-D-glucose glucohydrolase" // "phospho-b-glucosidase" // "phosphocellobiase" // "6-phospho-&beta;-glucosidase B; cryptic"	53.161
"6PFK-1-MONOMER"	6PFK-1-MONOMER	"PfkA"	34.842 // 35.0
"6PFK-2-MONOMER"	6PFK-2-MONOMER	"PfkB"	32.456 // 36.0
"6PGLUCONDEHYDROG-MONOMER"	6PGLUCONDEHYDROG-MONOMER	"Gnd"	51.481 // 52.0
"EG11725-MONOMER"	EG11725-MONOMER	"YieH"	24.664
"6PGLUCONOLACT-MONOMER"	6PGLUCONOLACT-MONOMER	"Pgl" // "YbhE"	36.308
"7-ALPHA-HYDROXYSTEROID-DEH-MONOMER"	7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	"HdhA" // "Hsd" // "HsdH"	26.779 // 28
"G7452-MONOMER"	G7452-MONOMER	"YqcD" // "QueF"	32.587
"G6245-MONOMER"	G6245-MONOMER	"YbaX" // "QueC"	25.514
"7KAPSYN-MONOMER"	7KAPSYN-MONOMER	"BioF"	41.594
"EG10626-MONOMER"	EG10626-MONOMER	"NudA" // "MutT"	14.927
"MODF-MONOMER"	MODF-MONOMER	"ModF" // "ChlD" // "PhrA" // "ORF6"	54.536
"G6423-MONOMER"	G6423-MONOMER	"YbiT"	59.858
"YHES-MONOMER"	YHES-MONOMER	"YheS"	71.843
"YOJI-MONOMER"	YOJI-MONOMER	"YojJ" // "YojI"	61.553
"MDLA-MONOMER"	MDLA-MONOMER	"Mdl" // "MdlA" // "Mdl-N"	66.017
"MDLB-MONOMER"	MDLB-MONOMER	"Mdl" // "MdlB" // "Mdl-C"	65.223
"YDDA-MONOMER"	YDDA-MONOMER	"YddA"	64.985
"YHHJ-MONOMER"	YHHJ-MONOMER	"YhhJ"	41.062
"EG12311-MONOMER"	EG12311-MONOMER	"IscX" // "YfhJ" // "regulator of iron-sulfur cluster assembly"	7.732 // 8.0
"MHPF-MONOMER"	MHPF-MONOMER	"MhpF" // "acetaldehyde dehydrogenase 2"	33.442 // 35.3
"ACECOATRANS-MONOMER"	ACECOATRANS-MONOMER		
"ACETATEKINA-MONOMER"	ACETATEKINA-MONOMER	"AckA" // "propionate kinase 2" // "acetate kinase A"	43.29
"YJCG-MONOMER"	YJCG-MONOMER	"YjcG" // "ActP"	59.197
"EG11512-MONOMER"	EG11512-MONOMER	"SatP" // "YaaH"	20.071
"LARGEILVB-MONOMER"	LARGEILVB-MONOMER	"IlvB" // "acetohydroxy acid synthase I, large subunit"	60.441 // 60.0
"SMALLILVN-MONOMER"	SMALLILVN-MONOMER	"IlvN" // "acetohydroxy acid synthase I, small subunit"	11.106 // 9.5
"ACETOLACTSYNIII-ICHAIN-MONOMER"	ACETOLACTSYNIII-ICHAIN-MONOMER	"IlvI"	62.984 // 60
"ACETOLACTSYNIII-HCHAIN-MONOMER"	ACETOLACTSYNIII-HCHAIN-MONOMER	"BrnP" // "IlvH"	17.977 // 17
"G8221-MONOMER"	G8221-MONOMER	"IlvO" // "IlvG_1" // "IlvG" // "acetolactate synthase II, large subunit, N-ter fragment (pseudogene)"	34.507
"SMALLILVM-MONOMER"	SMALLILVM-MONOMER	"IlvM" // "acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit"	9.703
"ACETYL-COA-ACETYLTRANSFER-MONOMER"	ACETYL-COA-ACETYLTRANSFER-MONOMER	"AtoB"	40.352 // 42.0
"CARBOXYL-TRANSFERASE-ALPHA-MONOMER"	CARBOXYL-TRANSFERASE-ALPHA-MONOMER	"AccA"	35.242 // 35.0
"CARBOXYL-TRANSFERASE-BETA-MONOMER"	CARBOXYL-TRANSFERASE-BETA-MONOMER	"Usg" // "DedB" // "AccD"	33.322 // 31.5
"ACS-MONOMER"	ACS-MONOMER	"AcsA" // "YfaC" // "Acs"	72.094 // 72.0
"ATOD-MONOMER"	ATOD-MONOMER	"AtoD"	23.526 // 26.5
"ATOA-MONOMER"	ATOA-MONOMER	"AtoA"	22.96 // 26
"G7234-MONOMER"	G7234-MONOMER	"YfdE"	41.671
"EG11101-MONOMER"	EG11101-MONOMER	"YbaC" // "Aes"	36.034 // 37.0
"ACETYLGLUTKIN-MONOMER"	ACETYLGLUTKIN-MONOMER	"ArgB"	27.159
"ACETYLORNDEACET-MONOMER"	ACETYLORNDEACET-MONOMER	"ArgE"	42.347 // 42.0
"APHA-MONOMER"	APHA-MONOMER	"HobH" // "YjbP" // "AphA"	26.104 // 25.0
"G6855-MONOMER"	G6855-MONOMER	"Asr"	10.591 // 18.0
"G7657-MONOMER"	G7657-MONOMER	"IbaG" // "YrbA" // "putative DNA-binding transcriptional regulator IbaG"	9.452
"G7521-MONOMER"	G7521-MONOMER	"YqgB"	4.859
"G6928-MONOMER"	G6928-MONOMER	"YdiY"	27.607
"EG11495-MONOMER"	EG11495-MONOMER	"YhiA" // "HdeD"	20.903
"EG11338-MONOMER"	EG11338-MONOMER	"MsyB"	14.259 // 25.0
"ACONITASE-MONOMER"	ACONITASE-MONOMER	"Acn" // "AcnA"	97.677
"EG11315-MONOMER"	EG11315-MONOMER	"AcuI" // "YhdH"	34.724
