# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.1
# Date and time generated: September 13, 2021, 11:35:18
"id"	"common_name"	"synonyms"	"type"	"left_end_pos"	"right_end_pos"	"direction"
"BS0-10040"	null	[]	"dna-binding-site"	4275769	4275785	null
"BS0-10041"	null	[]	"dna-binding-site"	4383973	4383989	null
"BS0-10042"	null	[]	"dna-binding-site"	4427160	4427176	null
"BS0-10043"	null	[]	"dna-binding-site"	4526103	4526119	null
"BS0-10044"	null	[]	"dna-binding-site"	321339	321355	null
"BS0-10045"	null	[]	"dna-binding-site"	324886	324902	null
"BS0-10046"	null	[]	"dna-binding-site"	1425042	1425058	null
"BS0-10047"	null	[]	"dna-binding-site"	1615790	1615806	null
"BS0-10048"	null	[]	"dna-binding-site"	1622682	1622698	null
"BS0-10049"	null	[]	"dna-binding-site"	1657922	1657938	null
"BS0-10050"	null	[]	"dna-binding-site"	1660477	1660493	null
"BS0-10051"	null	[]	"dna-binding-site"	1662998	1663014	null
"BS0-10052"	null	[]	"dna-binding-site"	1667012	1667028	null
"BS0-10053"	null	[]	"dna-binding-site"	1809328	1809344	null
"BS0-10054"	null	[]	"dna-binding-site"	1925006	1925022	null
"BS0-10055"	null	[]	"dna-binding-site"	1907985	1908001	null
"BS0-10056"	null	[]	"dna-binding-site"	3013853	3013869	null
"BS0-10057"	null	[]	"dna-binding-site"	2987896	2987912	null
"BS0-10058"	null	[]	"dna-binding-site"	2989311	2989327	null
"BS0-10059"	null	[]	"dna-binding-site"	4439381	4439397	null
"BS0-10060"	null	[]	"dna-binding-site"	1942086	1942102	null
"BS0-10155"	null	[]	"dna-binding-site"	null	null	null
"BS0-10156"	null	[]	"dna-binding-site"	null	null	null
"BS0-10157"	null	[]	"dna-binding-site"	null	null	null
"BS0-10158"	null	[]	"dna-binding-site"	null	null	null
"BS0-10159"	null	[]	"dna-binding-site"	null	null	null
"BS0-10160"	null	[]	"dna-binding-site"	null	null	null
"BS0-10161"	null	[]	"dna-binding-site"	null	null	null
"BS0-10162"	null	[]	"dna-binding-site"	null	null	null
"BS0-10163"	null	[]	"dna-binding-site"	null	null	null
"BS0-10164"	null	[]	"dna-binding-site"	null	null	null
"BS0-10165"	null	[]	"dna-binding-site"	null	null	null
"BS0-10166"	null	[]	"dna-binding-site"	null	null	null
"BS0-10167"	null	[]	"dna-binding-site"	null	null	null
"BS0-10168"	null	[]	"dna-binding-site"	null	null	null
"BS0-10169"	null	[]	"dna-binding-site"	null	null	null
"BS0-10170"	null	[]	"dna-binding-site"	null	null	null
"BS0-10171"	null	[]	"dna-binding-site"	null	null	null
"BS0-10172"	null	[]	"dna-binding-site"	null	null	null
"BS0-10173"	null	[]	"dna-binding-site"	null	null	null
"BS0-10174"	null	[]	"dna-binding-site"	null	null	null
"BS0-10175"	null	[]	"dna-binding-site"	null	null	null
"BS0-10177"	null	[]	"dna-binding-site"	null	null	null
"BS0-10178"	null	[]	"dna-binding-site"	null	null	null
"BS0-10179"	null	[]	"dna-binding-site"	null	null	null
"BS0-10180"	null	[]	"dna-binding-site"	null	null	null
"BS0-10181"	null	[]	"dna-binding-site"	null	null	null
"BS0-10182"	null	[]	"dna-binding-site"	null	null	null
"BS0-10183"	null	[]	"dna-binding-site"	null	null	null
"BS0-10184"	null	[]	"dna-binding-site"	null	null	null
"BS0-10185"	null	[]	"dna-binding-site"	null	null	null
"BS0-10186"	null	[]	"dna-binding-site"	null	null	null
"BS0-10187"	null	[]	"dna-binding-site"	null	null	null
"BS0-10188"	null	[]	"dna-binding-site"	null	null	null
"BS0-10189"	null	[]	"dna-binding-site"	null	null	null
"BS0-10190"	null	[]	"dna-binding-site"	null	null	null
"BS0-10191"	null	[]	"dna-binding-site"	null	null	null
"BS0-10192"	null	[]	"dna-binding-site"	null	null	null
"BS0-10193"	null	[]	"dna-binding-site"	null	null	null
"BS0-10194"	null	[]	"dna-binding-site"	null	null	null
"BS0-10195"	null	[]	"dna-binding-site"	null	null	null
"BS0-10196"	null	[]	"dna-binding-site"	null	null	null
"BS0-10197"	null	[]	"dna-binding-site"	null	null	null
"BS0-10198"	null	[]	"dna-binding-site"	null	null	null
"BS0-10199"	null	[]	"dna-binding-site"	null	null	null
"BS0-10200"	null	[]	"dna-binding-site"	null	null	null
"BS0-10201"	null	[]	"dna-binding-site"	null	null	null
"BS0-10202"	null	[]	"dna-binding-site"	null	null	null
"BS0-10203"	null	[]	"dna-binding-site"	null	null	null
"BS0-10204"	null	[]	"dna-binding-site"	null	null	null
"BS0-10205"	null	[]	"dna-binding-site"	null	null	null
"BS0-10206"	null	[]	"dna-binding-site"	null	null	null
"BS0-10207"	null	[]	"dna-binding-site"	null	null	null
"BS0-10208"	null	[]	"dna-binding-site"	null	null	null
"BS0-10209"	null	[]	"dna-binding-site"	null	null	null
"BS0-1021"	null	[]	"dna-binding-site"	940862	940884	null
"BS0-10210"	null	[]	"dna-binding-site"	null	null	null
"BS0-10211"	null	[]	"dna-binding-site"	null	null	null
"BS0-10212"	null	[]	"dna-binding-site"	null	null	null
"BS0-10213"	null	[]	"dna-binding-site"	null	null	null
"BS0-10214"	null	[]	"dna-binding-site"	null	null	null
"BS0-10215"	null	[]	"dna-binding-site"	null	null	null
"BS0-10216"	null	[]	"dna-binding-site"	null	null	null
"BS0-10217"	null	[]	"dna-binding-site"	null	null	null
"BS0-10218"	null	[]	"dna-binding-site"	null	null	null
"BS0-10219"	null	[]	"dna-binding-site"	null	null	null
"BS0-1022"	null	[]	"dna-binding-site"	940850	940862	null
"BS0-10220"	null	[]	"dna-binding-site"	null	null	null
"BS0-10221"	null	[]	"dna-binding-site"	null	null	null
"BS0-10222"	null	[]	"dna-binding-site"	null	null	null
"BS0-10223"	null	[]	"dna-binding-site"	null	null	null
"BS0-10224"	null	[]	"dna-binding-site"	null	null	null
"BS0-10225"	null	[]	"dna-binding-site"	null	null	null
"BS0-10226"	null	[]	"dna-binding-site"	null	null	null
"BS0-10227"	null	[]	"dna-binding-site"	null	null	null
"BS0-10228"	null	[]	"dna-binding-site"	null	null	null
"BS0-10229"	null	[]	"dna-binding-site"	null	null	null
"BS0-1023"	null	[]	"dna-binding-site"	795046	795069	null
"BS0-10230"	null	[]	"dna-binding-site"	null	null	null
"BS0-10231"	null	[]	"dna-binding-site"	null	null	null
"BS0-10232"	null	[]	"dna-binding-site"	null	null	null
"BS0-10233"	null	[]	"dna-binding-site"	null	null	null
"BS0-10234"	null	[]	"dna-binding-site"	null	null	null
"BS0-10235"	null	[]	"dna-binding-site"	null	null	null
"BS0-10236"	null	[]	"dna-binding-site"	null	null	null
"BS0-10237"	null	[]	"dna-binding-site"	null	null	null
"BS0-10238"	null	[]	"dna-binding-site"	null	null	null
"BS0-10239"	null	[]	"dna-binding-site"	null	null	null
"BS0-10240"	null	[]	"dna-binding-site"	null	null	null
"BS0-10241"	null	[]	"dna-binding-site"	null	null	null
"BS0-10242"	null	[]	"dna-binding-site"	null	null	null
"BS0-10243"	null	[]	"dna-binding-site"	null	null	null
"BS0-10244"	null	[]	"dna-binding-site"	null	null	null
"BS0-10245"	null	[]	"dna-binding-site"	null	null	null
"BS0-10246"	null	[]	"dna-binding-site"	null	null	null
"BS0-10247"	null	[]	"dna-binding-site"	null	null	null
"BS0-10248"	null	[]	"dna-binding-site"	null	null	null
"BS0-10249"	null	[]	"dna-binding-site"	null	null	null
"BS0-10250"	null	[]	"dna-binding-site"	null	null	null
"BS0-10251"	null	[]	"dna-binding-site"	null	null	null
"BS0-10252"	null	[]	"dna-binding-site"	null	null	null
"BS0-10253"	null	[]	"dna-binding-site"	null	null	null
"BS0-10254"	null	[]	"dna-binding-site"	null	null	null
"BS0-10255"	null	[]	"dna-binding-site"	null	null	null
"BS0-10256"	null	[]	"dna-binding-site"	null	null	null
"BS0-10257"	null	[]	"dna-binding-site"	null	null	null
"BS0-10258"	null	[]	"dna-binding-site"	null	null	null
"BS0-10259"	null	[]	"dna-binding-site"	null	null	null
"BS0-10260"	null	[]	"dna-binding-site"	null	null	null
"BS0-10261"	null	[]	"dna-binding-site"	null	null	null
"BS0-10262"	null	[]	"dna-binding-site"	null	null	null
"BS0-10263"	null	[]	"dna-binding-site"	null	null	null
"BS0-10264"	null	[]	"dna-binding-site"	null	null	null
"BS0-10265"	null	[]	"dna-binding-site"	null	null	null
"BS0-10266"	null	[]	"dna-binding-site"	null	null	null
"BS0-10267"	null	[]	"dna-binding-site"	null	null	null
"BS0-10268"	null	[]	"dna-binding-site"	null	null	null
"BS0-10269"	null	[]	"dna-binding-site"	null	null	null
"BS0-10270"	null	[]	"dna-binding-site"	null	null	null
"BS0-10271"	null	[]	"dna-binding-site"	null	null	null
"BS0-10272"	null	[]	"dna-binding-site"	null	null	null
"BS0-10273"	null	[]	"dna-binding-site"	null	null	null
"BS0-10274"	null	[]	"dna-binding-site"	null	null	null
"BS0-10275"	null	[]	"dna-binding-site"	null	null	null
"BS0-10276"	null	[]	"dna-binding-site"	null	null	null
"BS0-10277"	null	[]	"dna-binding-site"	null	null	null
"BS0-10278"	null	[]	"dna-binding-site"	null	null	null
"BS0-10279"	null	[]	"dna-binding-site"	null	null	null
"BS0-10280"	null	[]	"dna-binding-site"	null	null	null
"BS0-10281"	null	[]	"dna-binding-site"	null	null	null
"BS0-10282"	null	[]	"dna-binding-site"	null	null	null
"BS0-10283"	null	[]	"dna-binding-site"	null	null	null
"BS0-10284"	null	[]	"dna-binding-site"	null	null	null
"BS0-10285"	null	[]	"dna-binding-site"	null	null	null
"BS0-10286"	null	[]	"dna-binding-site"	null	null	null
"BS0-10287"	null	[]	"dna-binding-site"	null	null	null
"BS0-10288"	null	[]	"dna-binding-site"	null	null	null
"BS0-10289"	null	[]	"dna-binding-site"	null	null	null
"BS0-10290"	null	[]	"dna-binding-site"	null	null	null
"BS0-10291"	null	[]	"dna-binding-site"	null	null	null
"BS0-10292"	null	[]	"dna-binding-site"	null	null	null
"BS0-10293"	null	[]	"dna-binding-site"	null	null	null
"BS0-10294"	null	[]	"dna-binding-site"	null	null	null
"BS0-10295"	null	[]	"dna-binding-site"	null	null	null
"BS0-10296"	null	[]	"dna-binding-site"	null	null	null
"BS0-10297"	null	[]	"dna-binding-site"	null	null	null
"BS0-10298"	null	[]	"dna-binding-site"	null	null	null
"BS0-10299"	null	[]	"dna-binding-site"	null	null	null
"BS0-10300"	null	[]	"dna-binding-site"	null	null	null
"BS0-10301"	null	[]	"dna-binding-site"	null	null	null
"BS0-10302"	null	[]	"dna-binding-site"	null	null	null
"BS0-10303"	null	[]	"dna-binding-site"	null	null	null
"BS0-10304"	null	[]	"dna-binding-site"	null	null	null
"BS0-10305"	null	[]	"dna-binding-site"	null	null	null
"BS0-10306"	null	[]	"dna-binding-site"	null	null	null
"BS0-10307"	null	[]	"dna-binding-site"	null	null	null
"BS0-10308"	null	[]	"dna-binding-site"	null	null	null
"BS0-10309"	null	[]	"dna-binding-site"	null	null	null
"BS0-10310"	null	[]	"dna-binding-site"	null	null	null
"BS0-10311"	null	[]	"dna-binding-site"	null	null	null
"BS0-10312"	null	[]	"dna-binding-site"	null	null	null
"BS0-10313"	null	[]	"dna-binding-site"	null	null	null
"BS0-10314"	null	[]	"dna-binding-site"	null	null	null
"BS0-10315"	null	[]	"dna-binding-site"	null	null	null
"BS0-10316"	null	[]	"dna-binding-site"	null	null	null
"BS0-10317"	null	[]	"dna-binding-site"	null	null	null
"BS0-10318"	null	[]	"dna-binding-site"	null	null	null
"BS0-10319"	null	[]	"dna-binding-site"	null	null	null
"BS0-10320"	null	[]	"dna-binding-site"	null	null	null
"BS0-10321"	null	[]	"dna-binding-site"	null	null	null
"BS0-10322"	null	[]	"dna-binding-site"	null	null	null
"BS0-10323"	null	[]	"dna-binding-site"	null	null	null
"BS0-10324"	null	[]	"dna-binding-site"	null	null	null
"BS0-10325"	null	[]	"dna-binding-site"	null	null	null
"BS0-10326"	null	[]	"dna-binding-site"	null	null	null
"BS0-10327"	null	[]	"dna-binding-site"	null	null	null
"BS0-10328"	null	[]	"dna-binding-site"	null	null	null
"BS0-10329"	null	[]	"dna-binding-site"	null	null	null
"BS0-10330"	null	[]	"dna-binding-site"	null	null	null
"BS0-10331"	null	[]	"dna-binding-site"	null	null	null
"BS0-10332"	null	[]	"dna-binding-site"	null	null	null
"BS0-10333"	null	[]	"dna-binding-site"	null	null	null
"BS0-10334"	null	[]	"dna-binding-site"	null	null	null
"BS0-10335"	null	[]	"dna-binding-site"	null	null	null
"BS0-10336"	null	[]	"dna-binding-site"	null	null	null
"BS0-10337"	null	[]	"dna-binding-site"	null	null	null
"BS0-10338"	null	[]	"dna-binding-site"	null	null	null
"BS0-10339"	null	[]	"dna-binding-site"	null	null	null
"BS0-10340"	null	[]	"dna-binding-site"	null	null	null
"BS0-10341"	null	[]	"dna-binding-site"	null	null	null
"BS0-10342"	null	[]	"dna-binding-site"	null	null	null
"BS0-10343"	null	[]	"dna-binding-site"	null	null	null
"BS0-10344"	null	[]	"dna-binding-site"	null	null	null
"BS0-10345"	null	[]	"dna-binding-site"	null	null	null
"BS0-10346"	null	[]	"dna-binding-site"	null	null	null
"BS0-10347"	null	[]	"dna-binding-site"	null	null	null
"BS0-10348"	null	[]	"dna-binding-site"	null	null	null
"BS0-10349"	null	[]	"dna-binding-site"	null	null	null
"BS0-10350"	null	[]	"dna-binding-site"	null	null	null
"BS0-10351"	null	[]	"dna-binding-site"	null	null	null
"BS0-10352"	null	[]	"dna-binding-site"	null	null	null
"BS0-10353"	null	[]	"dna-binding-site"	null	null	null
"BS0-10354"	null	[]	"dna-binding-site"	null	null	null
"BS0-10355"	null	[]	"dna-binding-site"	null	null	null
"BS0-10356"	null	[]	"dna-binding-site"	null	null	null
"BS0-10357"	null	[]	"dna-binding-site"	null	null	null
"BS0-10358"	null	[]	"dna-binding-site"	null	null	null
"BS0-10359"	null	[]	"dna-binding-site"	null	null	null
"BS0-10360"	null	[]	"dna-binding-site"	null	null	null
"BS0-10361"	null	[]	"dna-binding-site"	null	null	null
"BS0-10362"	null	[]	"dna-binding-site"	null	null	null
"BS0-10363"	null	[]	"dna-binding-site"	null	null	null
"BS0-10364"	null	[]	"dna-binding-site"	null	null	null
"BS0-10365"	null	[]	"dna-binding-site"	null	null	null
"BS0-10366"	null	[]	"dna-binding-site"	null	null	null
"BS0-10367"	null	[]	"dna-binding-site"	null	null	null
"BS0-10368"	null	[]	"dna-binding-site"	null	null	null
"BS0-10369"	null	[]	"dna-binding-site"	null	null	null
"BS0-10370"	null	[]	"dna-binding-site"	null	null	null
"BS0-10371"	null	[]	"dna-binding-site"	null	null	null
"BS0-10372"	null	[]	"dna-binding-site"	null	null	null
"BS0-10373"	null	[]	"dna-binding-site"	null	null	null
"BS0-10374"	null	[]	"dna-binding-site"	null	null	null
"BS0-10375"	null	[]	"dna-binding-site"	null	null	null
"BS0-10376"	null	[]	"dna-binding-site"	null	null	null
"BS0-10377"	null	[]	"dna-binding-site"	null	null	null
"BS0-10378"	null	[]	"dna-binding-site"	null	null	null
"BS0-10379"	null	[]	"dna-binding-site"	null	null	null
"BS0-10380"	null	[]	"dna-binding-site"	null	null	null
"BS0-10381"	null	[]	"dna-binding-site"	null	null	null
"BS0-10382"	null	[]	"dna-binding-site"	null	null	null
"BS0-10383"	null	[]	"dna-binding-site"	null	null	null
"BS0-10384"	null	[]	"dna-binding-site"	null	null	null
"BS0-10385"	null	[]	"dna-binding-site"	null	null	null
"BS0-10386"	null	[]	"dna-binding-site"	null	null	null
"BS0-10387"	null	[]	"dna-binding-site"	null	null	null
"BS0-10388"	null	[]	"dna-binding-site"	null	null	null
"BS0-10389"	null	[]	"dna-binding-site"	null	null	null
"BS0-10390"	null	[]	"dna-binding-site"	null	null	null
"BS0-10391"	null	[]	"dna-binding-site"	null	null	null
"BS0-10392"	null	[]	"dna-binding-site"	null	null	null
"BS0-10393"	null	[]	"dna-binding-site"	null	null	null
"BS0-10394"	null	[]	"dna-binding-site"	null	null	null
"BS0-10395"	null	[]	"dna-binding-site"	null	null	null
"BS0-10396"	null	[]	"dna-binding-site"	null	null	null
"BS0-10397"	null	[]	"dna-binding-site"	null	null	null
"BS0-10398"	null	[]	"dna-binding-site"	null	null	null
"BS0-10399"	null	[]	"dna-binding-site"	null	null	null
"BS0-10400"	null	[]	"dna-binding-site"	null	null	null
"BS0-10401"	null	[]	"dna-binding-site"	null	null	null
"BS0-10402"	null	[]	"dna-binding-site"	null	null	null
"BS0-10403"	null	[]	"dna-binding-site"	null	null	null
"BS0-10404"	null	[]	"dna-binding-site"	null	null	null
"BS0-10405"	null	[]	"dna-binding-site"	null	null	null
"BS0-10406"	null	[]	"dna-binding-site"	null	null	null
"BS0-10407"	null	[]	"dna-binding-site"	null	null	null
"BS0-10408"	null	[]	"dna-binding-site"	null	null	null
"BS0-10409"	null	[]	"dna-binding-site"	null	null	null
"BS0-1041"	null	[]	"dna-binding-site"	816781	816794	null
"BS0-10410"	null	[]	"dna-binding-site"	null	null	null
"BS0-10411"	null	[]	"dna-binding-site"	null	null	null
"BS0-10412"	null	[]	"dna-binding-site"	null	null	null
"BS0-10413"	null	[]	"dna-binding-site"	null	null	null
"BS0-10414"	null	[]	"dna-binding-site"	null	null	null
"BS0-10415"	null	[]	"dna-binding-site"	null	null	null
"BS0-10416"	null	[]	"dna-binding-site"	null	null	null
"BS0-10417"	null	[]	"dna-binding-site"	null	null	null
"BS0-10418"	null	[]	"dna-binding-site"	null	null	null
"BS0-10419"	null	[]	"dna-binding-site"	null	null	null
"BS0-10420"	null	[]	"dna-binding-site"	null	null	null
"BS0-10421"	null	[]	"dna-binding-site"	null	null	null
"BS0-10422"	null	[]	"dna-binding-site"	null	null	null
"BS0-10423"	null	[]	"dna-binding-site"	null	null	null
"BS0-10424"	null	[]	"dna-binding-site"	null	null	null
"BS0-10425"	null	[]	"dna-binding-site"	null	null	null
"BS0-10426"	null	[]	"dna-binding-site"	null	null	null
"BS0-10427"	null	[]	"dna-binding-site"	null	null	null
"BS0-10428"	null	[]	"dna-binding-site"	3883901	3883915	null
"BS0-10429"	null	[]	"dna-binding-site"	null	null	null
"BS0-10430"	null	[]	"dna-binding-site"	null	null	null
"BS0-10432"	null	[]	"dna-binding-site"	null	null	null
"BS0-10434"	null	[]	"dna-binding-site"	null	null	null
"BS0-10435"	null	[]	"dna-binding-site"	null	null	null
"BS0-10436"	null	[]	"dna-binding-site"	null	null	null
"BS0-10437"	null	[]	"dna-binding-site"	null	null	null
"BS0-10438"	null	[]	"dna-binding-site"	3539870	3539888	null
"BS0-10440"	null	[]	"dna-binding-site"	null	null	null
"BS0-10441"	null	[]	"dna-binding-site"	null	null	null
"BS0-10442"	null	[]	"dna-binding-site"	3499784	3499805	null
"BS0-10443"	null	[]	"dna-binding-site"	3499842	3499851	null
"BS0-10444"	null	[]	"dna-binding-site"	null	null	null
"BS0-10445"	null	[]	"dna-binding-site"	null	null	null
"BS0-10446"	null	[]	"dna-binding-site"	null	null	null
"BS0-10447"	null	[]	"dna-binding-site"	null	null	null
"BS0-10448"	null	[]	"dna-binding-site"	null	null	null
"BS0-10449"	null	[]	"dna-binding-site"	null	null	null
"BS0-10450"	null	[]	"dna-binding-site"	null	null	null
"BS0-10451"	null	[]	"dna-binding-site"	null	null	null
"BS0-10452"	null	[]	"dna-binding-site"	null	null	null
"BS0-10453"	null	[]	"dna-binding-site"	null	null	null
"BS0-10454"	null	[]	"dna-binding-site"	null	null	null
"BS0-10455"	null	[]	"dna-binding-site"	null	null	null
"BS0-10456"	null	[]	"dna-binding-site"	null	null	null
"BS0-10457"	null	[]	"dna-binding-site"	null	null	null
"BS0-10458"	null	[]	"dna-binding-site"	null	null	null
"BS0-10459"	null	[]	"dna-binding-site"	null	null	null
"BS0-10460"	null	[]	"dna-binding-site"	null	null	null
"BS0-10462"	null	[]	"dna-binding-site"	null	null	null
"BS0-10463"	null	[]	"dna-binding-site"	null	null	null
"BS0-10464"	null	[]	"dna-binding-site"	null	null	null
"BS0-10465"	null	[]	"dna-binding-site"	null	null	null
"BS0-10466"	null	[]	"dna-binding-site"	null	null	null
"BS0-10467"	null	[]	"dna-binding-site"	3884216	3884229	null
"BS0-10468"	null	[]	"dna-binding-site"	3884269	3884283	null
"BS0-10469"	null	[]	"dna-binding-site"	3884302	3884315	null
"BS0-10470"	null	[]	"dna-binding-site"	null	null	null
"BS0-10472"	null	[]	"dna-binding-site"	1787066	1787082	null
"BS0-1061"	null	[]	"dna-binding-site"	1277907	1277930	null
