# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.1
# Date and time generated: September 10, 2021, 12:54:24
"id"	"common_name"	"genes"	"left_end_pos"	"right_end_pos"	"direction"
"TU0-12914"	"yaiI"	["G6230"]	405764	406222	"+"
"TU0-12915"	"ppnP"	["EG12159"]	408148	408461	"+"
"TU0-12916"	"ykiA"	["G6231"]	408574	408950	"+"
"TU0-12917"	"sbcDC"	["EG11094", "EG10927"]	412607	416977	"-"
"TU0-12918"	"brnQ-proY"	["G6233", "EG12168"]	419488	422359	"+"
"TU0-12919"	"yajD"	["EG11097"]	430605	430952	"+"
"TU0-12920"	"yajI"	["EG12874"]	432312	432851	"-"
"TU0-12921"	"nrdR-ribDE-nusB-thiL-pgpA"	["EG10704", "G6234", "EG10666", "EG11322", "EG11321", "EG11320"]	432977	437107	"+"
"TU0-12924"	"panE-yajL"	["G6239", "G198"]	443051	444515	"-"
"TU0-12925"	"yajR"	["G6241"]	445302	446687	"-"
"TU0-12926"	"ampG"	["EG12183"]	452070	453545	"-"
"TU0-12927"	"yajG"	["EG12182"]	453557	454210	"-"
"TU0-12928"	"tig"	["EG11003"]	454993	456431	"+"
"TU0-12931"	"ybaV"	["G6243"]	463937	464308	"+"
"TU0-12932"	"fadM"	["G6244"]	464360	464800	"+"
"TU0-12933"	"queC"	["G6245"]	464852	465547	"-"
"TU0-12934"	"ybaE"	["EG13217"]	465612	467312	"-"
"TU0-12935"	"cof"	["G6246"]	467412	468230	"+"
"TU0-12936"	"decR"	["G6247"]	468352	468841	"+"
"TU0-12937"	"mdlAB"	["EG11622", "G6248"]	468871	472417	"+"
"TU0-12938"	"ffs"	["EG30027"]	476448	476561	"+"
"TU0-12939"	"ybaA"	["EG11099"]	476672	477025	"+"
"TU0-12940"	"pdeB"	["G6252"]	477067	478617	"-"
"TU0-12941"	"ylaC"	["G6253"]	478781	479288	"-"
"TU0-12942"	"maa"	["G58"]	479367	479918	"-"
"TU0-12943"	"tomB-hha"	["EG12429", "EG10439"]	480090	480794	"-"
"TU0-12944"	"mscK"	["G6255"]	486492	489898	"+"
"TU0-12945"	"priC-ybaM"	["EG10765", "EG12830"]	490110	490812	"-"
"TU0-12946"	"ybaN"	["EG12843"]	490882	491259	"+"
"TU0-12947"	"apt"	["EG10051"]	491310	491963	"+"
"TU0-12948"	"dnaX"	["EG10245"]	492056	494023	"+"
"TU0-12951"	"hemH"	["EG10431"]	497998	499017	"+"
"TU0-12952"	"ybaL"	["EG12623"]	501562	503295	"-"
"TU0-12953"	"fsr"	["G6256"]	503476	504696	"-"
"TU0-12955"	"cueR"	["G6263"]	513993	514400	"+"
"TU0-12956"	"qmcA-ybbJ"	["G6265", "G6264"]	514401	515823	"-"
"TU0-12957"	"fetAB"	["G6267", "G6266"]	515903	517362	"+"
"TU0-12959"	"ybbAP"	["G6270", "EG11657"]	519733	522830	"+"
"TU0-12960"	"rhsD-ybbC-ylbH-ybbD"	["EG11770", "G6271", "EG11769", "EG10849"]	523261	529130	"+"
"TU0-12961"	"ylbG"	["G6273"]	529645	530016	"-"
"TU0-12962"	"fdrA-ylbEF-ybcF"	["EG12384", "G6289", "G6288", "G6287"]	546680	551332	"+"
"TU0-12963"	"ppiB-lpxH"	["EG10758", "EG12666"]	553218	554437	"-"
"TU0-12964"	"ybcI"	["EG12708"]	556032	556553	"-"
"TU0-12965"	"folD-ybcJ"	["EG10328", "EG12879"]	556661	557781	"-"
"TU0-12966"	"sfmA"	["G6290"]	558212	558754	"+"
"TU0-12967"	"sfmCD"	["G6292", "G6291"]	558974	562300	"+"
"TU0-12968"	"sfmHF"	["EG12388", "G6293"]	562336	563845	"+"
"TU0-12969"	"exoD"	["G6295"]	566098	566361	"-"
"TU0-12970"	"peaD"	["G0-10555"]	566376	566687	"+"
"TU0-12971"	"insE3EF3F3"	["G6297", "G6296", "G0-10530"]	566842	568004	"+"
"TU0-12973"	"ybcK"	["G6300"]	568902	570428	"+"
"TU0-12974"	"ybcLM"	["G6302", "G6301"]	570893	572251	"+"
"TU0-12975"	"ybcN-ninE-ybcO-rusA-ylcG"	["G0-10435", "G6306", "G6305", "G6304", "G6303"]	572466	573870	"+"
"TU0-12976"	"ybcQ"	["G6307"]	573956	574339	"+"
"TU0-12978"	"rzoD"	["G0-10436"]	578327	578509	"+"
"TU0-12979"	"ybcV"	["G6313"]	579184	579594	"-"
"TU0-12980"	"ybcW"	["G6314"]	579880	580086	"+"
"TU0-12981"	"nohD"	["EG11635"]	580834	581379	"+"
"TU0-12982"	"tfaD"	["G6315"]	581534	582097	"+"
"TU0-12983"	"tfaX"	["G6317"]	582875	583060	"+"
"TU0-12985"	"ybdG"	["G6323"]	603416	604663	"-"
"TU0-12987"	"ybdF"	["G6324"]	605518	605886	"-"
"TU0-12988"	"ybdJ"	["G6325"]	605951	606199	"-"
"TU0-12989"	"ybdK"	["G6326"]	606265	607383	"-"
"TU0-12990"	"insL2"	["G6327"]	608065	609177	"+"
"TU0-12991"	"ybdD"	["G0-10438"]	632182	632379	"+"
"TU0-12992"	"ybdM"	["G6330"]	634747	635376	"-"
"TU0-12993"	"ybdN"	["G6331"]	635349	636686	"-"
"TU0-12994"	"ybdO"	["G6332"]	636716	637618	"-"
"TU0-12995"	null	["G6333"]	637827	638800	"-"
"TU0-12996"	"rnk"	["G6337"]	643557	643967	"-"
"TU0-12997"	"rna"	["EG10856"]	644197	645034	"-"
"TU0-12998"	"citT"	["G6338"]	645117	646580	"-"
"TU0-12999"	"citCDEFXG"	["G6344", "G6343", "G6342", "G6341", "G6340", "G6339"]	646631	651952	"-"
"TU0-13000"	"dpiBA"	["G6346", "G6345"]	651984	654542	"+"
"TU0-13001"	"cspE"	["EG12179"]	657250	657501	"+"
"TU0-13002"	"ybeM"	["EG12208"]	658031	658818	"+"
"TU0-13003"	"tatE"	["EG11305"]	658947	659150	"+"
"TU0-13004"	"lipA"	["EG11306"]	659251	660301	"-"
"TU0-13005"	"ybeF"	["EG11594"]	660425	661378	"-"
"TU0-13006"	"lipB"	["EG11591"]	661637	662278	"-"
"TU0-13007"	"ybeD"	["EG11592"]	662379	662642	"-"
"TU0-13008"	"dacA"	["EG10201"]	662752	663963	"-"
"TU0-13009"	"rsfS-rlmH-mrdAB-rlpA"	["EG11255", "EG11254", "EG10606", "EG10607", "EG10854"]	664102	669072	"-"
"TU0-13010"	"leuS-lptE-holA-nadD-cobC"	["EG10532", "EG10855", "EG11412", "G6350", "G6349"]	669296	674783	"-"
"TU0-13011"	"ybeR-djlB"	["G6353", "G6352"]	676711	678842	"+"
"TU0-13012"	"ybeU-djlC"	["G6356", "G6355"]	679508	681663	"+"
"TU0-13013"	"hscC"	["G6357"]	681723	683393	"-"
"TU0-13014"	"rihA"	["G6358"]	683477	684412	"-"
"TU0-13015"	"insH3"	["G6360"]	687997	688977	"-"
"TU0-13016"	"ybeX-lnt"	["G6361", "EG10168"]	689343	691784	"-"
"TU0-13017"	"ybeZY"	["G6363", "G6362"]	691874	693378	"-"
"TU0-13018"	"miaB"	["G6364"]	693531	694955	"-"
"TU0-13021"	"chiZPQ"	["G0-17083", "G6371", "G6370"]	708236	710116	"+"
"TU0-13022"	"chiQ"	["G6371"]	709790	710116	"+"
"TU0-13023"	"ybfF"	["EG11776"]	712038	712802	"-"
"TU0-13024"	"ybfP"	["G6374"]	715412	715906	"+"
"TU0-13025"	"ybfA"	["EG11521"]	729134	729340	"+"
"TU0-13026"	"rhsC-ybfB"	["EG11522", "EG10848"]	729583	734102	"+"
"TU0-13027"	"ybfOC"	["EG11523", "G6376"]	734220	736219	"+"
"TU0-13028"	"ybfQ"	["G0-10440"]	736445	736699	"+"
"TU0-13029"	"ybfL"	["G6377"]	736900	737961	"+"
"TU0-13030"	"ybfD"	["EG11524"]	738092	738853	"+"
"TU0-13031"	"abrB"	["G6384"]	746723	747769	"-"
"TU0-13032"	"ybgQPO"	["G6387", "G6386", "G6385"]	747921	752169	"-"
"TU0-13033"	"ybgD"	["EG12359"]	752229	752795	"-"
"TU0-13034"	"valZ-lysY"	["G6390", "G6389"]	781068	781222	"+"
"TU0-13035"	"lysZ"	["G6391"]	781369	781444	"+"
"TU0-13036"	"lysQ"	["G6392"]	781577	781843	"+"
"TU0-13037"	null	["EG11700", "EG10630"]	782061	783885	"+"
"TU0-13038"	"zitB"	["G6393"]	783882	784823	"-"
"TU0-13039"	"ybgS"	["G6394"]	784937	785317	"-"
"TU0-13040"	"modEF"	["G6395", "EG11677"]	792316	794644	"-"
"TU0-13041"	"acrZ"	["G6396"]	794751	794922	"+"
"TU0-13042"	"ybhH"	["G6399"]	800759	801811	"+"
"TU0-13043"	"ybhI"	["G6400"]	801887	803320	"+"
"TU0-13044"	"ybhJ"	["G6401"]	803503	805764	"+"
"TU0-13045"	"ybhC"	["EG12875"]	805998	807321	"-"
"TU0-13046"	"ybhB"	["EG11238"]	807433	807909	"-"
"TU0-13047"	"ybhL"	["G6403"]	819858	820588	"+"
"TU0-13048"	"ybhM"	["G6404"]	820793	821506	"+"
"TU0-13049"	"ybhP-clsB-ybhN"	["G6407", "G6406", "G6405"]	821542	824497	"-"
"TU0-13050"	"cecR-ybhGFSR"	["EG12406", "G6412", "G6411", "G6410", "G6409"]	825002	830669	"-"
"TU0-13051"	"hcxB"	["EG11581"]	836351	837436	"+"
"TU0-13052"	"ybiJ"	["EG12422"]	837665	837925	"-"
"TU0-13053"	"ybiI"	["EG12421"]	838190	838484	"-"
"TU0-13054"	"ybiX"	["G6413"]	838530	839207	"-"
"TU0-13056"	"mcbA"	["G6415"]	841796	842153	"-"
"TU0-13057"	"ybiO"	["G6417"]	843255	845480	"-"
"TU0-13058"	"rhtA"	["EG12134"]	849210	850097	"-"
"TU0-13059"	"mntR-ybiR"	["G6421", "G6420"]	853098	854765	"+"
"TU0-13060"	"ybiU"	["G6424"]	857796	859061	"-"
"TU0-13061"	"ybiV"	["G6425"]	859213	860028	"-"
"TU0-13062"	"ybiYW"	["G6427", "G6426"]	860174	863511	"-"
"TU0-13063"	"iaaA-gsiABCD"	["G6432", "G6431", "G6430", "G6429", "EG12407"]	866537	872801	"+"
"TU0-13064"	"pdeI-dgcI"	["G6434", "G6433"]	872979	876663	"+"
"TU0-13065"	"bssR"	["G6436"]	878248	878631	"+"
"TU0-13066"	"yliI"	["G6437"]	878742	879857	"+"
"TU0-13067"	"deoR"	["EG10223"]	881976	882764	"-"
"TU0-13068"	null	["G6441"]	884946	885230	"-"
"TU0-13069"	"ybjJI"	["G6443", "G6442"]	885316	887339	"-"
"TU0-13070"	"rybB"	["G0-8880"]	887979	888057	"-"
"TU0-13071"	"ybjL"	["G6445"]	888134	889819	"-"
"TU0-13072"	"ybjO-rlmC"	["G6449", "G6448"]	897989	899645	"+"
"TU0-13073"	"ybjQ-amiD"	["G6452", "G6451"]	904517	905743	"+"
"TU0-13074"	"ybjS"	["G6453"]	905740	906753	"-"
"TU0-13075"	"poxB-ltaE-ybjT"	["EG10754", "G6455", "G6454"]	906852	911049	"-"
"TU0-13076"	"lysO"	["G6458"]	913958	914895	"-"
"TU0-13077"	"aat"	["EG11112"]	926728	927432	"-"
"TU0-13078"	"trxB"	["EG11032"]	931019	932078	"-"
"TU0-13079"	"lolA-rarA"	["EG12690", "G6465"]	937328	939337	"+"
"TU0-13080"	"serS"	["EG10947"]	939365	940765	"+"
