"position"	"direction"	"id"	"name"
1026264	"-"	"PM0-10012"	"mgsAp"
1066981	"-"	"PM0-10013"	"wrbAp"
1105515	"+"	"PM0-10014"	"clsCp"
1119832	"-"	"PM0-10016"	"solAp"
1120243	"-"	"PM0-10017"	"bssSp"
1143644	"-"	"PM0-10018"	"rnep4"
1146561	"+"	"PM0-10020"	"rpmFp"
1211313	"-"	"PM0-10021"	"iraMp"
1213336	"-"	"PM0-10022"	"bluRp"
1226832	"+"	"PM0-10023"	"ycgLp"
1234139	"+"	"PM0-10024"	"fadRp2"
1236508	"-"	"PM0-10025"	"ycgBp"
1288400	"-"	"PM0-10027"	"ychJp"
1308916	"-"	"PM0-10028"	"yciIp"
1321212	"+"	"PM0-10029"	"yciVp"
1333851	"+"	"PM0-10030"	"acnAp3"
1349142	"-"	"PM0-10031"	"fabIp1"
1359076	"+"	"PM0-10033"	"puuDp"
1386898	"+"	"PM0-10034"	"ycjGp"
1393997	"-"	"PM0-10035"	"ynaIp"
1396683	"-"	"PM0-10036"	"uspEp"
1406048	"+"	"PM0-10037"	"ydaNp"
1433665	"-"	"PM0-10038"	"uspFp"
1490463	"+"	"PM0-10039"	"trgp1"
1508002	"+"	"PM0-10040"	"ydcRp"
1521251	"+"	"PM0-10041"	"yncEp"
1524252	"+"	"PM0-10042"	"yncGp"
1625515	"+"	"PM0-10044"	"ydfGp"
1626350	"+"	"PM0-10045"	"ydfHp"
1635870	"-"	"PM0-10046"	"gnsBp"
1653733	"+"	"PM0-10047"	"ynfBp"
1671914	"+"	"PM0-10048"	"tqsAp"
1687818	"+"	"PM0-10049"	"ydgAp"
1696146	"-"	"PM0-10050"	"hdhAp"
1712351	"+"	"PM0-10051"	"gstAp"
1715307	"-"	"PM0-10052"	"tyrSp2"
1722703	"-"	"PM0-10053"	"sodCp"
1753687	"+"	"PM0-10054"	"pykFp1"
1753624	"+"	"PM0-10055"	"pykFp2"
1777352	"-"	"PM0-10056"	"ydiPp"
1807287	"-"	"PM0-10057"	"yniBp"
1807350	"+"	"PM0-10058"	"yniCp"
1837464	"+"	"PM0-10059"	"ynjEp"
1864530	"-"	"PM0-10060"	"mipAp"
1864789	"+"	"PM0-10061"	"yeaGp2"
1872347	"+"	"PM0-10062"	"yeaLp"
1905641	"-"	"PM0-10063"	"yobFp2"
1926889	"-"	"PM0-10064"	"ptrBp"
1935568	"+"	"PM0-10065"	"pykAp1"
1935518	"+"	"PM0-10066"	"pykAp2"
1948725	"-"	"PM0-10067"	"aspSp1"
1977250	"-"	"PM0-10068"	"insA-5p"
1997532	"-"	"PM0-10069"	"dcyDp"
2069498	"+"	"PM0-10071"	"flup1"
2069527	"+"	"PM0-10072"	"flup2"
2079349	"-"	"PM0-10073"	"sbmCp1"
2079327	"-"	"PM0-10074"	"sbmCp2"
2083576	"-"	"PM0-10075"	"yeeEp"
2112375	"-"	"PM0-10076"	"galFp"
2135887	"+"	"PM0-10077"	"yegHp"
2174454	"-"	"PM0-10078"	"gatZp"
2176803	"+"	"PM0-10079"	"yegTp"
2183473	"-"	"PM0-10080"	"thiMp"
2192291	"+"	"PM0-10081"	"metGp"
2232011	"+"	"PM0-10082"	"yeiTp"
2267942	"+"	"PM0-10083"	"sprp"
2361677	"-"	"PM0-10085"	"yfaYp"
2459001	"-"	"PM0-10086"	"yfcZp"
2463157	"-"	"PM0-10087"	"mlaAp"
2507469	"-"	"PM0-10088"	"glkp1"
2528223	"-"	"PM0-10090"	"ligAp"
2530366	"+"	"PM0-10091"	"cysKp2"
2535341	"-"	"PM0-10092"	"pdxKp1"
2542686	"-"	"PM0-10093"	"ucpAp1"
2542693	"-"	"PM0-10094"	"ucpAp2"
2576630	"+"	"PM0-10095"	"talAp"
2614048	"+"	"PM0-10096"	"yfgCp2"
2637455	"-"	"PM0-10097"	"yfgMp1"
2637424	"-"	"PM0-10098"	"yfgMp2"
2637392	"-"	"PM0-10099"	"yfgMp3"
2650346	"-"	"PM0-10100"	"yfhMp"
2650413	"+"	"PM0-10101"	"sseAp"
2745875	"-"	"PM0-10103"	"ffhp"
2798143	"+"	"PM0-10104"	"ygaMp"
2817295	"-"	"PM0-10106"	"csrAp3"
2865589	"-"	"PM0-10108"	"rpoSp1"
2865629	"-"	"PM0-10109"	"rpoSp2"
2865676	"-"	"PM0-10110"	"rpoSp3"
2865746	"-"	"PM0-10111"	"rpoSp4"
2906040	"-"	"PM0-10112"	"enop6"
2907735	"-"	"PM0-10113"	"pyrGp"
2913065	"-"	"PM0-10114"	"rlmDp"
2923343	"+"	"PM0-10115"	"queFp"
3003869	"-"	"PM0-10116"	"ygeVp"
3039121	"-"	"PM0-10117"	"cptBp"
3039304	"+"	"PM0-10118"	"ygfZp"
3067893	"-"	"PM0-10119"	"mscSp"
3079729	"-"	"PM0-10120"	"tktAp1"
3136632	"-"	"PM0-10122"	"gssp"
3136722	"+"	"PM0-10123"	"yghUp"
3151551	"+"	"PM0-10124"	"yghBp"
3154593	"+"	"PM0-10125"	"dkgAp"
3182740	"-"	"PM0-10126"	"sroGp2"
3219459	"+"	"PM0-10127"	"ebgRp"
3235304	"+"	"PM0-10128"	"ygjRp"
3237885	"+"	"PM0-10129"	"sstTp"
3299390	"-"	"PM0-10130"	"yhbTp1"
3299323	"-"	"PM0-10131"	"yhbTp2"
3325781	"+"	"PM0-10132"	"yhbYp"
3351071	"-"	"PM0-10133"	"arcBp"
3378204	"+"	"PM0-10134"	"yhcBp"
3378676	"+"	"PM0-10135"	"degQp1"
3436023	"+"	"PM0-10137"	"mscLp"
3440517	"-"	"PM0-10138"	"rpsMp1"
3474528	"-"	"PM0-10141"	"yheOp1"
3474563	"-"	"PM0-10142"	"yheOp2"
3482333	"+"	"PM0-10143"	"prkBp"
3490541	"+"	"PM0-10144"	"tsgAp"
3520848	"+"	"PM0-10145"	"mrcAp"
3643373	"+"	"PM0-10146"	"rlmJp"
3717120	"-"	"PM0-10148"	"yiaFp"
3737697	"+"	"PM0-10149"	"avtAp"
3759998	"-"	"PM0-10150"	"yibFp"
3783258	"+"	"PM0-10151"	"gpmMp"
3810726	"+"	"PM0-10152"	"dfpp"
3828454	"+"	"PM0-10153"	"yicHp"
3924498	"-"	"PM0-10155"	"mioCp"
3929151	"-"	"PM0-10156"	"ravAp"
3929126	"+"	"PM0-10157"	"kupp1"
3929204	"+"	"PM0-10158"	"kupp2"
3929288	"+"	"PM0-10159"	"kupp3"
3957864	"-"	"PM0-10160"	"ppiCp"
4002747	"-"	"PM0-10162"	"yigIp"
4024466	"+"	"PM0-10163"	"frep1"
4024508	"+"	"PM0-10164"	"frep2"
4029170	"+"	"PM0-10166"	"pepQp"
4040072	"+"	"PM0-10168"	"yihDp"
4073571	"+"	"PM0-10169"	"yihXp"
4109592	"-"	"PM0-10170"	"tpiAp2"
4118421	"-"	"PM0-10172"	"menAp1"
4225625	"+"	"PM0-10174"	"yjbBp"
4254631	"+"	"PM0-10175"	"dgkAp"
4262327	"-"	"PM0-10176"	"qorp"
4262306	"+"	"PM0-10177"	"dnaBp"
4263612	"+"	"PM0-10178"	"alrp1"
4263675	"+"	"PM0-10179"	"alrp2"
4268237	"+"	"PM0-10180"	"yjbQp"
4361353	"-"	"PM0-10181"	"yjdCp"
4368806	"+"	"PM0-10182"	"groLp1"
4368896	"+"	"PM0-10183"	"groLp2"
4368999	"+"	"PM0-10184"	"groLp3"
4370784	"+"	"PM0-10185"	"yjeIp"
4380641	"+"	"PM0-10186"	"epmAp"
4423048	"+"	"PM0-10188"	"rpsFp"
4426842	"-"	"PM0-10189"	"ytfBp"
4427803	"+"	"PM0-10190"	"cycAp"
4447709	"-"	"PM0-10191"	"ppap"
4455968	"+"	"PM0-10192"	"pmbAp"
4468969	"-"	"PM0-10193"	"ridAp"
4476468	"+"	"PM0-10194"	"rraBp2"
4605804	"+"	"PM0-10195"	"holDp"
1752666	"-"	"PM0-10196"	"ydhYp"
903038	"-"	"PM0-10201"	"artPp1"
903059	"-"	"PM0-10202"	"artPp2"
903066	"-"	"PM0-10203"	"artPp3"
738143	"+"	"PM0-10204"	"ybgAp2"
255914	"+"	"PM0-10205"	"gptp"
256502	"+"	"PM0-10206"	"frsAp"
160657	"-"	"PM0-10207"	"dksAp2"
149630	"-"	"PM0-10209"	"panBp"
4374532	"+"	"PM0-10214"	"ecnBp"
4636183	"+"	"PM0-10215"	"creDp"
3176096	"+"	"PM0-10219"	"tolCp4"
1724045	"+"	"PM0-10220"	"nemRp"
467576	"+"	"PM0-10221"	"ybaOp"
849432	"+"	"PM0-10222"	"ompXp1"
2165138	"+"	"PM0-10223"	"cyaRp"
4173130	"-"	"PM0-10224"	"coaAp"
3053996	"+"	"PM0-10228"	"ssrSp1"
3053781	"+"	"PM0-10229"	"ssrSp2"
1820326	"+"	"PM0-10230"	"nadEp"
1599281	"-"	"PM0-10233"	"lsrRp"
3906470	"-"	"PM0-10238"	"pstBp"
3814668	"+"	"PM0-10241"	"yicCp"
3815722	"+"	"PM0-10242"	"dinDp"
1928789	"-"	"PM0-10243"	"yebGp"
1120732	"-"	"PM0-10244"	"dinIp"
606954	"+"	"PM0-10246"	"hokEp"
711162	"-"	"PM0-10247"	"ybfEp"
1821516	"+"	"PM0-10248"	"chop"
1790111	"-"	"PM0-10249"	"ydiVp"
3657107	"+"	"PM0-10251"	"mdtEp1"
3657163	"+"	"PM0-10252"	"mdtEp2"
3657168	"+"	"PM0-10253"	"mdtEp3"
882792	"+"	"PM0-10254"	"cmrp2"
3176026	"+"	"PM0-10256"	"tolCp1"
3176034	"+"	"PM0-10257"	"tolCp2"
3176084	"+"	"PM0-10259"	"tolCp3"
2543815	"-"	"PM0-10266"	"murRp"
2543755	"+"	"PM0-10275"	"murQp1"
2543763	"+"	"PM0-10276"	"murQp2"
2151335	"+"	"PM0-10277"	"sibAp"
3192887	"-"	"PM0-10278"	"sibDp"
3193262	"-"	"PM0-10279"	"sibEp"
3054873	"+"	"PM0-10280"	"sibCp"
2151670	"+"	"PM0-10281"	"sibBp"
1092064	"+"	"PM0-10283"	"ycdTp"
2241870	"-"	"PM0-10286"	"folEp"
3662674	"-"	"PM0-10287"	"gadWp1"
3662804	"-"	"PM0-10288"	"gadWp2"
2795107	"-"	"PM0-10299"	"yqaEp"
2812838	"-"	"PM0-10300"	"luxSp2"
2087757	"-"	"PM0-10318"	"yefMp"
812716	"+"	"PM0-10330"	"uvrBp1"
2166373	"-"	"PM0-10331"	"yegRp"
2306663	"-"	"PM0-10338"	"yojIp"
3819411	"+"	"PM0-10342"	"gmkp"
3820100	"+"	"PM0-10343"	"rpoZp"
3992515	"+"	"PM0-10344"	"yifLp"
3656065	"+"	"PM0-10348"	"gadEp2"
3655823	"+"	"PM0-10349"	"gadEp3"
246615	"-"	"PM0-10350"	"dinJp"
1358992	"-"	"PM0-10351"	"puuAp"
1234128	"+"	"PM0-10352"	"fadRp"
4390759	"+"	"PM0-10354"	"yjeVp"
4392115	"-"	"PM0-10356"	"queGp"
1398308	"-"	"PM0-10357"	"ogtp"
4002837	"+"	"PM0-10360"	"pldAp"
4484162	"-"	"PM0-10361"	"pepAp1"
4484135	"-"	"PM0-10362"	"pepAp2"
4484124	"-"	"PM0-10363"	"pepAp3"
117705	"-"	"PM0-10364"	"ppdDp"
3520950	"-"	"PM0-10365"	"hofMp"
3656085	"+"	"PM0-10366"	"gadEp4"
1622712	"+"	"PM0-10367"	"ydeJp"
635909	"-"	"PM0-10368"	"ybdNp"
3799159	"-"	"PM0-10370"	"rfaYp"
3382492	"-"	"PM0-10371"	"mdhp2"
3242865	"-"	"PM0-10372"	"uxaCp1"
3243065	"+"	"PM0-10375"	"exutP1"
651262	"-"	"PM0-10377"	"citCp2"
651207	"+"	"PM0-10380"	"dpiBp"
651395	"+"	"PM0-10381"	"dpiBp2"
707459	"+"	"PM0-10382"	"ybfMp"
1545229	"-"	"PM0-10383"	"yddGp"
250880	"+"	"PM0-10387"	"dinBp"
1507245	"+"	"PM0-10389"	"hicAp"
1886085	"-"	"PM0-10401"	"rndp"
4393608	"+"	"PM0-10404"	"tsaEp"
638023	"-"	"PM0-10406"	"dsbGp"
637916	"+"	"PM0-10408"	"ahpCp2"
1702536	"+"	"PM0-10409"	"blrp"
2974591	"+"	"PM0-1041"	"galRp"
3306108	"-"	"PM0-10411"	"yrbNp"
3166675	"-"	"PM0-10415"	"mqsRp"
4603800	"+"	"PM0-10418"	"yjjZp"
4273441	"+"	"PM0-10431"	"yjcCp"
1732381	"+"	"PM0-10434"	"ydhOp"
4472087	"-"	"PM0-10435"	"bdcAp"
1449522	"-"	"PM0-10436"	"tynAp"
3965823	"+"	"PM0-10437"	"rfep"
1863748	"-"	"PM0-10438"	"yeaEp"
374610	"+"	"PM0-10441"	"mhpTp"
229098	"+"	"PM0-10442"	"dkgBp"
2870923	"-"	"PM0-10443"	"ftsBp"
1732186	"-"	"PM0-10444"	"grxD"
2696660	"-"	"PM0-10445"	"pgpCp"
4554599	"+"	"PM0-10448"	"iraDp1"
1986025	"-"	"PM0-10449"	"azuCp"
312509	"-"	"PM0-10451"	"ykgRp"
1905817	"-"	"PM0-10453"	"yobFp1"
4476407	"+"	"PM0-10454"	"rraBp1"
2689362	"-"	"PM0-10457"	"glmYp2"
334963	"+"	"PM0-10463"	"yahEp"
45592	"+"	"PM0-10464"	"yaaUp"
257824	"+"	"PM0-10465"	"crlp2"
3611462	"+"	"PM0-10466"	"nikAp2"
3851868	"+"	"PM0-10467"	"emrDp"
3670159	"+"	"PM0-10468"	"yhjCp"
3014014	"+"	"PM0-10469"	"ygfKp"
2278644	"+"	"PM0-10470"	"yejHp"
494041	"+"	"PM0-10471"	"htpGp3"
1976601	"-"	"PM0-10472"	"flhDp2"
4282958	"-"	"PM0-10473"	"actPp"
4092408	"-"	"PM0-10474"	"rhaDp"
3166584	"-"	"PM0-10479"	"mqsRp2"
2998287	"+"	"PM0-10480"	"xdhAp2"
2585572	"+"	"PM0-10482"	"acrDp2"
3326886	"-"	"PM0-10488"	"greAp1"
1986706	"+"	"PM0-10490"	"ftnAp"
2023337	"-"	"PM0-10501"	"dsrAp"
1407153	"+"	"PM0-10502"	"fnrSp"
1620938	"-"	"PM0-10504"	"mgrRp"
1620612	"+"	"PM0-10505"	"yneMp"
3708604	"-"	"PM0-10506"	"eptBp"
3759320	"-"	"PM0-10509"	"selAp"
1846724	"-"	"PM0-10511"	"ydjAp"
1846053	"-"	"PM0-10512"	"selDp2"
3834245	"+"	"PM0-10514"	"selCp"
1840212	"-"	"PM0-10516"	"ynjHp2"
4325087	"+"	"PM0-10518"	"yjdAp2"
4325102	"+"	"PM0-10519"	"yjdAp1"
4156417	"-"	"PM0-10525"	"oxySp"
265382	"-"	"PM0-10527"	"ykfBp1"
265451	"-"	"PM0-10528"	"ykfBp2"
174902	"-"	"PM0-10530"	"hemLp1"
174941	"-"	"PM0-10531"	"hemLp2"
3204446	"+"	"PM0-10539"	"ttdAp"
3204402	"-"	"PM0-10540"	"ttdRp"
2763916	"+"	"PM0-10541"	"rnlAp2"
2764882	"+"	"PM0-10542"	"rnlBp2"
1214975	"+"	"PM0-10543"	"ycgZp"
2882341	"-"	"PM0-10544"	"casp"
4105545	"+"	"PM0-10550"	"pfkAp1"
3070670	"-"	"PM0-10551"	"pgkp2"
3070757	"-"	"PM0-10554"	"pgkp3"
786893	"-"	"PM0-10556"	"gpmAp2"
2905990	"-"	"PM0-10557"	"enop4"
2906174	"-"	"PM0-10558"	"enop7"
1753641	"+"	"PM0-10559"	"pykFp3"
1115932	"-"	"PM0-1061"	"lpxLp"
1115995	"+"	"PM0-1081"	"yceAp"
89596	"+"	"PM0-1101"	"mraZp"
1327308	"+"	"PM0-1121"	"sohBp1"
1327325	"+"	"PM0-1122"	"sohBp2"
4453751	"+"	"PM0-1123"	"mplp1"
4453783	"+"	"PM0-1124"	"mplp2"
4118429	"-"	"PM0-1125"	"menAp"
1830037	"-"	"PM0-1162"	"astCp1"
1830068	"-"	"PM0-1163"	"astCp2"
1830063	"-"	"PM0-1164"	"astCp3"
191812	"+"	"PM0-1181"	"pyrHp"
2798678	"+"	"PM0-1182"	"nrdHp"
4103808	"+"	"PM0-1201"	"cpxPp"
4040414	"+"	"PM0-1221"	"rdoAp"
4041400	"+"	"PM0-1222"	"dsbAp"
940101	"+"	"PM0-1282"	"dmsAp2"
816050	"+"	"PM0-1283"	"moaAp1"
816137	"+"	"PM0-1284"	"moaAp2"
1156989	"+"	"PM0-1301"	"ptsGp1"
1156849	"+"	"PM0-1302"	"ptsGp2"
2714545	"-"	"PM0-1303"	"yfiDp"
209679	"+"	"PM0-1321"	"ldcCp"
4033262	"+"	"PM0-1341"	"rrsAp1"
3939539	"+"	"PM0-1343"	"rrsCp1"
3939656	"+"	"PM0-1344"	"rrsCp2"
4205886	"+"	"PM0-1346"	"rrsEp"
2729470	"-"	"PM0-1347"	"rrsGp1"
2729354	"-"	"PM0-1348"	"rrsGp2"
223485	"+"	"PM0-1349"	"rrsHp1"
223593	"+"	"PM0-1350"	"rrsHp2"
3427069	"-"	"PM0-1351"	"rrsDp1"
3426962	"-"	"PM0-1352"	"rrsDp2"
3637871	"-"	"PM0-1358"	"uspBp"
4373590	"+"	"PM0-1382"	"efpp"
4374817	"+"	"PM0-1401"	"sugEp"
4446425	"+"	"PM0-1421"	"chpSp1"
4446451	"+"	"PM0-1422"	"chpSp2"
710052	"-"	"PM0-1441"	"uofp"
710744	"-"	"PM0-1442"	"fldAp"
3644135	"+"	"PM0-15"	"gorp"
3057752	"+"	"PM0-1501"	"argPp"
4044675	"-"	"PM0-1562"	"yihGp"
1614979	"+"	"PM0-1581"	"ydeAp"
103561	"+"	"PM0-1582"	"ftsAp1"
3681521	"-"	"PM0-1621"	"dctAp"
1644412	"+"	"PM0-1661"	"flxAp"
2001700	"-"	"PM0-1681"	"fliCp"
1975326	"-"	"PM0-1701"	"motAp"
4589656	"+"	"PM0-1721"	"tsrp"
1129388	"-"	"PM0-1725"	"flgMp"
1137574	"+"	"PM0-1726"	"flgKp"
3217142	"-"	"PM0-1727"	"aerp"
1970740	"-"	"PM0-1728"	"tarp"
1243779	"-"	"PM0-1729"	"ycgRp"
3677252	"-"	"PM0-1730"	"yhjHp"
3371642	"-"	"PM0-1781"	"nanAp"
655306	"-"	"PM0-1783"	"dcuCp"
1669351	"+"	"PM0-1881"	"asrp"
4366626	"+"	"PM0-1901"	"fxsAp"
1257765	"-"	"PM0-1961"	"pthp"
1257105	"-"	"PM0-1962"	"ychFp"
3084599	"+"	"PM0-1963"	"metKp"
1366062	"+"	"PM0-1981"	"pspAp"
1365969	"-"	"PM0-1983"	"pspFp1"
1365953	"-"	"PM0-1984"	"pspFp2"
1366064	"-"	"PM0-1986"	"pspFp3"
594796	"+"	"PM0-2001"	"cusCp"
594685	"-"	"PM0-2002"	"cusRp"
2347521	"-"	"PM0-2021"	"inaAp"
2660221	"-"	"PM0-2061"	"iscRp"
440597	"-"	"PM0-2082"	"xseBp"
3372788	"+"	"PM0-2083"	"dcuDp"
2789194	"+"	"PM0-2101"	"gabDp1"
1006895	"+"	"PM0-2181"	"rlmLp"
4238323	"+"	"PM0-2201"	"psiEp"
141360	"+"	"PM0-2221"	"hptp"
141263	"-"	"PM0-2222"	"gcdp1"
141279	"-"	"PM0-2223"	"gcdp2"
1173251	"-"	"PM0-2261"	"mfdp1"
1173215	"-"	"PM0-2262"	"mfdp2"
890115	"+"	"PM0-2281"	"ybjCp"
891099	"+"	"PM0-2301"	"rimKp"
3663862	"-"	"PM0-2441"	"gadXp"
222714	"-"	"PM0-2482"	"metNp"
3056571	"-"	"PM0-2522"	"serAp2"
159171	"-"	"PM0-2523"	"pcnBp3"
367743	"+"	"PM0-2582"	"mhpAp"
367752	"-"	"PM0-2585"	"mhpRp"
4465303	"+"	"PM0-2601"	"mgtAp2"
4465298	"-"	"PM0-2621"	"treRp2"
4465302	"-"	"PM0-2622"	"treRp3"
4465370	"-"	"PM0-2623"	"treRp4"
840871	"-"	"PM0-2701"	"fiup"
3150036	"-"	"PM0-2741"	"exbBp"
3149412	"-"	"PM0-2743"	"exbDp"
1160870	"-"	"PM0-2761"	"fhuEp"
1762442	"-"	"PM0-2801"	"sufAp"
1542148	"-"	"PM0-2829"	"narUp1"
1542187	"-"	"PM0-2841"	"narUp2"
2069341	"+"	"PM0-2881"	"flup"
2550263	"+"	"PM0-2921"	"amiAp"
2551227	"+"	"PM0-2922"	"hemFp"
2749781	"+"	"PM0-3"	"recNp"
2481470	"-"	"PM0-3281"	"emrKp"
2716697	"+"	"PM0-3284"	"trxCp"
510797	"+"	"PM0-3303"	"ybaSp"
137045	"+"	"PM0-3304"	"cueOp"
3467918	"-"	"PM0-3321"	"chiAp"
3489670	"-"	"PM0-3324"	"ficp"
2998279	"+"	"PM0-3325"	"xdhAp"
770425	"+"	"PM0-3341"	"cydAp3"
770436	"+"	"PM0-3342"	"cydAp4"
770591	"+"	"PM0-3343"	"cydAp5"
3037844	"+"	"PM0-3382"	"fldBp"
1798842	"-"	"PM0-3485"	"infCp2"
3217480	"+"	"PM0-3521"	"patAp"
892959	"+"	"PM0-3541"	"potFp1"
4164507	"+"	"PM0-3564"	"rrsBp2"
786855	"-"	"PM0-3582"	"gpmAp"
3579039	"-"	"PM0-3601"	"ryhBp"
2798612	"-"	"PM0-3603"	"ygaCp"
188655	"-"	"PM0-36128"	"glnDp"
2627053	"-"	"PM0-36132"	"yfgFp"
3153324	"+"	"PM0-36133"	"yqhDp"
4049331	"+"	"PM0-36134"	"yihIp"
4603775	"-"	"PM0-36136"	"fhuFp2"
2311474	"+"	"PM0-36140"	"rcsDp"
2313717	"+"	"PM0-36142"	"rcsBp1"
2313997	"+"	"PM0-36143"	"rcsBp2"
3229646	"+"	"PM0-36147"	"fadHp"
1313420	"-"	"PM0-36155"	"yciEp"
1311722	"-"	"PM0-36156"	"yciCp"
159391	"-"	"PM0-36157"	"pcnBp4"
3331540	"-"	"PM0-36158"	"rplUp"
3334908	"-"	"PM0-36160"	"ibaGp2"
2212862	"+"	"PM0-36161"	"mlrAp"
2813087	"-"	"PM0-36173"	"luxSp1"
3571680	"-"	"PM0-36176"	"glgBp"
3566415	"-"	"PM0-36178"	"glgAp"
3214560	"-"	"PM0-36183"	"yqjHp"
3908565	"-"	"PM0-36184"	"pstCp"
3906579	"-"	"PM0-36185"	"pstBp1"
3905688	"-"	"PM0-36186"	"phoUp"
1608744	"-"	"PM0-36188"	"uxaBp"
2464537	"+"	"PM0-36189"	"intSp"
3632766	"+"	"PM0-36192"	"yhiMp"
3946044	"-"	"PM0-36193"	"hdfRp"
1211346	"-"	"PM0-36194"	"iraMp2"
3841933	"+"	"PM0-36195"	"adep"
3469605	"-"	"PM0-36202"	"tufAp2"
367760	"-"	"PM0-36203"	"mhpRp1"
3340032	"+"	"PM0-36209"	"kdsCp2"
2493600	"+"	"PM0-3621"	"lpxPp"
3339741	"+"	"PM0-36210"	"kdsCp3"
3341321	"+"	"PM0-36211"	"lptAp2"
4233895	"+"	"PM0-36213"	"yjbEp2"
1123326	"-"	"PM0-36215"	"grxBp"
1027060	"-"	"PM0-36218"	"yccTp"
492933	"+"	"PM0-3622"	"ybaBp"
3656077	"-"	"PM0-36220"	"arrSp"
118663	"-"	"PM0-36221"	"nadCp"
118703	"+"	"PM0-36222"	"ampD"
146745	"-"	"PM0-36223"	"panDp"
214187	"-"	"PM0-36224"	"yaePp"
214280	"+"	"PM0-36225"	"yaeQp"
398678	"+"	"PM0-36226"	"yaiZp"
507415	"+"	"PM0-36227"	"ybaQp"
515047	"-"	"PM0-36228"	"qmcAp"
515127	"+"	"PM0-36229"	"ybbLp"
2751508	"+"	"PM0-3623"	"bamEp"
852321	"+"	"PM0-36230"	"mntRp"
855170	"+"	"PM0-36231"	"ybiTp"
1023588	"-"	"PM0-36232"	"yccFp"
1023661	"+"	"PM0-36233"	"helDp"
1168067	"-"	"PM0-36234"	"comRp"
1168256	"+"	"PM0-36235"	"bhsAp"
1438855	"-"	"PM0-36236"	"ydbKp"
1439053	"+"	"PM0-36237"	"ydbJp"
1493158	"-"	"PM0-36238"	"ydcIp"
1630747	"+"	"PM0-36239"	"ydfKp"
4388661	"-"	"PM0-3624"	"psdp"
1667696	"+"	"PM0-36240"	"ynfMp"
1839456	"-"	"PM0-36241"	"ynjFp"
1875681	"+"	"PM0-36242"	"yeaPp"
2228417	"-"	"PM0-36243"	"dusCp"
2228531	"+"	"PM0-36244"	"yohJp"
2263352	"-"	"PM0-36245"	"yeiWp"
2263439	"+"	"PM0-36246"	"yeiPp"
2583599	"+"	"PM0-36247"	"narQp"
2588992	"-"	"PM0-36248"	"ypfMp"
2627275	"+"	"PM0-36249"	"yfgGp"
3202197	"-"	"PM0-3625"	"bacAp"
2967015	"-"	"PM0-36250"	"rppHp"
3180455	"+"	"PM0-36251"	"zupTp"
3296919	"-"	"PM0-36252"	"yraRp"
3387452	"-"	"PM0-36253"	"aaeXp"
3387518	"+"	"PM0-36254"	"aaeRp"
3542880	"-"	"PM0-36255"	"bioHp"
4273187	"-"	"PM0-36256"	"yjcBp"
