"name"	"comments"	"mw"	"location"	"reactionId"	"id"
"glutamine ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 129322.0724999999, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-12-CPLX_RXN"	"ABC-12-CPLX"
"glutamate / aspartate ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 112509.25379999995, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-13-CPLX_RXN"	"ABC-13-CPLX"
"histidine ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 137284.92999999993, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-14-CPLX_RXN"	"ABC-14-CPLX"
"branched chain amino acid ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 173064.3043, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-15-CPLX_RXN"	"ABC-15-CPLX"
"maltose ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 214599.35790000018, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-16-CPLX_RXN"	"ABC-16-CPLX"
"methyl-&beta;-D-galactoside / galactose ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 219648.4726000002, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-18-CPLX_RXN"	"ABC-18-CPLX"
"molybdate ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 155467.22439999995, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-19-CPLX_RXN"	"ABC-19-CPLX"
"arabinose ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 214258.59900000013, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-2-CPLX_RXN"	"ABC-2-CPLX"
"nickel ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 180846.35579999996, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-20-CPLX_RXN"	"ABC-20-CPLX"
"YadG/YadH ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 126342.05339999987, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-21-CPLX_RXN"	"ABC-21-CPLX"
"peptide ABC transporter OppABCDF"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 201746.10399999996, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-22-CPLX_RXN"	"ABC-22-CPLX"
"phosphonate ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 141853.16379999998, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-23-CPLX_RXN"	"ABC-23-CPLX"
"putrescine / spermidine ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 185044.38859999995, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-24-CPLX_RXN"	"ABC-24-CPLX"
"putrescine ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 190663.20910000004, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-25-CPLX_RXN"	"ABC-25-CPLX"
"glycine betaine / proline ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 199569.51510000008, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-26-CPLX_RXN"	"ABC-26-CPLX"
"phosphate ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 161526.60029999985, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-27-CPLX_RXN"	"ABC-27-CPLX"
"ribose ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 207942.44310000006, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-28-CPLX_RXN"	"ABC-28-CPLX"
"peptide ABC transporter SapABCDF"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 197391.52890000006, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-29-CPLX_RXN"	"ABC-29-CPLX"
"lysine / arginine / ornithine ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 136794.2177999999, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-3-CPLX_RXN"	"ABC-3-CPLX"
"leucine ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 173365.5766, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-304-CPLX_RXN"	"ABC-304-CPLX"
"thiamin ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 205225.33360000033, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-32-CPLX_RXN"	"ABC-32-CPLX"
"xylose ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 230733.45010000034, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-33-CPLX_RXN"	"ABC-33-CPLX"
"glycerol-3-phosphate / glycerol-2-phosphate ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 192256.83790000004, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-34-CPLX_RXN"	"ABC-34-CPLX"
"protoheme IX ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 123001.57019999989, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-35-CPLX_RXN"	"ABC-35-CPLX"
"arginine ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 158933.33339999986, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-4-CPLX_RXN"	"ABC-4-CPLX"
"YehW/YehX/YehY/YehZ ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 168078.6494999999, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-40-CPLX_RXN"	"ABC-40-CPLX"
"peptide ABC transporter YejABEF"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 265595.9924000002, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-41-CPLX_RXN"	"ABC-41-CPLX"
"D-allose ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 215038.06780000008, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-42-CPLX_RXN"	"ABC-42-CPLX"
"phospholipid ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 178818.8494999999, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-45-CPLX_RXN"	"ABC-45-CPLX"
"galactofuranose / galactopyranose ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 195625.1132999999, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-46-CPLX_RXN"	"ABC-46-CPLX"
"YnjC/YnjD ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 157012.2878000004, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-48-CPLX_RXN"	"ABC-48-CPLX"
"glutathione ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 259678.48280000026, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-49-CPLX_RXN"	"ABC-49-CPLX"
"vitamin B12 ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 153454.37819999986, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-5-CPLX_RXN"	"ABC-5-CPLX"
"YdcS/YdcT/YdcV/YdcU ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 179463.62559999997, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-51-CPLX_RXN"	"ABC-51-CPLX"
"YhdW/YhdX/YhdY/YhdZ ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 175301.7448, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-52-CPLX_RXN"	"ABC-52-CPLX"
"LptBFG ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 133542.89340000003, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-53-CPLX_RXN"	"ABC-53-CPLX"
"FtsE/FtsX ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 125983.39059999994, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-54-CPLX_RXN"	"ABC-54-CPLX"
"YcjN/YcjO/YcjP ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 111279.66140000003, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-55-CPLX_RXN"	"ABC-55-CPLX"
"aliphatic sulfonate ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 147894.35279999982, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-56-CPLX_RXN"	"ABC-56-CPLX"
"YbhF/YbhR/YbhS ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 209863.51090000028, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-57-CPLX_RXN"	"ABC-57-CPLX"
"autoinducer-2 ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 219193.72829999996, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-58-CPLX_RXN"	"ABC-58-CPLX"
"YddO/YddP/YddQ/YddR/YddS ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 197608.92989999996, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-59-CPLX_RXN"	"ABC-59-CPLX"
"glutathione / L-cysteine  efflux transporter CydDC"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 255943.56920000046, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-6-CPLX_RXN"	"ABC-6-CPLX"
"YphD/YphE/YphF ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 214051.61150000003, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-60-CPLX_RXN"	"ABC-60-CPLX"
"YbbA/YbbP ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 227739.3322000002, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-61-CPLX_RXN"	"ABC-61-CPLX"
"LolCDE ABC lipoprotein transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 139488.95050000015, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-62-CPLX_RXN"	"ABC-62-CPLX"
"Zn2+ ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 144976.05779999986, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-63-CPLX_RXN"	"ABC-63-CPLX"
"taurine ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 150496.9438999998, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-64-CPLX_RXN"	"ABC-64-CPLX"
"sulfate / thiosulfate / selenite / selenate  ABC transporter  CysAUWCysP"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 182557.03749999992, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-7-CPLX_RXN"	"ABC-7-CPLX"
"sulfate / thiosulfate / selenate / selenite ABC transporter CysAUWSbp"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 181599.76969999995, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-70-CPLX_RXN"	"ABC-70-CPLX"
"dipeptide ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 203502.99610000008, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-8-CPLX_RXN"	"ABC-8-CPLX"
"ferric dicitrate ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 158573.39449999982, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-9-CPLX_RXN"	"ABC-9-CPLX"
"acetoacetyl-CoA transferase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 92947.10199999994, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACETOACETYL-COA-TRANSFER-CPLX_RXN"	"ACETOACETYL-COA-TRANSFER-CPLX"
"acetohydroxybutanoate synthase / acetolactate synthase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 143051.70840000038, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACETOLACTSYNI-CPLX_RXN"	"ACETOLACTSYNI-CPLX"
"acetohydroxybutanoate synthase / acetolactate synthase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 65548.9316, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACETOLACTSYNII-CPLX_RXN"	"ACETOLACTSYNII-CPLX"
"acetolactate synthase / acetohydroxybutanoate synthase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 161899.29660000023, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACETOLACTSYNIII-CPLX_RXN"	"ACETOLACTSYNIII-CPLX"
"acetyl-CoA acetyltransferase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 161405.16120000024, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACETYL-COA-ACETYLTRANSFER-CPLX_RXN"	"ACETYL-COA-ACETYLTRANSFER-CPLX"
"acetyl-CoA carboxyltransferase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 137120.20659999992, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACETYL-COA-CARBOXYLTRANSFER-CPLX_RXN"	"ACETYL-COA-CARBOXYLTRANSFER-CPLX"
"acetylglutamate kinase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 54044.35739999993, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACETYLGLUTKIN-CPLX_RXN"	"ACETYLGLUTKIN-CPLX"
"acetylornithine deacetylase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 84664.07760000006, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACETYLORNDEACET-CPLX_RXN"	"ACETYLORNDEACET-CPLX"
"N-succinyldiaminopimelate aminotransferase / acetylornithine aminotransferase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 87511.3856000001, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACETYLORNTRANSAM-CPLX_RXN"	"ACETYLORNTRANSAM-CPLX"
"N-acetylneuraminate lyase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 130353.11799999986, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACNEULY-CPLX_RXN"	"ACNEULY-CPLX"
"citrate lyase [acyl carrier protein] component"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 64111.19579999999, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACPSUB-CPLX_RXN"	"ACPSUB-CPLX"
"cysteine synthase A"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 68972.9293999999, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACSERLYA-CPLX_RXN"	"ACSERLYA-CPLX"
"cysteine synthase B"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 65251.80739999992, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACSERLYB-CPLX_RXN"	"ACSERLYB-CPLX"
"fatty acyl-CoA synthetase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 124617.27420000023, -0.0, -0.0, -0.0, -0.0]	["c"]	"ACYLCOASYN-CPLX_RXN"	"ACYLCOASYN-CPLX"
"aminodeoxychorismate lyase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 59423.812799999956, -0.0, -0.0, -0.0, -0.0]	["c"]	"ADCLY-CPLX_RXN"	"ADCLY-CPLX"
"adenine phosphoribosyltransferase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 39709.5152, -0.0, -0.0, -0.0, -0.0]	["c"]	"ADENPRIBOSYLTRAN-CPLX_RXN"	"ADENPRIBOSYLTRAN-CPLX"
"adenylosuccinate synthetase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 94669.30300000006, -0.0, -0.0, -0.0, -0.0]	["c"]	"ADENYLOSUCCINATE-SYN-DIMER_RXN"	"ADENYLOSUCCINATE-SYN-DIMER"
"adenylylsulfate kinase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 44630.33759999999, -0.0, -0.0, -0.0, -0.0]	["c"]	"ADENYLYLSULFKIN-CPLX_RXN"	"ADENYLYLSULFKIN-CPLX"
"formaldehyde dehydrogenase, glutathione-dependent"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 78701.50679999997, -0.0, -0.0, -0.0, -0.0]	["c"]	"ADHC-CPLX_RXN"	"ADHC-CPLX"
"pyruvate formate-lyase deactivase [multifunctional]"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 3844789.688000002, -0.0, -0.0, -0.0, -0.0]	["c"]	"ADHE-CPLX_RXN"	"ADHE-CPLX"
"glycerol-3-phosphate dehydrogenase, aerobic"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 113498.5878000001, -0.0, -0.0, -0.0, -0.0]	["i"]	"AERGLYC3PDEHYDROG-CPLX_RXN"	"AERGLYC3PDEHYDROG-CPLX"
"agmatinase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 67085.56459999997, -0.0, -0.0, -0.0, -0.0]	["c"]	"AGMATIN-CPLX_RXN"	"AGMATIN-CPLX"
"phosphoribosylformylglycinamide cyclo-ligase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 73607.3272, -0.0, -0.0, -0.0, -0.0]	["c"]	"AIRS-CPLX_RXN"	"AIRS-CPLX"
"2-amino-3-ketobutyrate CoA ligase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 86215.55900000007, -0.0, -0.0, -0.0, -0.0]	["c"]	"AKBLIG-CPLX_RXN"	"AKBLIG-CPLX"
"alanyl-tRNA synthetase and DNA-binding transcriptional repressor"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 192017.57900000023, -0.0, -0.0, -0.0, -0.0]	["c"]	"ALAS-CPLX_RXN"	"ALAS-CPLX"
"aldehyde dehydrogenase A, NAD-linked"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 209033.76840000038, -0.0, -0.0, -0.0, -0.0]	["c"]	"ALD-CPLX_RXN"	"ALD-CPLX"
"alkaline phosphatase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 98796.45620000018, -0.0, -0.0, -0.0, -0.0]	["p"]	"ALKAPHOSPHA-CPLX_RXN"	"ALKAPHOSPHA-CPLX"
"trimer complex of formate dehydrogenase-N &alpha;, &beta; and &gamma; subunits"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 170567.80630000003, -0.0, -0.0, -0.0, -0.0]	["i"]	"ALPHA-SUBUNIT-CPLX_RXN"	"ALPHA-SUBUNIT-CPLX"
"&alpha;-galactosidase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 101281.44780000026, -0.0, -0.0, -0.0, -0.0]	["c"]	"ALPHAGALACTOSID-CPLX_RXN"	"ALPHAGALACTOSID-CPLX"
"copper-containing amine oxidase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 168718.25320000027, -0.0, -0.0, -0.0, -0.0]	["p"]	"AMINEOXID-CPLX_RXN"	"AMINEOXID-CPLX"
"AMP nucleosidase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 323907.58920000045, -0.0, -0.0, -0.0, -0.0]	["c"]	"AMP-NUCLEOSID-CPLX_RXN"	"AMP-NUCLEOSID-CPLX"
"glycerol-3-phosphate-dehydrogenase, anaerobic"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 148419.8736000002, -0.0, -0.0, -0.0, -0.0]	["i"]	"ANGLYC3PDEHYDROG-CPLX_RXN"	"ANGLYC3PDEHYDROG-CPLX"
"asparaginase I"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 148463.93199999986, -0.0, -0.0, -0.0, -0.0]	["c"]	"ANSA-CPLX_RXN"	"ANSA-CPLX"
"asparaginase II"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 147393.97479999997, -0.0, -0.0, -0.0, -0.0]	["p"]	"ANSB-CPLX_RXN"	"ANSB-CPLX"
"anthranilate synthase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 228675.3916000005, -0.0, -0.0, -0.0, -0.0]	["c"]	"ANTHRANSYN-CPLX_RXN"	"ANTHRANSYN-CPLX"
"acid phosphatase / phosphotransferase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 104413.69039999996, -0.0, -0.0, -0.0, -0.0]	["p"]	"APHA-CPLX_RXN"	"APHA-CPLX"
"apo-EntB multimer"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 65084.19579999995, -0.0, -0.0, -0.0, -0.0]	["c"]	"APO-ENTB_RXN"	"APO-ENTB"
"RNA polymerase, core enzyme"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 378697.58290000027, -0.0, -0.0, -0.0, -0.0]	["c"]	"APORNAP-CPLX_RXN"	"APORNAP-CPLX"
"cytochrome bd-II terminal oxidase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 100346.30880000019, -0.0, -0.0, -0.0, -0.0]	["i"]	"APP-UBIOX-CPLX_RXN"	"APP-UBIOX-CPLX"
"L-arabinose isomerase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 336382.0692000007, -0.0, -0.0, -0.0, -0.0]	["c"]	"ARABISOM-CPLX_RXN"	"ARABISOM-CPLX"
"ArcB sensory histidine kinase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 175898.46460000018, -0.0, -0.0, -0.0, -0.0]	["i"]	"ARCB-CPLX_RXN"	"ARCB-CPLX"
"arginine decarboxylase, biosynthetic"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 295423.1252000002, -0.0, -0.0, -0.0, -0.0]	["p"]	"ARGDECARBOXBIO-CPLX_RXN"	"ARGDECARBOXBIO-CPLX"
"arginine decarboxylase, degradative"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 843905.8400000009, -0.0, -0.0, -0.0, -0.0]	["c"]	"ARGDECARBOXDEG-CPLX_RXN"	"ARGDECARBOXDEG-CPLX"
"chorismate synthase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 156524.90600000002, -0.0, -0.0, -0.0, -0.0]	["c"]	"AROC-CPLX_RXN"	"AROC-CPLX"
"3-dehydroquinate dehydratase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 54914.899199999934, -0.0, -0.0, -0.0, -0.0]	["c"]	"AROD-CPLX_RXN"	"AROD-CPLX"
"2-dehydro-3-deoxyphosphoheptonate aldolase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 77587.416, -0.0, -0.0, -0.0, -0.0]	["c"]	"AROF-CPLX_RXN"	"AROF-CPLX"
"2-dehydro-3-deoxyphosphoheptonate aldolase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 152017.26200000002, -0.0, -0.0, -0.0, -0.0]	["c"]	"AROG-CPLX_RXN"	"AROG-CPLX"
"2-dehydro-3-deoxyphosphoheptonate aldolase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 77463.72880000001, -0.0, -0.0, -0.0, -0.0]	["c"]	"AROH-CPLX_RXN"	"AROH-CPLX"
"asparaginyl-tRNA synthetase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 105110.17320000008, -0.0, -0.0, -0.0, -0.0]	["c"]	"ASNS-CPLX_RXN"	"ASNS-CPLX"
"asparagine synthetase A"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 73274.58400000002, -0.0, -0.0, -0.0, -0.0]	["c"]	"ASNSYNA-CPLX_RXN"	"ASNSYNA-CPLX"
