"Object ID"	"Protein-Complexes"	"Synonyms"	"Molecular-Weight-KiloDaltons"
"EG11090-MONOMER"	EG11090-MONOMER	"Mtn" // "YadA" // "Pfs"	24.354 // 26.0
"METHYLENETHFREDUCT-MONOMER"	METHYLENETHFREDUCT-MONOMER	"MetF"	33.103
"PURK-MONOMER"	PURK-MONOMER	"PurK" // "purE2 peptide" // "CO2 subunit, AIR carboxylase"	39.461 // 39.0
"EG10997-MONOMER"	EG10997-MONOMER	"MnmE" // "TrmE" // "ThdF" // "GTPase, involved in modification of U34 in tRNA" // "5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmE"	49.231 // 48 // 50
"EG10375-MONOMER"	EG10375-MONOMER	"GidA" // "MnmG" // "protein involved in modification of U34 in tRNA" // "TrmF"	69.521
"CPLX0-7609"	CPLX0-7609		
"G7463-MONOMER"	G7463-MONOMER	"YqeE" // "KduI" // "5-keto 4-deoxyuronate isomerase"	31.076 // 33.0
"CPLX0-8249"	CPLX0-8249		
"EG10725-MONOMER"	EG10725-MONOMER	"PhnP"	27.848
"CPLX0-3956"	CPLX0-3956		
"EG10873-MONOMER"	EG10873-MONOMER	"RplL" // "50S ribosomal subunit protein L7/L12"	12.295
"LUMAZINESYN-MONOMER"	LUMAZINESYN-MONOMER	"YbaF" // "RibH" // "RibE"	16.156 // 16.2d0
"G7431-MONOMER"	G7431-MONOMER	"SscR" // "YgcM" // "QueD"	13.773
"6PFK-1-MONOMER"	6PFK-1-MONOMER	"PfkA"	34.842 // 35.0
"6PFK-2-MONOMER"	6PFK-2-MONOMER	"PfkB"	32.456 // 36.0
"6PGLUCONDEHYDROG-MONOMER"	6PGLUCONDEHYDROG-MONOMER	"Gnd"	51.481 // 52.0
"7-ALPHA-HYDROXYSTEROID-DEH-MONOMER"	7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	"HdhA" // "Hsd" // "HsdH"	26.779 // 28
"G7452-MONOMER"	G7452-MONOMER	"YqcD" // "QueF"	32.587
"7KAPSYN-MONOMER"	7KAPSYN-MONOMER	"BioF"	41.594
"YJCG-MONOMER"	YJCG-MONOMER	"YjcG" // "ActP"	59.197
"ACETOACETYL-COA-TRANSFER-CPLX"	ACETOACETYL-COA-TRANSFER-CPLX		97
"ACETOLACTSYNII-CPLX"	ACETOLACTSYNII-CPLX	"AHAS" // "AHAS II" // "acetohydroxy acid synthase II" // "acetohydroxybutanoate synthase II" // "acetolactate synthase II"	
"ACETOLACTSYNI-CPLX"	ACETOLACTSYNI-CPLX	"acetohydroxybutanoate synthase I" // "acetohydroxy-acid synthase I" // "acetolactate synthase I" // "AHASI"	130.0
"ACETOLACTSYNIII-CPLX"	ACETOLACTSYNIII-CPLX	"acetolactate synthase III" // "acetohydroxy acid synthase III" // "AHAS III" // "acetohydroxybutanoate synthase III"	155
"ACETYL-COA-ACETYLTRANSFER-MONOMER"	ACETYL-COA-ACETYLTRANSFER-MONOMER	"AtoB"	40.352 // 42.0
"ACETYL-COA-CARBOXYLMULTI-CPLX"	ACETYL-COA-CARBOXYLMULTI-CPLX		
"ACETYL-COA-CARBOXYLTRANSFER-CPLX"	ACETYL-COA-CARBOXYLTRANSFER-CPLX		130.0
"ATOD-MONOMER"	ATOD-MONOMER	"AtoD"	23.526 // 26.5
"ATOA-MONOMER"	ATOA-MONOMER	"AtoA"	22.96 // 26
"G7234-MONOMER"	G7234-MONOMER	"YfdE"	41.671
"EG11101-MONOMER"	EG11101-MONOMER	"YbaC" // "Aes"	36.034 // 37.0
"ACETYLGLUTKIN-MONOMER"	ACETYLGLUTKIN-MONOMER	"ArgB"	27.159
"ACETYLORNDEACET-MONOMER"	ACETYLORNDEACET-MONOMER	"ArgE"	42.347 // 42.0
"APHA-MONOMER"	APHA-MONOMER	"HobH" // "YjbP" // "AphA"	26.104 // 25.0
"ACONITASE-MONOMER"	ACONITASE-MONOMER	"Acn" // "AcnA"	97.677
"EG11315-MONOMER"	EG11315-MONOMER	"AcuI" // "YhdH"	34.724
"THIOESTERII-MONOMER"	THIOESTERII-MONOMER	"TesB"	31.966 // 32.1
"EG11692-MONOMER"	EG11692-MONOMER	"AdeD" // "Adu" // "Ade" // "YicP" // "cryptic adenine deaminase"	63.739 // 60
"ADENPRIBOSYLTRAN-MONOMER"	ADENPRIBOSYLTRAN-MONOMER	"Apt"	19.859
"DAPASYN-MONOMER"	DAPASYN-MONOMER	"BioA"	47.336 // 47
"ASL-MONOMER"	ASL-MONOMER	"Ade" // "PurB"	51.543 // 49.5
"ADENYLOSUCCINATE-SYN-MONOMER"	ADENYLOSUCCINATE-SYN-MONOMER	"AdeK" // "PurA"	47.345 // 48
"ADENYLYLSULFKIN-MONOMER"	ADENYLYLSULFKIN-MONOMER	"CysC"	22.321 // 21.0
"EG10838-MONOMER"	EG10838-MONOMER	"HldD" // "WaaD" // "NbsB" // "HtrM" // "RfaD"	34.893 // 37
"G7740-MONOMER"	G7740-MONOMER	"NudE" // "YrfE" // "ADP-sugar pyrophosphorylase"	21.153 // 21.5d0
"EG12633-MONOMER"	EG12633-MONOMER	"AspP" // "NudF" // "YqiE" // "TrgB"	23.667 // 26.0
"FAO-CPLX"	FAO-CPLX		
"AERGLYC3PDEHYDROG-MONOMER"	AERGLYC3PDEHYDROG-MONOMER	"GlyD" // "GlpD"	56.751 // 58.0
"AGMATIN-MONOMER"	AGMATIN-MONOMER	"SpeB"	33.557 // 38.0
"ALARACEBIOSYN-MONOMER"	ALARACEBIOSYN-MONOMER	"Alr" // "alanine racemase 1, PLP-binding, biosynthetic" // "biosynthetic alanine racemase"	39.153 // 40.0
"ALARACECAT-MONOMER"	ALARACECAT-MONOMER	"DadB" // "AlnB" // "AlnA" // "DadX" // "alanine racemase 2, PLP-binding"	38.845 // 54.0
"ALAS-MONOMER"	ALAS-MONOMER	"Act" // "LovB" // "AlaS" // "ala-act"	96.032 // 95
"CPLX0-7805"	CPLX0-7805	"YagTSR" // "PaoABC"	135.0
"LACTALDDEHYDROG-MONOMER"	LACTALDDEHYDROG-MONOMER	"Ald" // "AldA"	52.273 // 55.0
"ALDDEHYDROGB-MONOMER"	ALDDEHYDROGB-MONOMER	"YiaX" // "AldB"	56.306
"ADHE-MONOMER"	ADHE-MONOMER	"AdhC" // "Ana" // "AdhE"	96.127
"ABC-56-CPLX"	ABC-56-CPLX	"YcbE/YcbM ABC transporter" // "alkanesulfonate ABC transporter"	
"ALKAPHOSPHA-MONOMER"	ALKAPHOSPHA-MONOMER	"PsiA" // "PhoA"	49.439
"CPLX0-245"	CPLX0-245		
"OPPSYN-MONOMER"	OPPSYN-MONOMER	"Cel" // "YhbD" // "IspB"	35.217
"G6285-MONOMER"	G6285-MONOMER	"YlbB" // "AllC"	45.694
"G6281-MONOMER"	G6281-MONOMER	"YbbX" // "AllB"	49.602 // 50.5
"RIB5PISOMB-MONOMER"	RIB5PISOMB-MONOMER	"YjcA" // "AlsI" // "RpiB"	16.073
"EG11685-MONOMER"	EG11685-MONOMER	"YicI"	88.079 // 88.0
"KDGALDOL-MONOMER"	KDGALDOL-MONOMER	"YhaF" // "GarL"	27.384 // 27.4
"ALPHAGALACTOSID-MONOMER"	ALPHAGALACTOSID-MONOMER	"MelA"	50.657 // 50.0
"PRPPAMIDOTRANS-MONOMER"	PRPPAMIDOTRANS-MONOMER	"Ade" // "PurC" // "PurF"	56.488 // 57.0
"EG11157-MONOMER"	EG11157-MONOMER	"YgeA"	25.248
"ADCLY-MONOMER"	ADCLY-MONOMER	"PabC"	29.715
"EG10694-MONOMER"	EG10694-MONOMER	"PepA" // "XerB" // "CarP"	54.88
"EG12310-MONOMER"	EG12310-MONOMER	"YfhI" // "PepB"	46.18
"AMTB-MONOMER"	AMTB-MONOMER	"YbaG" // "AmtB ammonium Amt transporter" // "AmtB"	44.515
"AMP-NUCLEOSID-MONOMER"	AMP-NUCLEOSID-MONOMER	"Amn"	53.995 // 52.0
"CPLX0-1668"	CPLX0-1668		
"ANGLYC3PDEHYDROG-CPLX"	ANGLYC3PDEHYDROG-CPLX	"G3P dehydrogenase" // "sn-glycerol-3-phosphate:(acceptor) 2-oxidoreductase" // "glycerol-3-phosphate:menaquinone oxidoreductase"	
"G7413-MONOMER"	G7413-MONOMER	"YgaK" // "YgaI" // "YgaJ" // "NorV" // "FlRd" // "flavorubredoxin"	54.234 // 54.0
"NRDACTMULTI-CPLX"	NRDACTMULTI-CPLX		
"RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER"	RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER	"NrdD"	80.023 // 79.9
"RNTRACTIV-MONOMER"	RNTRACTIV-MONOMER	"YjgE" // "NrdG"	17.446
"ANTHRANSYN-CPLX"	ANTHRANSYN-CPLX		
"G7348-MONOMER"	G7348-MONOMER	"RseB"	35.75
"EG10571-MONOMER"	EG10571-MONOMER	"MazE" // "ChpR" // "ChpAI"	9.356
"G7601-MONOMER"	G7601-MONOMER	"YgjM" // "HigA" // "HigA antitoxin of the HigB-HigA toxin-antitoxin system"	14.995
"EG10442-MONOMER"	EG10442-MONOMER	"HipB"	10.016 // 10.0
"ABC-2-CPLX"	ABC-2-CPLX		
"ARGDECARBOXBIO-MONOMER"	ARGDECARBOXBIO-MONOMER	"SpeA"	73.898 // 70.0
"ARGDECARBOXDEG-MONOMER"	ARGDECARBOXDEG-MONOMER	"AdiA" // "Adi"	84.425
"YJDE-MONOMER"	YJDE-MONOMER	"YjdD" // "YjdE" // "AdiC"	46.843 // 34.0
"ARGSUCCINSYN-MONOMER"	ARGSUCCINSYN-MONOMER	"ArgG"	49.898 // 50.0
"CPLX0-4"	CPLX0-4	"AaeAB"	
"ARSF-MONOMER"	ARSF-MONOMER	"ArsF" // "ArsB"	45.497
"G6770-MONOMER"	G6770-MONOMER	"NhoA" // "YddI"	32.275 // 32.0
"ASNSYNA-MONOMER"	ASNSYNA-MONOMER	"AsnA"	36.651 // 37.0
"ASNSYNB-MONOMER"	ASNSYNB-MONOMER	"AsnB"	62.659
"ASNS-MONOMER"	ASNS-MONOMER	"Tss" // "Lcs" // "AsnS" // "AsnRS"	52.57 // 54
"CPLX0-2901"	CPLX0-2901		
"ASPAMINOTRANS-MONOMER"	ASPAMINOTRANS-MONOMER	"AspC"	43.573
"ASPARTASE-MONOMER"	ASPARTASE-MONOMER	"AspA"	52.356 // 55
"ASPCARBTRANS-CPLX"	ASPCARBTRANS-CPLX		300.0
"ASPCARBCAT-MONOMER"	ASPCARBCAT-MONOMER	"PyrB"	34.427 // 33.5
"ASPCARBREG-MONOMER"	ASPCARBREG-MONOMER	"PyrI"	17.121 // 17.0
"ASPKINIII-MONOMER"	ASPKINIII-MONOMER	"Apk" // "LysC"	48.532 // 50
"ASPS-MONOMER"	ASPS-MONOMER	"Tls" // "AspS" // "AspRS"	65.913 // 65
"ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER"	ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER	"Dap" // "Hom" // "Asd"	40.018 // 38.0
"SULFITE-REDUCT-CPLX"	SULFITE-REDUCT-CPLX		670.0
"CPLX0-3957"	CPLX0-3957		
"ATPPHOSRIBOSTRANS-MONOMER"	ATPPHOSRIBOSTRANS-MONOMER	"HisG"	33.367
"ATPSYN-CPLX"	ATPSYN-CPLX	"ATP synthase FoF1" // "ATP synthase F1Fo"	
"F-1-CPLX"	F-1-CPLX		
"ATPA-MONOMER"	ATPA-MONOMER	"UncA" // "PapA" // "AtpA"	55.222
"ATPD-MONOMER"	ATPD-MONOMER	"UncD" // "PapB" // "AtpD" // "ATP synthase F<sub>1</sub> complex - beta subunit"	50.325
"F-O-CPLX"	F-O-CPLX		
"ATPF-MONOMER"	ATPF-MONOMER	"UncF" // "PapF" // "AtpF" // "B chain" // "ATP synthase F<sub>o</sub> complex - b subunit"	17.264
"ATPE-MONOMER"	ATPE-MONOMER	"UncE" // "PapH" // "AtpE" // "dicyclohexylcarbodiimide-binding protein" // "ATP synthase F<sub>0</sub> complex - subunit c"	8.256
"EG10613-MONOMER"	EG10613-MONOMER	"MsbA"	64.461 // 65.0
"EG10156-MONOMER"	EG10156-MONOMER	"LopD" // "ATP-binding component of serine protease" // "ClpA"	84.207 // 81.0
"EG10159-MONOMER"	EG10159-MONOMER	"LopC" // "ClpX"	46.356
"EG10158-MONOMER"	EG10158-MONOMER	"LopP" // "heat shock protein F21.5" // "ClpP"	23.187
"EG10837-MONOMER"	EG10837-MONOMER	"MmrA" // "MbrA" // "DasC" // "Rep" // "Rep helicase, a single-stranded DNA-dependent ATPase"	77.024 // 65.0
"G6939-MONOMER"	G6939-MONOMER	"Spy"	18.199 // 15.9
"EG11881-MONOMER"	EG11881-MONOMER	"HtpI" // "ClpY" // "HslU" // "D48.5"	49.594 // 50
"ABC-58-CPLX"	ABC-58-CPLX	"LsrACDB"	
"CPLX0-2561"	CPLX0-2561		
"EG10113-MONOMER"	EG10113-MONOMER	"Bfr" // "cytochrome b1"	18.495 // 18.0
"EG10242-MONOMER"	EG10242-MONOMER	"DnaN" // "DNA polymerase III subunit &beta;"	40.587
"BETAGALACTOSID-MONOMER"	BETAGALACTOSID-MONOMER	"LacZ"	116.483
"BGLF-MONOMER"	BGLF-MONOMER	"BglS" // "BglF"	66.483
"ASCF-MONOMER"	ASCF-MONOMER	"Sac" // "AscF"	51.026
"BETA-GLUCURONID-MONOMER"	BETA-GLUCURONID-MONOMER	"GusA" // "GurA" // "UidA"	68.447 // 73.0
"FABA-MONOMER"	FABA-MONOMER	"FabA" // "&beta;-hydroxyacyl-ACP dehydratase/isomerase"	18.969
"FABB-MONOMER"	FABB-MONOMER	"FabC" // "FabB" // "&beta;-ketoacyl-ACP synthase I"	42.613 // 43.0
"3-OXOACYL-ACP-SYNTHII-MONOMER"	3-OXOACYL-ACP-SYNTHII-MONOMER	"Vtr" // "Cvc" // "VtrB" // "FabJ" // "FabF" // "&beta;-ketoacyl-ACP synthase II"	43.046 // 44.0
"FABH-MONOMER"	FABH-MONOMER	"FabH" // "&beta;-ketoacyl-ACP synthase III"	33.515
"BADH-MONOMER"	BADH-MONOMER	"BetB"	52.911 // 55.0
"DHHB-METHYLTRANSFER-MONOMER"	DHHB-METHYLTRANSFER-MONOMER	"PufX" // "YfaB" // "UbiG"	26.555
"FOLD-MONOMER"	FOLD-MONOMER	"Ads" // "FolD"	31.044
"ACONITATEDEHYDRB-MONOMER"	ACONITATEDEHYDRB-MONOMER	"YacI" // "YacJ" // "AcnB"	93.498 // 94
"HMP-P-KIN-MONOMER"	HMP-P-KIN-MONOMER	"ThiJ" // "ThiA" // "ThiN" // "ThiD"	28.634 // 43.0
"BCCP-CPLX"	BCCP-CPLX	"BCCP" // "AccB"	
"BIOTIN-CARBOXYL-MONOMER"	BIOTIN-CARBOXYL-MONOMER	"AccC" // "FabG"	49.321
"BIOTIN-SYN-MONOMER"	BIOTIN-SYN-MONOMER	"BioB"	38.648 // 38.0
"ABC-15-CPLX"	ABC-15-CPLX	"LIV-I transport system"	
"BRANCHED-CHAINAMINOTRANSFER-MONOMER"	BRANCHED-CHAINAMINOTRANSFER-MONOMER	"IlvE"	34.094 // 34
"G7880-MONOMER"	G7880-MONOMER	"BdcA" // "YjgI"	24.598
"CARBPSYN-CPLX"	CARBPSYN-CPLX		
"EG11447-MONOMER"	EG11447-MONOMER	"ZfiA" // "CsrA" // "pleiotropic regulatory protein for carbon source metabolism" // "translational dual regulator CsrA"	6.856
"CPLX0-7935"	CPLX0-7935	"C-P lyase core complex"	260.0
"CARBODEHYDRAT-MONOMER"	CARBODEHYDRAT-MONOMER	"CynT"	23.764 // 24
"EG12319-MONOMER"	EG12319-MONOMER	"YadF" // "Can"	25.097
"G7020-MONOMER"	G7020-MONOMER	"CmoA" // "YecO"	27.777
"G6326-MONOMER"	G6326-MONOMER	"YbdK"	41.688
"G7853-MONOMER"	G7853-MONOMER	"YjfP"	27.588
"CPLX0-8232"	CPLX0-8232		
"G6988-MONOMER"	G6988-MONOMER	"YeaW" // "2Fe-2S cluster-containing protein"	42.561
"CPLX0-8174"	CPLX0-8174		71.8
"THREDEHYDCAT-MONOMER"	THREDEHYDCAT-MONOMER	"Tdc" // "TdcB"	35.232 // 39.0
"HYDROPEROXIDII-MONOMER"	HYDROPEROXIDII-MONOMER	"KatE"	84.162 // 92.0
"EG11878-MONOMER"	EG11878-MONOMER	"YiiU" // "ZapB"	9.635
"EG12313-MONOMER"	EG12313-MONOMER	"ZapD" // "YacF"	28.292
"EG12878-MONOMER"	EG12878-MONOMER	"ZapA" // "YgfE" // "cell division factor ZapA, localizes to the cytokinetic ring"	12.594
"CPLX0-8125"	CPLX0-8125		
"EG10240-MONOMER"	EG10240-MONOMER	"GrpC" // "GroP" // "DnaJ" // "DnaK co-chaperone Hsp40"	41.1 // 37.0
"EG10461-MONOMER"	EG10461-MONOMER	"HtpG" // "C62.5" // "Hsp90" // "molecular chaperone, HSP90 family"	71.422 // 65.5d0
"PROTEIN-CHEA"	PROTEIN-CHEA	"CheA"	71.382
"CHEZ-MONOMER"	CHEZ-MONOMER	"CheZ"	23.976
"TAR-CPLX"	TAR-CPLX	"MCP-II signaling complex"	
"TAP-CPLX"	TAP-CPLX	"MCP-IV chemotaxis signaling complex"	
"TRG-CPLX"	TRG-CPLX	"MCP-III signaling complex"	
"TSR-CPLX"	TSR-CPLX	"MCP-I signaling complex"	
"YADQ-MONOMER"	YADQ-MONOMER	"EriC" // "ClcA" // "YadQ" // "ClC-ec1"	50.349 // 38.0
"AROC-MONOMER"	AROC-MONOMER	"AroC"	39.137 // 38.0
"CPLX0-7561"	CPLX0-7561		
"EG11723-MONOMER"	EG11723-MONOMER	"ChrR" // "YieF"	20.376 // 22
"EG10618-MONOMER"	EG10618-MONOMER	"MukB" // "cell division protein involved in chromosome partitioning"	170.229
"EG12165-MONOMER"	EG12165-MONOMER	"KicB" // "MukF" // "Ca<sup>2+</sup>-binding protein involved in chromosome partitioning"	50.579
"ACPSUB-MONOMER"	ACPSUB-MONOMER	"YbdX" // "CitD" // "citrate lyase, acyl carrier &gamma; subunit"	10.689
"CITTRANS-MONOMER"	CITTRANS-MONOMER	"YbdV" // "CitF" // "citrate lyase, citrate-ACP transferase &alpha; subunit" // "citrate lyase, citrate-acyl carrier protein transferase &alpha; subunit" // "citrate lyase citrate-acyl carrier protein transferase subunit"	55.173
"CITRYLY-MONOMER"	CITRYLY-MONOMER	"YbdW" // "CitE" // "citrate lyase, citryl-ACP lyase &beta; subunit" // "citrate lyase citryl-acyl carrier protein lyase subunit"	33.11
"CITLY-CPLX"	CITLY-CPLX	"(HS)-citrate lyase" // "citrate lyase, thiol form" // "deacetyl-citrate lyase"	
"CITSYN-MONOMER"	CITSYN-MONOMER	"IcdB" // "GltA"	48.015
"CPLX0-3104"	CPLX0-3104		
"CPLX0-3108"	CPLX0-3108	"ATP-dependent endopeptidase Clp" // "ATP-dependent protease Clp"	
"EG10157-MONOMER"	EG10157-MONOMER	"HtpM" // "ClpB" // "F84.1" // "F68.5" // "E89"	95.585 // 79 // 93
"CPLX0-3107"	CPLX0-3107		
"EG10978-MONOMER"	EG10978-MONOMER	"SspB"	18.262
"COBU-MONOMER"	COBU-MONOMER	"CobU"	20.164
"CPLX0-2221"	CPLX0-2221		
"EG12177-MONOMER"	EG12177-MONOMER	"CutA"	12.331 // 12.0
"AMINEOXID-MONOMER"	AMINEOXID-MONOMER	"MaoA" // "FeaA" // "TynA"	84.379 // 80.0
"CPLX0-1721"	CPLX0-1721	"CusCFBA"	
"COPROGENOXI-MONOMER"	COPROGENOXI-MONOMER	"Sec" // "PopB" // "HemF"	34.323 // 35.0
"G7365-MONOMER"	G7365-MONOMER	"YfjN" // "RnlA" // "Std"	40.061
"G6140-MONOMER"	G6140-MONOMER	"YagE"	32.53
"CPLX0-7725"	CPLX0-7725	"Cascade"	405.0
"EG12845-MONOMER"	EG12845-MONOMER	"YgbF" // "Cas2"	10.518
"ABC-23-CPLX"	ABC-23-CPLX	"PhnCDE"	
"CTPSYN-MONOMER"	CTPSYN-MONOMER	"PyrG"	60.374 // 60
"CPLX-3945"	CPLX-3945		
"EG12193-MONOMER"	EG12193-MONOMER	"CbpA" // "chaperone with DnaK; curved DNA-binding protein"	34.455
"CYANLY-MONOMER"	CYANLY-MONOMER	"Cnt" // "CyaN" // "CynS"	17.049 // 16.5
"G7314-MONOMER"	G7314-MONOMER	"PdeF" // "YfgF"	85.608
"EG11666-MONOMER"	EG11666-MONOMER	"MoaC"	17.467 // 17.0
"CFA-MONOMER"	CFA-MONOMER	"Cfa" // "CdfA"	43.909 // 44
"CYSTATHIONINE-BETA-LYASE-MONOMER"	CYSTATHIONINE-BETA-LYASE-MONOMER	"MetC"	43.212 // 42.0
"G7325-MONOMER"	G7325-MONOMER	"NuvC" // "YzzO" // "YfhO" // "IscS"	45.089 // 45
"G7454-MONOMER"	G7454-MONOMER	"YgdJ" // "CsdA"	43.234 // 43.0
"ACSERLYB-MONOMER"	ACSERLYB-MONOMER	"CysM"	32.664
"CYSSYNMULTI-CPLX"	CYSSYNMULTI-CPLX		
"CPLX0-8152"	CPLX0-8152		
"CYTIDEAM-MONOMER"	CYTIDEAM-MONOMER	"Cdd"	31.54 // 35.0
"CYT-D-UBIOX-CPLX"	CYT-D-UBIOX-CPLX	"ubiquinol oxidase (electrogenic, non H<sup>+</sup> transporting)" // "cytochrome <i>d</i> complex" // "cytochrome <i>bd</i> complex" // "cytochrome <i>d</i> ubiquinol oxidase complex" // "cytochrome <i>b558-d</i> complex" // "ubiquinol:oxygen oxidoreductase"	
"APP-UBIOX-CPLX"	APP-UBIOX-CPLX	"CbdAB" // "AppCB"	
