Frame ID	Name	Left	Right	Direction	Genes	Promoter	Terminators	Degradation rate (1/min)	Expression rate (a.u./min)
TU-8433	gspAB	3451528	3453656	-	"[""EG11263"", ""G7701""]"	PM-8819	"[""TERM_WC-865""]"	0.11090354888959125	40.713801832857847
TU-8434	yicJI	3830240	3834687	-	"[""EG11685"", ""EG11686""]"	PM-8820	"[""TERM_WC-3529""]"	0.067955605937249544	16.940653004096941
TU-8435	ahpF	638225	640543	+	"[""EG11385""]"	PM-8821	"[""TERM_WC-56""]"	0.2772588722239781	0.0
TU-8438	ftnB	1984799	1985454	+	"[""G7033""]"	PM-8824	"[""TERM_WC-708""]"	0.12602676010180824	227.56393004493245
TU-8439	bglA	3041684	3043125	+	"[""G495""]"	PM_WC-25	"[""TERM_WC-214""]"	0.099021025794277892	92.713386451182387
TU-8441	ytfE	4429342	4430032	-	"[""G7866""]"	PM-8827	"[""TERM_WC-4035""]"	0.099021025794277892	22.010393613552093
TU-8443	ygbA	2854473	2854850	-	"[""EG11287""]"	PM-8829	"[""TERM_WC-3241""]"	0.12836058899258246	34.064333106851535
TU0-0	cysG	3495776	3497225	+	"[""EG10188""]"	PM0-1	"[""TERM_WC-402""]"	0.091203576389466495	49.761887325778105
TU0-1	rpmF-plsX-fabHDG	1146561	1150629	+	"[""EG11318"", ""EG11317"", ""EG10277"", ""EG11437"", ""EG10890""]"	PM0-10020	"[""TERM_WC-1913""]"	0.043309852133034329	0.0
TU0-1002	astCADBE	1823977	1830037	-	"[""G6940"", ""G6941"", ""G6942"", ""G6943"", ""G6944""]"	PM0-1162	"[""TERM_WC-175""]"	0.0853104222227625	24.928842845787504
TU0-1003	astCADBE	1823977	1830068	-	"[""G6940"", ""G6941"", ""G6942"", ""G6943"", ""G6944""]"	PM0-1163	"[""TERM_WC-174""]"	0.0853104222227625	24.928842845787504
TU0-1004	astCADBE	1823977	1830063	-	"[""G6940"", ""G6941"", ""G6942"", ""G6943"", ""G6944""]"	PM0-1164	"[""TERM_WC-176""]"	0.0853104222227625	24.928842845787504
TU0-1021	pyrH	191812	192582	+	"[""EG11539""]"	PM0-1181	"[""TERM_WC-1753""]"	0.17773004629742187	1007.5694054647144
TU0-1022	nrdHIEF	2798678	2802485	+	"[""G7401"", ""G7402"", ""EG12381"", ""EG20257""]"	PM0-1182	"[""TERM_WC-1480""]"	0.36481430555786598	123.8197993778675
TU0-1041	cpxP	4103808	4104402	+	"[""G7816""]"	PM0-1201	"[""TERM0241""]"	0.099021025794277892	47.898450597208104
TU0-1061	rdoA-dsbA	4040414	4042069	+	"[""EG11297"", ""EG11831""]"	PM0-1221	"[""TERM_WC-1797""]"	0.13329753472306641	274.3903092767377
TU0-1062	dsbA	4041400	4042069	+	"[""EG11297""]"	PM0-1222	"[""TERM_WC-504""]"	0.11790216540640504	242.69924944577664
TU0-1063	fkpA	3474627	3475547	-	"[""G7716""]"	PM00564	"[""TERM_WC-651""]"	0.18733707582701223	717.1600469394516
TU0-1064	fkpA	3474627	3475521	-	"[""G7716""]"	PM00565	"[""TERM_WC-650""]"	0.18733707582701223	717.1600469394516
TU0-1106	aqpZ	914573	915435	-	"[""EG13270""]"	PM0-44658	"[""TERM_WC-119""]"	0.080598509367435497	13.514758050731587
TU0-1122	dmsABC	940101	944121	+	"[""EG10234"", ""EG10233"", ""EG10232""]"	PM0-1282	"[""TERM_WC-485""]"	0.1100233619936421	26.150352678648851
TU0-1123	moaABCDE	816137	818972	+	"[""EG11598"", ""EG11597"", ""EG11666"", ""EG11596"", ""EG11595""]"	PM0-1284	"[""TERM_WC-1336""]"	0.21660849392498288	166.27734427657387
TU0-1141	ptsG	1156989	1158527	+	"[""EG10787""]"	PM0-1301	"[""TERM_WC-1721""]"	0.12836058899258246	841.2855691045047
TU0-1142	ptsG	1156849	1158527	+	"[""EG10787""]"	PM0-1302	"[""TERM_WC-1722""]"	0.12836058899258246	841.2855691045047
TU0-1143	yfiD	2714086	2714545	-	"[""EG11784""]"	PM0-1303	"[""TERM_WC-3202""]"	0.11179793234837827	201.87122826566588
TU0-1161	ldcC	209679	211822	+	"[""G6094""]"	PM0-1321	"[""TERM_WC-1125""]"	0.13862943611198905	48.728246793364157
TU0-1181	rrsA-ileT-alaT-rrlA-rrfA	4033262	4038661	+	"[""EG30070"", ""EG30077"", ""EG30008"", ""EG30043"", ""EG30084""]"	PM0-1341	"[""TERM_WC-1939""]"	0.12161736185347703	4203.0181905445788
TU0-1182	rrsB-gltT-rrlB-rrfB	4164390	4169985	+	"[""EG30071"", ""EG30078"", ""EG30032"", ""EG30085""]"	PM00514	"[""TERM0-1116"", ""TERM0-1115""]"	0.12161736185347703	4008.3087942171633
TU0-1183	rrsC-gltU-rrlC-rrfC	3939539	3945090	+	"[""EG30072"", ""EG30079"", ""EG30033"", ""EG30086""]"	PM0-1343	"[""TERM0-1117""]"	0.12161736185347703	7973.441803411517
TU0-1184	rrsC-gltU-rrlC-rrfC	3939656	3945090	+	"[""EG30072"", ""EG30079"", ""EG30033"", ""EG30086""]"	PM0-1344	"[""TERM0-1117""]"	0.12161736185347703	7973.441803411517
TU0-1186	rrsE-gltV-rrlE-rrfE	4205886	4211184	+	"[""EG30074"", ""EG30081"", ""EG30034"", ""EG30088""]"	PM0-1346	"[""TERM_WC-1943""]"	0.12161736185347703	8875.6083122471464
TU0-1187	rrsG-gltW-rrlG-rrfG	2724089	2729470	-	"[""EG30075"", ""EG30082"", ""EG30035"", ""EG30089""]"	PM0-1347	"[""TERM_WC-1946""]"	0.12161736185347703	7526.4789452132991
TU0-1188	rrsG-gltW-rrlG-rrfG	2724089	2729354	-	"[""EG30075"", ""EG30082"", ""EG30035"", ""EG30089""]"	PM0-1348	"[""TERM_WC-1945""]"	0.12161736185347703	7526.4789452132991
TU0-1189	rrsH-ileV-alaV-rrlH-rrfH	223485	228877	+	"[""EG30076"", ""EG30083"", ""EG30010"", ""EG30045"", ""EG30090""]"	PM0-1349	"[""TERM_WC-1948""]"	0.12161736185347703	8669.9424077903495
TU0-1190	rrsH-ileV-alaV-rrlH-rrfH	223593	228877	+	"[""EG30076"", ""EG30083"", ""EG30010"", ""EG30045"", ""EG30090""]"	PM0-1350	"[""TERM_WC-1947""]"	0.12161736185347703	8669.9424077903495
TU0-1191	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	3421443	3427069	-	"[""EG30091"", ""EG30103"", ""EG30073"", ""EG30080"", ""EG30009"", ""EG30044"", ""EG30087""]"	PM0-1351	"[""TERM_WC-1942""]"	0.12161736185347703	1202.32869806137
TU0-1192	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	3421443	3426962	-	"[""EG30091"", ""EG30103"", ""EG30073"", ""EG30080"", ""EG30009"", ""EG30044"", ""EG30087""]"	PM0-1352	"[""TERM_WC-1941""]"	0.12161736185347703	1202.32869806137
TU0-1193	dnaN-recF	3878169	3880756	-	"[""EG10828"", ""EG10242""]"	PM00464	"[""TERM_WC-493""]"	0.21004460016968041	34.584624408834571
TU0-1194	dnaN-recF	3878169	3880613	-	"[""EG10828"", ""EG10242""]"	PM00463	"[""TERM_WC-492""]"	0.21004460016968041	34.584624408834571
TU0-1195	dnaN-recF	3878169	3880585	-	"[""EG10828"", ""EG10242""]"	PM00462	"[""TERM_WC-495""]"	0.21004460016968041	34.584624408834571
TU0-1196	dnaN-recF	3878169	3880371	-	"[""EG10828"", ""EG10242""]"	PM00461	"[""TERM_WC-494""]"	0.21004460016968041	34.584624408834571
TU0-1198	uspB	3637406	3637871	-	"[""EG12231""]"	PM0-1358	"[""TERM_WC-2299""]"	0.12161736185347703	219.60197026977914
TU0-1201	gdhA	1840332	1841740	+	"[""EG10372""]"	PM00379	"[""TERM_WC-766""]"	0.30136833937388929	2799.4768054787196
TU0-1222	efp	4373590	4374290	+	"[""EG12099""]"	PM0-1382	"[""TERM_WC-544""]"	0.21660849392498288	1156.6936897292871
TU0-1241	sugE	4374817	4375217	+	"[""EG11616""]"	PM0-1401	"[""TERM_WC-2127""]"	0.15403270679109896	77.610919643763111
TU0-1261	chpSB	4446451	4447067	+	"[""EG12096"", ""EG11250""]"	PM0-1422	"[""TERM_WC-292""]"	0.13862943611198905	84.120341832754974
TU0-12785	yjjY	4638381	4638567	+	"[""G7954""]"	PM0-46115	"[""TERM_WC-3738""]"	0.18240715277893299	42.632199747492209
TU0-12786	yjtD	4638921	4639653	+	"[""EG12309""]"	PM0-46116	"[""TERM_WC-3741""]"	0.13591121187449909	245.41208142100558
TU0-12787	yaaX	5030	5532	+	"[""G6081""]"	PM0-44333	"[""TERM_WC-2375""]"	0.12161736185347703	47.498876845493982
TU0-12788	yaaA	5681	6587	-	"[""EG10011""]"	PM0-44334	"[""TERM_WC-2367""]"	0.18240715277893299	88.12454365055811
TU0-12789	yaaJ	6527	8017	-	"[""EG11555""]"	PM0-44336	"[""TERM_WC-2372""]"	0.083511708501198226	16.097716930690972
TU0-12790	mog	9306	9895	+	"[""EG11511""]"	PM_WC-183	"[""TERM_WC-1346""]"	0.067955605937249544	122.70604071050279
TU0-12791	yaaH	9926	10494	-	"[""EG11512""]"	PM_WC-301	"[""TERM_WC-2368""]"	0.1307824868981029	58.310679608388142
TU0-12792	yaaW	10641	11542	-	"[""G6082""]"	PM0-44337	"[""TERM_WC-2374""]"	0.12377628224284738	223.50028843698723
TU0-12793	insL-1	15380	16559	+	"[""G6083""]"	PM0-44341	"[""TERM_WC-1052""]"	0.18240715277893299	329.36884611766538
TU0-12794	mokC-hokC	16749	16960	-	"[""EG10373"", ""G0-9563""]"	PM_WC-184	"[""TERM_WC-1348""]"	0.083511708501198226	9.4268016556152556
TU0-12795	sokC	16952	17008	+	"[""G0-9581""]"	PM_WC-267	"[""TERM_WC-2088""]"	0.12161736185347703	219.60197026977914
TU0-12796	insA-1B-1-insAB-1	19809	20508	-	"[""G6086"", ""G6085"", ""G0-10535""]"	PM_WC-116	"[""TERM_WC-1009""]"	0.13591121187449909	245.41208142100558
TU0-12797	rihC	27293	28209	+	"[""EG11082""]"	PM_WC-242	"[""TERM_WC-1858""]"	0.090019114358434446	162.54566431780887
TU0-12799	yaaU	45592	47140	+	"[""EG11566""]"	PM0-10464	"[""TERM_WC-2373""]"	0.085573725995054972	18.793701703033971
TU0-12800	kefFC	47080	49633	+	"[""EG10521"", ""EG11568""]"	PM0-44347	"[""TERM_WC-1112""]"	0.091203576389466481	43.24326370930163
TU0-12801	djlA	57268	58181	+	"[""EG11570""]"	PM0-44349	"[""TERM_WC-474""]"	0.17328679513998632	215.13555616629301
TU0-12802	yabPQ	58474	59281	+	"[""EG12611"", ""EG12610""]"	PM_WC-302	"[""TERM_WC-2377""]"	0.11649532446385635	163.72252900150369
TU0-12804	yabI	71271	72117	+	"[""EG11571""]"	PM0-9957	"[""TERM_WC-2376""]"	0.11552453009332421	61.412840197611153
TU0-12805	sgrR-sroA-tbpA-thiPQ	72227	77338	-	"[""EG12094"", ""G0-9381"", ""EG11574"", ""EG11573"", ""EG11572""]"	PM0-9592	"[""TERM_WC-2052""]"	0.095387226682561277	63.657619598874092
TU0-12806	sgrST-setA	77367	78801	+	"[""G0-10617"", ""EG11754"", ""G0-9941""]"	PM0-9591	"[""TERM_WC-2053""]"	0.12161736185347703	45.640563556372861
TU0-12807	leuO	84188	85314	+	"[""EG10531""]"	PM0-9884	"[""TERM_WC-1138""]"	0.099021025794277892	17.912903566184873
TU0-12808	cra	87947	89034	+	"[""EG10338""]"	PM0-44353	"[""TERM_WC-332""]"	0.12161736185347703	64.943671229756731
TU0-12809	lpxC	106508	107544	+	"[""EG10265""]"	PM0-9872	"[""TERM0-1064""]"	0.10345480306864854	394.56213523139587
TU0-1281	uof-fur	709341	710052	-	"[""G0-10580"", ""EG10359""]"	PM0-1441	"[""TERM3"", ""TERM73""]"	0.28881132523331055	1654.9524320784205
TU0-12810	coaE-zapD-yacG	111647	113219	-	"[""EG12312"", ""EG12313"", ""EG12314""]"	PM_WC-45	"[""TERM_WC-317""]"	0.21004460016968041	145.69953735370052
TU0-12811	ppdD-hofBC	114520	117705	-	"[""EG12107"", ""EG12106"", ""EG11798""]"	PM0-10364	"[""TERM_WC-1654""]"	0.1050223000848402	12.545963968135014
TU0-12812	nadC	117750	118663	-	"[""EG11546""]"	PM0-36221	"[""TERM_WC-1418""]"	0.26659506944613282	144.07863933146803
TU0-12813	yacL	134339	134752	+	"[""EG12605""]"	PM0-9961	"[""TERM_WC-2381""]"	0.17773004629742187	227.29540160884693
TU0-12815	yadGH	142779	144474	+	"[""EG12321"", ""EG12320""]"	PM_WC-303	"[""TERM_WC-2388""]"	0.17548029887593553	147.02441361021383
TU0-12816	yadI	144577	145019	+	"[""EG12322""]"	PM_WC-304	"[""TERM_WC-2389""]"	0.1474781235233926	24.687837877815923
TU0-12817	yadE	144965	146312	+	"[""EG11749""]"	PM0-44357	"[""TERM_WC-2386""]"	0.11552453009332421	13.703519759670121
TU0-12818	yadC	149713	150953	-	"[""EG11678""]"	PM0-9785	"[""TERM_WC-2382""]"	0.081546727124699445	0.0
TU0-12819	hrpB	162075	164536	+	"[""EG12329""]"	PM0-44370	"[""TERM_WC-941""]"	0.12161736185347703	126.31908906273246
TU0-1282	fldA-fur	709341	710744	-	"[""G0-10580"", ""EG10359"", ""EG10318""]"	PM0-1442	"[""TERM73"", ""TERM3""]"	0.25672117798516492	180.906279702586
TU0-12820	mrcB	164721	167266	+	"[""EG10605""]"	PM0-9962	"[""TERM_WC-1371""]"	0.12161736185347703	65.293929231894737
TU0-12821	clcA	175052	176530	+	"[""EG12331""]"	PM0-44371	"[""TERM_WC-299""]"	0.17328679513998632	312.9004038117821
TU0-12822	mtn-btuF-yadS	176999	179183	-	"[""EG11090"", ""EG12334"", ""EG12333""]"	PM0-9547	"[""TERM_WC-1390""]"	0.16119701873487099	30.927260014472331
TU0-12823	dgt	179196	180756	+	"[""EG10225""]"	PM0-9548	"[""TERM_WC-459""]"	0.16503504299046315	46.718119969740307
TU0-12825	yaeH	183707	184095	-	"[""EG12336""]"	PM_WC-306	"[""TERM_WC-2401""]"	0.050594684712404768	59.411314470388412
TU0-12826	yaeI	184255	185069	-	"[""EG12337""]"	PM_WC-307	"[""TERM_WC-2402""]"	0.099021025794277892	48.813404875547235
TU0-12827	map-glnD-dapD	185121	189506	-	"[""EG10570"", ""EG11411"", ""EG10207""]"	PM_WC-163	"[""TERM_WC-1215""]"	0.22359586469675655	210.24719157436016
TU0-1283	fur	709341	709946	-	"[""EG10359""]"	PM00348	"[""TERM73"", ""TERM3""]"	0.28881132523331055	1654.9524320784205
TU0-12830	frr	192812	193431	+	"[""EG10335""]"	PM0-44375	"[""TERM_WC-691""]"	0.25672117798516492	844.97208522037181
TU0-12831	dxr	193471	194719	+	"[""EG12715""]"	PM0-44377	"[""TERM_WC-523""]"	0.16503504299046315	78.236512480058963
TU0-12832	yaeR	211858	212268	+	"[""G6095""]"	PM0-44383	"[""TERM_WC-2407""]"	0.13329753472306641	55.377127825350698
TU0-12833	tilS	212331	213631	+	"[""G6096""]"	PM_WC-280	"[""TERM_WC-2184""]"	0.16503504299046315	162.57932155076506
TU0-12834	yaeP-rof	213676	214187	-	"[""G372"", ""G6097""]"	PM0-36224	"[""TERM_WC-2403""]"	0.15068416968694465	139.87107367020948
TU0-12835	yaeQ-arfB-nlpE	214280	215981	+	"[""EG12137"", ""EG12354"", ""G6098""]"	PM0-36225	"[""TERM_WC-2405""]"	0.14643954518872082	165.45911331783188
TU0-12836	yaeF	216177	217135	-	"[""EG12138""]"	PM0-44386	"[""TERM_WC-2400""]"	0.11363068533769595	5.6497176749902422
TU0-12837	rcsF-yaeB	218885	219995	-	"[""EG11502"", ""EG11503""]"	PM_WC-230	"[""TERM_WC-1790""]"	0.13725686743761292	178.24725832918165
TU0-12838	gmhB	222806	223410	+	"[""EG11736""]"	PM0-9966	"[""TERM_WC-829""]"	0.20386681781174862	368.11812213150836
TU0-12839	dkgB	229098	229972	+	"[""EG11648""]"	PM0-10442	"[""TERM_WC-476""]"	0.12836058899258246	49.398289067905424
TU0-12840	yafDE	231064	232551	+	"[""EG11651"", ""EG11650""]"	PM0-9742	"[""TERM_WC-2409""]"	0.24320953703857731	43.772852476203148
TU0-12841	mltD	232595	234025	-	"[""EG10246""]"	PM0-44388	"[""TERM_WC-1317""]"	0.31506690025452055	909.45951159868889
TU0-12842	gloB	234025	234926	-	"[""G6099""]"	PM0-44390	"[""TERM_WC-805""]"	0.030136833937388925	9.1332688930650878
TU0-12843	dnaQ	236067	236800	+	"[""EG10243""]"	PM_WC-59	"[""TERM_WC-497""]"	0.14440566261665527	144.35367657811327
TU0-12844	yafT	237235	238122	+	"[""G6101""]"	PM0-44392	"[""TERM_WC-2416""]"	0.1050223000848402	4.6419856637499377
TU0-12845	C0067	238462	238588	+	"[""G0-8896""]"	PM_WC-29	"[""TERM_WC-239""]"	0.12161736185347703	219.60197026977914
TU0-12846	lpcA	243468	244123	+	"[""G6106""]"	PM0-44397	"[""TERM_WC-1168""]"	0.1307824868981029	9.7851456697160586
TU0-12847	yafJ	244327	245096	+	"[""G6107""]"	PM_WC-309	"[""TERM_WC-2411""]"	0.30136833937388929	202.3567851559917
TU0-12848	yafK	245063	245993	-	"[""G6108""]"	PM0-44398	"[""TERM_WC-2412""]"	0.26659506944613282	557.97814844936704
TU0-12849	dinJ-yafQ	245959	246615	-	"[""G6110"", ""G6109""]"	PM0-10350	"[""TERM_WC-472""]"	0.18003822871686889	295.44633408895618
TU0-12850	yafL	246641	247463	+	"[""G6111""]"	PM0-44399	"[""TERM_WC-2413""]"	0.1050223000848402	20.273504808377556
TU0-12851	rayT	247544	248136	+	"[""G6112""]"	PM0-44400	"[""TERM_WC-1778""]"	0.082517521495231574	29.536321644003191
TU0-12852	lafU	250072	250829	+	"[""G6114""]"	PM_WC-151	"[""TERM_WC-1123""]"	0.091203576389466495	164.68442305883269
TU0-12853	dinB-yafNOP	250880	253163	+	"[""G6118"", ""G6117"", ""G6116"", ""G6115""]"	PM0-10387	"[""TERM_WC-468""]"	0.12377628224284738	32.002770361495664
TU0-12854	yafNOP	251969	253163	+	"[""G6118"", ""G6117"", ""G6116""]"	PM0-9802	"[""TERM_WC-2414""]"	0.1029426505782097	26.616165449164711
TU0-12855	ykfJ-prfH	253467	254204	+	"[""EG11496"", ""G6119""]"	PM_WC-595	"[""TERM_WC-3748""]"	0.11363068533769595	17.055965869188164
TU0-12856	gpt	255977	256437	+	"[""EG10414""]"	PM_WC-102	"[""TERM_WC-847""]"	0.12161736185347703	343.40607997118889
TU0-12857	frsA	256502	257773	+	"[""EG11091""]"	PM0-10206	"[""TERM_WC-693""]"	0.18733707582701223	63.005205342140769
TU0-12858	crl	257810	258232	+	"[""EG11092""]"	PM0-9747	"[""TERM_WC-337""]"	0.21660849392498288	120.52096601986047
TU0-12859	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	262550	265777	-	"[""G6126"", ""G6125"", ""G6124"", ""G6123"", ""G6122"", ""G0-10432"", ""G6121"", ""G6120""]"	PM_WC-310	"[""TERM_WC-2421""]"	0.13329753472306641	14.209645471158861
TU0-12860	ykfA-yafZ	266406	268184	-	"[""G6128"", ""G6127""]"	PM_WC-593	"[""TERM_WC-3742""]"	0.1474781235233926	17.021925017069975
TU0-12861	perR	268511	269406	-	"[""G6129""]"	PM_WC-208	"[""TERM_WC-1580""]"	0.12161736185347703	41.121262389897652
TU0-12862	insN-1I-1O-1	269450	271481	+	"[""G6132"", ""G6131"", ""G6130""]"	PM0-46127	"[""TERM_WC-1057""]"	0.1434097614951611	258.95205832699207
TU0-12863	ykfC	272071	273218	+	"[""G6133""]"	PM_WC-594	"[""TERM_WC-3745""]"	0.14440566261665527	54.348515182404384
TU0-12864	mmuPM	274343	276873	+	"[""G6136"", ""G6135""]"	PM0-44406	"[""TERM_WC-1319""]"	0.1754802988759355	97.293296908773669
TU0-12865	insA-2B-2-afuBC-insAB-2	276978	279099	-	"[""G6139"", ""G6138"", ""G0-10537"", ""G6137"", ""EG12340""]"	PM_WC-117	"[""TERM_WC-1010""]"	0.15150758045026128	20.845927994151452
TU0-12866	yagAB-ykgN	279246	281207	-	"[""EG12338"", ""EG12339"", ""G0-10433""]"	PM_WC-311	"[""TERM_WC-2423""]"	0.084530143970725044	42.888059146426762
TU0-12867	yagEF	281447	284394	+	"[""G6141"", ""G6140""]"	PM0-44411	"[""TERM_WC-2425""]"	0.087740149437967749	25.756998269009813
TU0-12868	yagGH	284495	287625	+	"[""G6143"", ""G6142""]"	PM0-44413	"[""TERM_WC-2426""]"	0.079672089719533948	22.331290027488169
TU0-12869	yagI	287626	288416	-	"[""G6144""]"	PM0-44417	"[""TERM_WC-2430""]"	0.10193340890587431	89.452682319439063
TU0-12870	insA-3B-3-insAB-3	289871	290570	-	"[""G6146"", ""G0-10538""]"	PM_WC-118	"[""TERM_WC-1011""]"	0.22359586469675655	403.74245653133175
TU0-12871	yagK	291544	292342	-	"[""G6148""]"	PM0-44418	"[""TERM_WC-2432""]"	0.094951668569855527	12.643764186761961
TU0-12872	yagML	292442	294023	-	"[""G6150"", ""G6149""]"	PM_WC-313	"[""TERM_WC-2434""]"	0.10663802777845312	2.1327605555690625
TU0-12873	yagN	294361	294884	-	"[""G6151""]"	PM0-44420	"[""TERM_WC-2438""]"	0.13329753472306641	331.29236089932027
TU0-12874	intF	294918	296320	-	"[""G6152""]"	PM_WC-136	"[""TERM_WC-1063""]"	0.11002336199364211	73.907093185609156
TU0-12875	yagP	296603	297015	-	"[""G6153""]"	PM_WC-314	"[""TERM_WC-2439""]"	0.093668537913506114	14.41184124337205
TU0-12876	paoABCD	296992	301797	-	"[""G6157"", ""G6156"", ""G6155"", ""G6154""]"	PM_WC-204	"[""TERM_WC-1548""]"	0.10542162441976353	190.35766011363168
TU0-12877	ykgJ	303075	303482	-	"[""G6159""]"	PM0-44424	"[""TERM_WC-3767""]"	0.12377628224284738	44.844147056583608
TU0-12878	ecpBCDE	303717	309343	-	"[""G6163"", ""G6162"", ""G6161"", ""G6160""]"	PM0-9969	"[""TERM_WC-535""]"	0.10663802777845312	30.472171897785582
TU0-12879	ecpA	309306	310021	-	"[""G6164""]"	PM0-44426	"[""TERM_WC-533""]"	0.091203576389466495	24.209077316819986
TU0-12880	ecpR	309968	310617	-	"[""G6165""]"	PM0-44427	"[""TERM_WC-537""]"	0.12160476851928864	219.57923074511024
