ID	Name	Symbol	Type	Coordinate	Length	Direction	Expression	Half life (s)	Product	Splices	(absolute nt position, old, new)	Comments
EG10063	ArgA	argA	mRNA	2947264	1332	+	0.0001839084	348.0	N-ACETYLTRANSFER-MONOMER	[]	[]	
EG10064	acetylglutamate kinase monomer	argB	mRNA	4154039	774	+	0.0002928604	234.0	ACETYLGLUTKIN-MONOMER	[]	[]	
EG10065	N-acetylglutamylphosphate reductase	argC	mRNA	4153024	1005	+	0.0002125475	324.0	N-ACETYLGLUTPREDUCT-MONOMER	[]	[]	
EG10066	ArgD	argD	mRNA	3488202	1221	-	0.0002239670	258.0	ACETYLORNTRANSAM-MONOMER	[]	[]	
EG10067	ArgF	argF	mRNA	289529	1005	-	0.0001665270	210.0	CHAINF-MONOMER	[]	[]	
EG10068	ArgG	argG	mRNA	3316659	1344	+	0.0002970266	228.0	ARGSUCCINSYN-MONOMER	[]	[]	
EG10069	ArgI	argI	mRNA	4476334	1005	-	0.0002623312	576.0	CHAINI-MONOMER	[]	[]	
EG10070	ArgR	argR	mRNA	3382725	471	+	0.0000900700	234.0	PD00194	[]	[]	
EG10071	arginyl-tRNA synthetase	argS	mRNA	1958086	1734	+	0.0000426231	198.0	ARGS-MONOMER	[]	[]	
EG10072	lysine / arginine / ornithine ABC transporter - periplasmic binding protein	argT	mRNA	2425813	783	-	0.0001604791	486.0	ARGT-MONOMER	[]	[]	
EG10073	3-phosphoshikimate-1-carboxyvinyltransferase	aroA	mRNA	958035	1284	+	0.0004100841	114.0	AROA-MONOMER	[]	[]	
EG10074	3-dehydroquinate synthase	aroB	mRNA	3516508	1089	-	0.0001528970	102.0	AROB-MONOMER	[]	[]	
EG10075	AroC	aroC	mRNA	2445495	1086	-	0.0001423643	168.0	AROC-MONOMER	[]	[]	
EG10076	AroD	aroD	mRNA	1772710	759	+	0.0001075088	384.0	AROD-MONOMER	[]	[]	
EG10077	shikimate dehydrogenase	aroE	mRNA	3428860	819	-	0.0000125576	264.0	AROE-MONOMER	[]	[]	
EG10078	AroF	aroF	mRNA	2739172	1071	-	0.0002486338	120.0	AROF-MONOMER	[]	[]	
EG10079	AroG	aroG	mRNA	784856	1053	+	0.0005964727	156.0	AROG-MONOMER	[]	[]	
EG10080	AroH	aroH	mRNA	1786459	1047	+	0.0000633783	204.0	AROH-MONOMER	[]	[]	
EG10081	shikimate kinase I	aroK	mRNA	3517086	522	-	0.0004467151	258.0	AROK-MONOMER	[]	[]	
EG10082	shikimate kinase II	aroL	mRNA	405629	525	+	0.0002557219	138.0	AROL-MONOMER	[]	[]	
EG10083	conserved protein	aroM	mRNA	406652	678	+	0.0000223805	222.0	EG10083-MONOMER	[]	[]	
EG10084	aromatic amino acid:H<sup>+</sup> symporter AroP	aroP	mRNA	121551	1374	-	0.0002131376	198.0	AROP-MONOMER	[]	[]	
EG10085	6-phospho-&beta;-glucosidase; cryptic	ascB	mRNA	2839012	1425	+	0.0000041628	558.0	EG10085-MONOMER	[]	[]	
EG10086	AscF	ascF	mRNA	2837546	1458	+	0.0000282496	384.0	ASCF-MONOMER	[]	[]	
EG10087	AscG DNA-binding transcriptional repressor	ascG	mRNA	2837286	1011	-	0.0000375262	354.0	EG10087-MONOMER	[]	[]	
EG10088	Asd	asd	mRNA	3572901	1104	-	0.0005569721	222.0	ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER	[]	[]	
EG10089	arylsulfatase	aslA	mRNA	3984030	1656	-	0.0000202055	276.0	ARYLSULFAT-MONOMER	[]	[]	
EG10090	predicted anaerobic sulfatase maturation enzyme	aslB	mRNA	3980981	1236	+	0.0000160477	534.0	EG10090-MONOMER	[]	[]	
EG10091	AsnA	asnA	mRNA	3925178	993	+	0.0000683302	360.0	ASNSYNA-MONOMER	[]	[]	
EG10092	AsnB	asnB	mRNA	698400	1665	-	0.0000696993	192.0	ASNSYNB-MONOMER	[]	[]	
EG10093	AsnC	asnC	mRNA	3925026	459	-	0.0001080416	372.0	PD00250	[]	[]	
EG10094	asparaginyl-tRNA synthetase	asnS	mRNA	988208	1401	-	0.0001098254	102.0	ASNS-MONOMER	[]	[]	
EG10095	AspA	aspA	mRNA	4366350	1437	-	0.0001429932	372.0	ASPARTASE-MONOMER	[]	[]	
EG10096	AspC	aspC	mRNA	984932	1191	-	0.0005077835	258.0	ASPAMINOTRANS-MONOMER	[]	[]	
EG10097	aspartyl-tRNA synthetase	aspS	mRNA	1948546	1773	-	0.0003160519	192.0	ASPS-MONOMER	[]	[]	
EG10098	ATP synthase F<sub>1</sub> complex - alpha subunit	atpA	mRNA	3917880	1542	-	0.0005641951	348.0	ATPA-MONOMER	[]	[]	
EG10099	ATP synthase F<sub>0</sub> complex - a subunit	atpB	mRNA	3920074	816	-	0.0008924725	258.0	ATPB-MONOMER	[]	[]	
EG10100	ATP synthase F1 complex - epsilon subunit	atpC	mRNA	3913995	420	-	0.0004284299	344.81999999999999	ATPC-MONOMER	[]	[]	
EG10101	ATP synthase F<sub>1</sub> complex - beta subunit	atpD	mRNA	3915398	1383	-	0.0003054045	344.81999999999999	ATPD-MONOMER	[]	[]	
EG10102	AtpE	atpE	mRNA	3919212	240	-	0.0015229863	306.0	ATPE-MONOMER	[]	[]	
EG10103	ATP synthase F<sub>0</sub> complex - b subunit	atpF	mRNA	3918911	471	-	0.0011223154	276.0	ATPF-MONOMER	[]	[]	
EG10104	ATP synthase F<sub>1</sub> complex - gamma subunit	atpG	mRNA	3916288	864	-	0.0005684692	762.0	ATPG-MONOMER	[]	[]	
EG10105	ATP synthase F<sub>1</sub> complex - delta subunit	atpH	mRNA	3918426	534	-	0.0013798700	312.0	ATPH-MONOMER	[]	[]	
EG10106	AtpI	atpI	mRNA	3920463	381	-	0.0003818952	354.0	EG10106-MONOMER	[]	[]	
EG10107	valine-pyruvate aminotransferase	avtA	mRNA	3737728	1254	+	0.0001295302	344.81999999999999	VALINE-PYRUVATE-AMINOTRANSFER-MONOMER	[]	[]	
EG10108	thiol peroxidase	bcp	mRNA	2598500	471	+	0.0005320760	174.0	EG10108-MONOMER	[]	[]	
EG10109	choline dehydrogenase	betA	mRNA	326471	1671	-	0.0000435656	384.0	CHD-MONOMER	[]	[]	
EG10110	BetB	betB	mRNA	327957	1473	-	0.0000251288	330.0	BADH-MONOMER	[]	[]	
EG10111	BetI DNA-binding transcriptional repressor	betI	mRNA	328558	588	-	0.0001018656	324.0	PD00251	[]	[]	
EG10112	choline:H<sup>+</sup> symporter	betT	mRNA	328687	2034	+	0.0000567657	702.0	BETT-MONOMER	[]	[]	
EG10113	bacterioferritin monomer	bfr	mRNA	3464747	477	-	0.0000863962	344.81999999999999	EG10113-MONOMER	[]	[]	
EG10114	6-phospho-&beta;-glucosidase B; cryptic	bglB	mRNA	3901724	1413	-	0.0000071218	396.0	EG10114-MONOMER	[]	[]	
EG10115	BglF	bglF	mRNA	3903620	1878	-	0.0000014196	390.0	BGLF-MONOMER	[]	[]	
EG10116	BglG transcriptional antiterminator (monomer)	bglG	mRNA	3904590	837	-	0.0000025206	372.0	EG10116-MONOMER	[]	[]	
EG10117	adenosylmethionine-8-amino-7-oxononanoate aminotransferase monomer	bioA	mRNA	808480	1290	-	0.0000671685	132.0	DAPASYN-MONOMER	[]	[]	
EG10118	biotin synthase monomer	bioB	mRNA	808567	1041	+	0.0001520877	162.0	BIOTIN-SYN-MONOMER	[]	[]	
EG10119	malonyl-[acp] methyltransferase	bioC	mRNA	810745	756	+	0.0000531912	126.0	EG10119-MONOMER	[]	[]	
EG10120	dethiobiotin synthetase monomer	bioD	mRNA	811493	678	+	0.0000718911	132.0	DETHIOBIOTIN-SYN-MONOMER	[]	[]	
EG10121	8-amino-7-oxononanoate synthase monomer	bioF	mRNA	809604	1155	+	0.0000404161	162.0	7KAPSYN-MONOMER	[]	[]	
EG10122	pimeloyl-[acp] methyl ester esterase	bioH	mRNA	3542866	771	-	0.0000436567	354.0	EG10122-MONOMER	[]	[]	
EG10123	bifunctional biotin-[acetyl-CoA-carboxylase] ligase and transcriptional repressor	birA	mRNA	4171105	966	+	0.0000480876	192.0	BIOTINLIG-MONOMER	[]	[]	
EG10124	biotin sulfoxide reductase	bisC	mRNA	3714417	2334	-	0.0000457659	144.0	EG10124-MONOMER	[]	[]	
EG10125	BolA DNA-binding transcriptional dual regulator	bolA	mRNA	453696	318	+	0.0001874980	344.81999999999999	EG10125-MONOMER	[]	[]	
EG10126	vitamin B12 / E colicin / bacteriophage BF23 outer membrane porin BtuB	btuB	mRNA	4161662	1845	+	0.0000374234	344.81999999999999	EG10126-MONOMER	[]	[]	
EG10127	vitamin B<sub>12</sub> ABC transporter - membrane subunit	btuC	mRNA	1793176	981	-	0.0000342401	408.0	BTUC-MONOMER	[]	[]	
EG10128	vitamin B<sub>12</sub> ABC transporter - ATP binding subunit	btuD	mRNA	1791582	750	-	0.0000540511	288.0	BTUD-MONOMER	[]	[]	
EG10129	thioredoxin/glutathione peroxidase	btuE	mRNA	1792133	552	-	0.0000608425	654.0	BTUE-MONOMER	[]	[]	
EG10130	cobinamide adenosyltransferase / cobalamin adenosyltransferase	btuR	mRNA	1326381	591	-	0.0000851940	198.0	COBALADENOSYLTRANS-MONOMER	[]	[]	
EG10131	CadA	cadA	mRNA	4356640	2148	-	0.0000051795	306.0	LYSDECARBOX-MONOMER	[]	[]	
EG10132	cadaverine:H<sup>+</sup> symporter / lysine:cadaverine antiporter	cadB	mRNA	4358054	1335	-	0.0000168368	594.0	CADB-MONOMER	[]	[]	
EG10133	CadC DNA-binding transcriptional activator	cadC	mRNA	4359957	1539	-	0.0000018799	336.0	PD00436	[]	[]	
EG10134	CarA	carA	mRNA	29651	1149	+	0.0004981596	245.99999999999997	CARBPSYN-SMALL	[]	[]	
EG10135	CarB	carB	mRNA	30817	3222	+	0.0004687331	312.0	CARBPSYN-LARGE	[]	[]	
EG10136	fused tRNA nucleotidyltransferase / 2',3'-cyclic phosphodiesterase / 2' nucleotidase and phosphatase	cca	mRNA	3199913	1239	+	0.0000583387	270.0	EG10136-MONOMER	[]	[]	
EG10137	Cdd	cdd	mRNA	2229866	885	+	0.0000199729	372.0	CYTIDEAM-MONOMER	[]	[]	
EG10138	CDP-diglyceride hydrolase / CDP-diacylglycerol pyrophosphatase	cdh	mRNA	4107953	756	+	0.0000363814	348.0	CDPDIGLYPYPHOSPHA-MONOMER	[]	[]	
EG10139	CDP-diglyceride synthetase	cdsA	mRNA	195677	858	+	0.0000947926	258.0	CDPDIGLYSYN-MONOMER	[]	[]	
EG10140	chitobiose / cellobiose PTS permease - ChbB subunit	chbB	mRNA	1819643	321	-	0.0000983198	384.0	CELA-MONOMER	[]	[]	
EG10141	chitobiose / cellobiose PTS permease - ChbC subunit	chbC	mRNA	1819238	1359	-	0.0000055690	846.0	CELB-MONOMER	[]	[]	
EG10142	chitobiose / cellobiose PTS permease - ChbA subunit	chbA	mRNA	1817829	351	-	0.0000308832	438.0	CELC-MONOMER	[]	[]	
EG10143	ChbR DNA-binding transcriptional dual regulator	chbR	mRNA	1817471	843	-	0.0000140582	342.0	EG10143-MONOMER	[]	[]	
EG10144	monoacetylchitobiose-6-phosphate hydrolase	chbF	mRNA	1816524	1353	-	0.0000188516	408.0	EG10144-MONOMER	[]	[]	
EG10145	predicted inner membrane protein	creD	mRNA	4636201	1353	+	0.0000196390	324.0	EG10145-MONOMER	[]	[]	
EG10146	CheA(S)	cheA	mRNA	1973348	1965	-	0.0005233878	624.0	CHEA-SMALL	[]	[]	
EG10146	CheA	cheA	mRNA	1973348	1965	-	0.0001098254	344.81999999999999	PROTEIN-CHEA	[]	[]	
EG10147	CheB	cheB	mRNA	1966525	1050	-	0.0002788696	432.0	CHEB-MONOMER	[]	[]	
EG10148	chemotaxis protein methyltransferase	cheR	mRNA	1967388	861	-	0.0002222169	342.0	CHER-MONOMER	[]	[]	
EG10149	CheW	cheW	mRNA	1971363	504	-	0.0008516972	344.81999999999999	CHEW-MONOMER	[]	[]	
EG10150	chemotaxis regulator transmitting signal to flagellar motor component	cheY	mRNA	1965461	390	-	0.0006780585	294.0	CHEY-MONOMER	[]	[]	
EG10151	CheZ	cheZ	mRNA	1965061	645	-	0.0002871194	420.0	CHEZ-MONOMER	[]	[]	
EG10152	molybdate ABC transporter - ATP binding subunit	modC	mRNA	795777	1059	+	0.0000681178	450.0	MODC-MONOMER	[]	[]	
EG10153	molybdenum::molybdopterin ligase	moeA	mRNA	865587	1236	-	0.0000455383	348.0	EG10153-MONOMER	[]	[]	
EG10154	molybdopterin-synthase adenylyltransferase	moeB	mRNA	864352	750	-	0.0000207316	240.0	EG10154-MONOMER	[]	[]	
EG10155	outer membrane receptor involved in uptake of ferric dihyroxybenzoylserine	cirA	mRNA	2244791	1992	-	0.0000490874	138.0	EG10155-MONOMER	[]	[]	
EG10156	ClpA	clpA	mRNA	922487	2277	+	0.0002141661	372.0	EG10156-MONOMER	[]	[]	
EG10157	ClpB chaperone	clpB	mRNA	2732195	2574	-	0.0001008017	198.0	EG10157-MONOMER	[]	[]	
EG10158	ClpP	clpP	mRNA	455901	624	+	0.0001603274	150.0	EG10158-MONOMER	[]	[]	
EG10159	ClpX	clpX	mRNA	456650	1275	+	0.0001729238	126.0	EG10159-MONOMER	[]	[]	
EG10160	2',3'-cyclic AMP 3'-nucleohydrolase [multifunctional]	cpdB	mRNA	4434588	1944	-	0.0000333280	330.0	CPDB-MONOMER	[]	[]	
EG10161	mannose-1-phosphate guanylyltransferase	cpsB	mRNA	2122544	1437	-	0.0000038223	612.0	MANNPGUANYLTRANGDP-MONOMER	[]	[]	
EG10162	phosphomannomutase	cpsG	mRNA	2121003	1371	-	0.0000900464	344.81999999999999	PHOSMANMUT-MONOMER	[]	[]	
EG10163	CpxA sensory histidine kinase	cpxA	mRNA	4102998	1374	-	0.0000598545	156.0	CPXA-MONOMER	[]	[]	
EG10164	CRP transcriptional dual regulator	crp	mRNA	3484142	633	+	0.0007185033	192.0	PD00257	[]	[]	
EG10165	Crr	crr	mRNA	2533856	510	+	0.0007318281	318.0	CRR-MONOMER	[]	[]	
EG10166	CspA DNA-binding transcriptional activator	cspA	mRNA	3718072	213	+	0.0003062004	414.0	PD03695	[]	[]	
EG10167	peptide transporter induced by carbon starvation	cstA	mRNA	629117	2106	+	0.0002053616	276.0	EG10167-MONOMER	[]	[]	
EG10168	apolipoprotein N-acyltransferase	lnt	mRNA	690104	1539	-	0.0000444694	344.81999999999999	EG10168-MONOMER	[]	[]	
EG10169	membrane protein required for colicin V production	cvpA	mRNA	2428785	489	-	0.0004544489	240.0	EG10169-MONOMER	[]	[]	
EG10170	adenylate cyclase	cyaA	mRNA	3989176	2547	+	0.0000365568	144.0	ADENYLATECYC-MONOMER	[]	[]	
EG10172	cytochrome b561	cybB	mRNA	1488926	531	+	0.0001932726	480.0	CYTOCHROME-B561-MONOMER	[]	[]	
EG10173	cytochrome <i>bd</i>-I terminal oxidase subunit I	cydA	mRNA	770681	1569	+	0.0000866558	222.0	CYDA-MONOMER	[]	[]	
EG10174	cytochrome <i>bd</i>-I terminal oxidase subunit II	cydB	mRNA	772265	1140	+	0.0001598182	234.0	CYDB-MONOMER	[]	[]	
EG10175	cyanase monomer	cynS	mRNA	358713	471	+	0.0000030939	270.0	CYANLY-MONOMER	[]	[]	
EG10176	carbonic anhydrase monomer	cynT	mRNA	358023	660	+	0.0000175517	342.0	CARBODEHYDRAT-MONOMER	[]	[]	
EG10177	cyanate transporter	cynX	mRNA	359216	1155	+	0.0000064272	774.0	CYNX-MONOMER	[]	[]	
EG10178	cytochrome <i>bo</i> terminal oxidase subunit II	cyoA	mRNA	450834	948	-	0.0009326711	192.0	CYOA-MONOMER	[]	[]	
EG10179	cytochrome <i>bo</i> terminal oxidase subunit I	cyoB	mRNA	449865	1992	-	0.0008562209	198.0	CYOB-MONOMER	[]	[]	
EG10180	cytochrome <i>bo</i> terminal oxidase subunit III	cyoC	mRNA	447884	615	-	0.0006432097	192.0	CYOC-MONOMER	[]	[]	
EG10181	cytochrome <i>bo</i> terminal oxidase subunit IV	cyoD	mRNA	447270	330	-	0.0006178112	258.0	CYOD-MONOMER	[]	[]	
EG10182	heme O synthase	cyoE	mRNA	446929	891	-	0.0002311175	312.0	HEMEOSYN-MONOMER	[]	[]	
EG10183	sulfate / thiosulfate ABC transporter - ATP binding subunit	cysA	mRNA	2538836	1098	-	0.0001148852	168.0	CYSA-MONOMER	[]	[]	
EG10184	CysB	cysB	mRNA	1331879	975	+	0.0000609302	192.0	PD00232	[]	[]	
EG10185	CysC	cysC	mRNA	2872014	606	-	0.0002483894	114.0	ADENYLYLSULFKIN-MONOMER	[]	[]	
EG10186	CysD	cysD	mRNA	2874351	909	-	0.0006690112	150.0	CYSD-MONOMER	[]	[]	
EG10187	serine acetyltransferase monomer	cysE	mRNA	3780585	822	-	0.0001550889	210.0	SERINE-O-ACETTRAN-MONOMER	[]	[]	
EG10188	CysG	cysG	mRNA	3495850	1374	+	0.0000630934	456.0	SIROHEMESYN-MONOMER	[]	[]	
EG10189	CysH	cysH	mRNA	2886334	735	-	0.0004417379	344.81999999999999	PAPSSULFOTRANS-MONOMER	[]	[]	
EG10190	sulfite reductase	cysI	mRNA	2888121	1713	-	0.0002842177	114.0	BETACOMP-MONOMER	[]	[]	
EG10191	sulfite reductase	cysJ	mRNA	2889920	1800	-	0.0004804089	294.0	ALPHACOMP-MONOMER	[]	[]	
EG10192	CysK	cysK	mRNA	2530431	972	+	0.0021029526	144.0	ACSERLYA-MONOMER	[]	[]	
EG10193	CysM	cysM	mRNA	2537605	912	-	0.0002630832	174.0	ACSERLYB-MONOMER	[]	[]	
EG10194	CysN	cysN	mRNA	2873441	1428	-	0.0002939260	114.0	CYSN-MONOMER	[]	[]	
EG10195	sulfate / thiosulfate ABC transporter - periplasmic binding protein CysP	cysP	mRNA	2541550	1017	-	0.0002733445	438.0	CYSP-MONOMER	[]	[]	
EG10196	cysteinyl-tRNA synthetase	cysS	mRNA	553834	1386	+	0.0000710043	234.0	CYSS-MONOMER	[]	[]	
EG10197	sulfate / thiosulfate ABC transporter - membrane subunit	cysU	mRNA	2540534	834	-	0.0001428128	234.0	CYST-MONOMER	[]	[]	
EG10198	sulfate / thiosulfate ABC transporter - membrane subunit	cysW	mRNA	2539701	876	-	0.0001389298	180.0	CYSW-MONOMER	[]	[]	
EG10200	CytR	cytR	mRNA	4122479	1026	-	0.0000845078	270.0	PD04028	[]	[]	
EG10201	D-alanyl-D-alanine carboxypeptidase	dacA	mRNA	663186	1212	-	0.0002928536	198.0	EG10201-MONOMER	[]	[]	
EG10202	D-alanyl-D-alanine endopeptidase	dacB	mRNA	3326985	1434	+	0.0000424073	344.81999999999999	EG10202-MONOMER	[]	[]	
EG10203	penicillin-binding protein 6	dacC	mRNA	879950	1203	+	0.0000602423	344.81999999999999	EG10203-MONOMER	[]	[]	
EG10204	DNA adenine methyltransferase	dam	mRNA	3513935	837	-	0.0000926699	186.0	EG10204-MONOMER	[]	[]	
EG10205	DapA	dapA	mRNA	2597782	879	-	0.0005174479	156.0	DIHYDRODIPICSYN-MONOMER	[]	[]	
EG10206	DapB	dapB	mRNA	28374	822	+	0.0004437898	210.0	DIHYDROPICRED-MONOMER	[]	[]	
EG10207	tetrahydrodipicolinate succinylase subunit	dapD	mRNA	185947	825	-	0.0006256108	222.0	MONOMER0-2001	[]	[]	
EG10208	<i>N</i>-succinyl-L-diaminopimelate desuccinylase subunit	dapE	mRNA	2589629	1128	+	0.0000337579	210.0	MONOMER0-1981	[]	[]	
EG10209	diaminopimelate epimerase	dapF	mRNA	3992785	825	+	0.0001865673	198.0	DIAMINOPIMEPIM-MONOMER	[]	[]	
EG10210	ATP-dependent RNA helicase	dbpA	mRNA	1407535	1374	+	0.0000316065	344.81999999999999	EG10210-MONOMER	[]	[]	
