Frame ID	Name	Stoichiometry	Modified form	Comments
1-PFK	1-phosphofructokinase	((1-PFK-MONOMER, 2))	
ABC-26-CPLX	glycine betaine / proline ABC transporter	((PROV-MONOMER, 2) (PROW-MONOMER, 2) (PROX-MONOMER, 1))	
ABC-27-CPLX	phosphate ABC transporter	((PSTB-MONOMER, 2) (PSTA-MONOMER, 1) (PSTC-MONOMER, 1) (PSTS-MONOMER, 1))	
ABC-28-CPLX	ribose ABC transporter	((RBSA-MONOMER, 2) (RBSC-MONOMER, 2) (RBSB-MONOMER, 1))	
ABC-29-CPLX	peptide ABC transporter SapABCDF	((SAPF-MONOMER, 1) (SAPD-MONOMER, 1) (SAPB-MONOMER, 1) (SAPC-MONOMER, 1) (SAPA-MONOMER, 1))	
ABC-3-CPLX	lysine / arginine / ornithine ABC transporter	((HISQ-MONOMER, 1) (HISP-MONOMER, 2) (HISM-MONOMER, 1) (ARGT-MONOMER, 1))	
ABC-304-CPLX	leucine ABC transporter	((LIVK-MONOMER, 1) (LIVM-MONOMER, 1) (LIVH-MONOMER, 1) (LIVG-MONOMER, 1) (LIVF-MONOMER, 1))	
ABC-32-CPLX	thiamin ABC transporter	((SFUC-MONOMER, 2) (SFUB-MONOMER, 2) (SFUA-MONOMER, 1))	
ABC-33-CPLX	xylose ABC transporter	((XYLG-MONOMER, 2) (XYLH-MONOMER, 2) (XYLF-MONOMER, 1))	
ABC-34-CPLX	glycerol-3-phosphate / glycerol-2-phosphate ABC transporter	((UGPC-MONOMER, 2) (UGPA-MONOMER, 1) (UGPE-MONOMER, 1) (UGPB-MONOMER, 1))	
ABC-35-CPLX	protoheme IX ABC transporter	((CPLX0-7656, 1) (CCMB-MONOMER, 1) (CCMA-MONOMER, 2))	
ABC-4-CPLX	arginine ABC transporter	((ARTP-MONOMER, 2) (ARTM-MONOMER, 1) (ARTQ-MONOMER, 1) (ARTI-MONOMER, 1) (ARTJ-MONOMER, 1))	
ABC-40-CPLX	YehW/YehX/YehY/YehZ ABC transporter	((YEHZ-MONOMER, 1) (YEHX-MONOMER, 2) (YEHW-MONOMER, 1) (YEHY-MONOMER, 1))	
ABC-41-CPLX	peptide ABC transporter YejABEF	((YEJF-MONOMER, 2) (YEJB-MONOMER, 1) (YEJE-MONOMER, 1) (YEJA-MONOMER, 1))	
ABC-42-CPLX	D-allose ABC transporter	((YJCW-MONOMER, 2) (YJCV-MONOMER, 2) (YJCX-MONOMER, 1))	
ABC-45-CPLX	phospholipid ABC transporter	((G7659-MONOMER, 1) (YRBF-MONOMER, 2) (YRBE-MONOMER, 2) (EG12799-MONOMER, 1) (G7658-MONOMER, 2))	
ABC-46-CPLX	galactofuranose / galactopyranose ABC transporter	((YJFF-MONOMER, 1) (YTFR-MONOMER, 1) (YTFT-MONOMER, 2) (YTFQ-MONOMER, 1))	
ABC-48-CPLX	YnjC/YnjD ABC transporter	((YNJC-MONOMER, 2) (YNJD-MONOMER, 2))	
ABC-49-CPLX	glutathione ABC transporter	((YLIA-MONOMER, 2) (YLIB-MONOMER, 1) (YLID-MONOMER, 1) (YLIC-MONOMER, 1))	
ABC-5-CPLX	vitamin B<sub>12</sub> ABC transporter	((BTUD-MONOMER, 2) (BTUC-MONOMER, 2) (EG12334-MONOMER, 1))	
ABC-51-CPLX	YdcS/YdcT/YdcV/YdcU ABC transporter	((YDCS-MONOMER, 1) (YDCT-MONOMER, 2) (YDCV-MONOMER, 1) (YDCU-MONOMER, 1))	
ABC-52-CPLX	YhdW/YhdX/YhdY/YhdZ ABC transporter	((YHDZ-MONOMER, 2) (YHDY-MONOMER, 1) (YHDX-MONOMER, 1) (YHDW-MONOMER, 1))	
ABC-53-CPLX	LptBFG ABC transporter	((G7889-MONOMER, 1) (YHBG-MONOMER, 2) (G7888-MONOMER, 1))	
ABC-54-CPLX	FtsE/FtsX ABC transporter	((FTSE-MONOMER, 2) (FTSX-MONOMER, 2))	
ABC-55-CPLX	YcjN/YcjO/YcjP ABC transporter	((YCJP-MONOMER, 1) (YCJO-MONOMER, 1) (YCJN-MONOMER, 1))	
ABC-56-CPLX	aliphatic sulfonate ABC transporter	((G6478-MONOMER, 1) (YCBM-MONOMER, 2) (YCBE-MONOMER, 2))	
ABC-57-CPLX	YbhF/YbhR/YbhS ABC transporter	((YBHS-MONOMER, 1) (YBHR-MONOMER, 1) (YBHF-MONOMER, 2))	
ABC-58-CPLX	autoinducer-2 ABC transporter	((YNEA-MONOMER, 1) (YDEZ-MONOMER, 1) (YDEY-MONOMER, 1) (YDEX-MONOMER, 2))	
ABC-59-CPLX	YddO/YddP/YddQ/YddR/YddS ABC transporter	((YDDR-MONOMER, 1) (YDDQ-MONOMER, 1) (YDDS-MONOMER, 1) (YDDP-MONOMER, 1) (YDDO-MONOMER, 1))	
ABC-6-CPLX	glutathione / L-cysteine  efflux transporter CydDC	((CYDD-MONOMER, 2) (CYDC-MONOMER, 2))	
ABC-60-CPLX	YphD/YphE/YphF ABC transporter	((YPHD-MONOMER, 2) (G7342-MONOMER, 1) (YPHE-MONOMER, 2))	
ABC-61-CPLX	YbbA/YbbP ABC transporter	((YBBP-MONOMER, 2) (YBBA-MONOMER, 2))	
ABC-62-CPLX	LolCDE ABC lipoprotein transporter	((YCFW-MONOMER, 1) (YCFV-MONOMER, 2) (YCFU-MONOMER, 1))	
ABC-63-CPLX	Zn<sup>2+</sup> ABC transporter	((ZNUC-MONOMER, 2) (ZNUB-MONOMER, 2) (ZNUA-MONOMER, 1))	
ABC-64-CPLX	taurine ABC transporter	((TAUA-MONOMER, 1) (TAUC-MONOMER, 2) (TAUB-MONOMER, 2))	
ABC-7-CPLX	sulfate / thiosulfate / selenite / selenate  ABC transporter  CysAUWCysP	((CYSA-MONOMER, 2) (CYSW-MONOMER, 1) (CYST-MONOMER, 1) (CYSP-MONOMER, 1))	
ABC-70-CPLX	sulfate / thiosulfate / selenate / selenite ABC transporter CysAUWSbp	((SBP-MONOMER, 1) (CYSW-MONOMER, 1) (CYST-MONOMER, 1) (CYSA-MONOMER, 2))	
ABC-8-CPLX	dipeptide ABC transporter	((DPPD-MONOMER, 1) (DPPF-MONOMER, 1) (DPPB-MONOMER, 1) (DPPC-MONOMER, 1) (DPPA-MONOMER, 1))	
ABC-9-CPLX	ferric dicitrate ABC transporter	((FECE-MONOMER, 2) (FECC-MONOMER, 1) (FECD-MONOMER, 1) (FECB-MONOMER, 1))	
ACECITLY-CPLX	citrate lyase	((CITRYLY-CPLX, 1) (CITTRANS-CPLX, 1) (ACPSUB-CPLX, 1))	
ACETOACETYL-COA-TRANSFER-CPLX	acetoacetyl-CoA transferase	((ATOA-CPLX, 1) (ATOD-CPLX, 1))	
ACETOLACTSYNI-CPLX	acetohydroxybutanoate synthase / acetolactate synthase	((LARGEILVB-MONOMER, 2) (SMALLILVN-MONOMER, 2))	
ACETOLACTSYNII-CPLX	acetohydroxybutanoate synthase / acetolactate synthase	((G8221-MONOMER, 1) (LARGEILVG-MONOMER, 1) (SMALLILVM-MONOMER, 1))	
ACETOLACTSYNIII-CPLX	acetolactate synthase / acetohydroxybutanoate synthase	((ACETOLACTSYNIII-ICHAIN-MONOMER, 2) (ACETOLACTSYNIII-HCHAIN-MONOMER, 2))	
ACETYL-COA-ACETYLTRANSFER-CPLX	acetyl-CoA acetyltransferase	((ACETYL-COA-ACETYLTRANSFER-MONOMER, 4))	
ACETYL-COA-CARBOXYLMULTI-CPLX	acetyl-CoA carboxylase	((ACETYL-COA-CARBOXYLTRANSFER-CPLX, 1) (BIOTIN-CARBOXYL-CPLX, 1) (BCCP-CPLX, 1))	
ACETYL-COA-CARBOXYLTRANSFER-CPLX	acetyl-CoA carboxyltransferase	((CARBOXYL-TRANSFERASE-ALPHA-MONOMER, 2) (CARBOXYL-TRANSFERASE-BETA-MONOMER, 2))	
ACETYLGLUTKIN-CPLX	acetylglutamate kinase	((ACETYLGLUTKIN-MONOMER, 2))	
ACETYLORNDEACET-CPLX	acetylornithine deacetylase	((ACETYLORNDEACET-MONOMER, 2))	
ACETYLORNTRANSAM-CPLX	<i>N</i>-succinyldiaminopimelate aminotransferase / acetylornithine aminotransferase	((ACETYLORNTRANSAM-MONOMER, 2))	
ACNEULY-CPLX	N-acetylneuraminate lyase	((ACNEULY-MONOMER, 4))	
ACPSUB-CPLX	citrate lyase [acyl carrier protein] component	((ACPSUB-MONOMER, 6))	
ACSERLYA-CPLX	cysteine synthase A	((ACSERLYA-MONOMER, 2))	
ACSERLYB-CPLX	cysteine synthase B	((ACSERLYB-MONOMER, 2))	
ACYLCOASYN-CPLX	fatty acyl-CoA synthetase	((ACYLCOASYN-MONOMER, 2))	
ADCLY-CPLX	aminodeoxychorismate lyase	((ADCLY-MONOMER, 2))	
ADENPRIBOSYLTRAN-CPLX	adenine phosphoribosyltransferase	((ADENPRIBOSYLTRAN-MONOMER, 2))	
ADENYLOSUCCINATE-SYN-DIMER	adenylosuccinate synthetase	((ADENYLOSUCCINATE-SYN-MONOMER, 2))	
ADENYLYLSULFKIN-CPLX	adenylylsulfate kinase	((ADENYLYLSULFKIN-MONOMER, 2))	
ADHC-CPLX	formaldehyde dehydrogenase, glutathione-dependent	((ADHC-MONOMER, 2))	
ADHE-CPLX	pyruvate formate-lyase deactivase [multifunctional]	((ADHE-MONOMER, 40))	
AERGLYC3PDEHYDROG-CPLX	glycerol-3-phosphate dehydrogenase, aerobic	((AERGLYC3PDEHYDROG-MONOMER, 2))	
AGMATIN-CPLX	agmatinase	((AGMATIN-MONOMER, 2))	
AIRS-CPLX	phosphoribosylformylglycinamide cyclo-ligase	((AIRS-MONOMER, 2))	
AKBLIG-CPLX	2-amino-3-ketobutyrate CoA ligase	((AKBLIG-MONOMER, 2))	
ALAS-CPLX	alanyl-tRNA synthetase and DNA-binding transcriptional repressor	((ALAS-MONOMER, 2))	
ALD-CPLX	aldehyde dehydrogenase A, NAD-linked	((LACTALDDEHYDROG-MONOMER, 4))	
ALKAPHOSPHA-CPLX	alkaline phosphatase	((ALKAPHOSPHA-MONOMER, 2))	
ALPHA-SUBUNIT-CPLX	trimer complex of formate dehydrogenase-N &alpha;, &beta; and &gamma; subunits	((FDNI-MONOMER, 1) (FDNH-MONOMER, 1) (FDNG-MONOMER, 1))	
ALPHAGALACTOSID-CPLX	&alpha;-galactosidase	((ALPHAGALACTOSID-MONOMER, 2))	
AMINEOXID-CPLX	copper-containing amine oxidase	((AMINEOXID-MONOMER, 2))	
AMP-NUCLEOSID-CPLX	AMP nucleosidase	((AMP-NUCLEOSID-MONOMER, 6))	
ANGLYC3PDEHYDROG-CPLX	glycerol-3-phosphate-dehydrogenase, anaerobic	((ANGLYC3PDEHYDROGSUBUNITA-MONOMER, 1) (ANGLYC3PDEHYDROGSUBUNITB-MONOMER, 1) (ANGLYC3PDEHYDROGSUBUNITC-MONOMER, 1))	
ANSA-CPLX	asparaginase I	((ANSA-MONOMER, 4))	
ANSB-CPLX	asparaginase II	((ANSB-MONOMER, 4))	
ANTHRANSYN-CPLX	anthranilate synthase	((ANTHRANSYNCOMPI-MONOMER, 2) (ANTHRANSYNCOMPII-MONOMER, 2))	
APHA-CPLX	acid phosphatase / phosphotransferase	((APHA-MONOMER, 4))	
APO-ENTB	apo-EntB multimer	((ENTB-MONOMER, 2))	(ENTB-CPLX)
APORNAP-CPLX	RNA polymerase, core enzyme	((EG10893-MONOMER, 2) (RPOC-MONOMER, 1) (RPOB-MONOMER, 1))	
APP-UBIOX-CPLX	cytochrome <i>bd</i>-II terminal oxidase	((APPC-MONOMER, 1) (APPB-MONOMER, 1))	
ARABISOM-CPLX	L-arabinose isomerase	((ARABISOM-MONOMER, 6))	
ARCB-CPLX	ArcB sensory histidine kinase	((ARCB-MONOMER, 2))	
ARGDECARBOXBIO-CPLX	arginine decarboxylase, biosynthetic	((ARGDECARBOXBIO-MONOMER, 4))	
ARGDECARBOXDEG-CPLX	arginine decarboxylase, degradative	((ARGDECARBOXDEG-MONOMER, 10))	
AROC-CPLX	chorismate synthase	((AROC-MONOMER, 4))	
AROD-CPLX	3-dehydroquinate dehydratase	((AROD-MONOMER, 2))	
AROF-CPLX	2-dehydro-3-deoxyphosphoheptonate aldolase	((AROF-MONOMER, 2))	
AROG-CPLX	2-dehydro-3-deoxyphosphoheptonate aldolase	((AROG-MONOMER, 4))	
AROH-CPLX	2-dehydro-3-deoxyphosphoheptonate aldolase	((AROH-MONOMER, 2))	
ASNS-CPLX	asparaginyl-tRNA synthetase	((ASNS-MONOMER, 2))	
ASNSYNA-CPLX	asparagine synthetase A	((ASNSYNA-MONOMER, 2))	
ASNSYNB-CPLX	asparagine synthetase B	((ASNSYNB-MONOMER, 2))	
ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX	aspartate semialdehyde dehydrogenase	((ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER, 2))	
ASPAMINOTRANS-DIMER	aspartate aminotransferase, PLP-dependent	((ASPAMINOTRANS-MONOMER, 2))	
ASPARTASE-CPLX	aspartate ammonia-lyase	((ASPARTASE-MONOMER, 4))	
ASPCARBCAT-TRIMER	aspartate carbamoyltransferase, catalytic subunit	((ASPCARBCAT-MONOMER, 3))	
ASPCARBREG-DIMER	aspartate carbamoyltransferase, regulatory subunit	((ASPCARBREG-MONOMER, 2))	
ASPCARBTRANS-CPLX	aspartate transcarbamylase	((ASPCARBCAT-TRIMER, 2) (ASPCARBREG-DIMER, 3))	
ASPKINIHOMOSERDEHYDROGI-CPLX	aspartate kinase / homoserine dehydrogenase	((ASPKINIHOMOSERDEHYDROGI-MONOMER, 4))	
ASPKINIIHOMOSERDEHYDROGII-CPLX	aspartate kinase / homoserine dehydrogenase	((ASPKINIIHOMOSERDEHYDROGII-MONOMER, 2))	
ASPKINIII-CPLX	aspartate kinase III	((ASPKINIII-MONOMER, 2))	
ASPS-CPLX	aspartyl-tRNA synthetase	((ASPS-MONOMER, 2))	
ATOA-CPLX	&beta; complex	((ATOA-MONOMER, 2))	
ATOD-CPLX	&alpha; complex	((ATOD-MONOMER, 2))	
ATPA-CPLX	ATP synthase F<sub>1</sub> complex - alpha subunit	((ATPA-MONOMER, 3))	
ATPASE-1-CPLX	K<sup>+</sup> transporting ATPase	((MONOMER0-12, 1) (EG10513-MONOMER, 1) (KDPB-MONOMER, 1) (EG10515-MONOMER, 1))	
ATPD-CPLX	ATP synthase F<sub>1</sub> complex - beta subunit	((ATPD-MONOMER, 3))	
ATPE-CPLX	ATP synthase F<sub>0</sub> complex - subunit c	((ATPE-MONOMER, 10))	
ATPF-CPLX	ATP synthase F<sub>0</sub> complex - b subunit	((ATPF-MONOMER, 2))	
ATPSYN-CPLX	ATP synthase / thiamin triphosphate synthase	((F-O-CPLX, 1) (F-1-CPLX, 1))	
B1-CPLX	ribonucleoside diphosphate reductase 1, &alpha; subunit dimer	((NRDA-MONOMER, 2))	
B2-CPLX	ribonucleoside diphosphate reductase 1, &beta; subunit dimer	((NRDB-MONOMER, 2))	
BADH-CPLX	betaine aldehyde dehydrogenase	((BADH-MONOMER, 4))	
BCCP-CPLX	biotin carboxyl carrier protein (dimer)	((BCCP-BIOTIN, 2))	(BCCP-BIOTIN-CO2)
BETAGALACTOSID-CPLX	&beta;-galactosidase	((BETAGALACTOSID-MONOMER, 4))	
BIOTIN-CARBOXYL-CPLX	biotin carboxylase	((BIOTIN-CARBOXYL-MONOMER, 2))	
BIOTIN-SYN-CPLX	biotin synthase	((BIOTIN-SYN-MONOMER, 2))	
BRANCHED-CHAINAMINOTRANSFER-CPLX	branched-chain amino-acid aminotransferase	((BRANCHED-CHAINAMINOTRANSFER-MONOMER, 6))	
CARBODEHYDRAT-CPLX	carbonic anhydrase 1	((CARBODEHYDRAT-MONOMER, 2))	
CARBPSYN-CPLX	carbamoyl phosphate synthetase	((CARBPSYN-LARGE, 2) (CARBPSYN-SMALL, 2))	
CARNDEHYDRA-CPLX	&gamma;-butyrobetainyl-CoA:carnitine CoA transferase	((CARNDEHYDRA-MONOMER, 2))	
CFA-CPLX	cyclopropane fatty acyl phospholipid synthase	((CFA-MONOMER, 2))	
CHEA-CPLX	CheA(L) histidine kinase	((PROTEIN-CHEA, 2))	
CHEZ-CPLX	CheZ	((CHEZ-MONOMER, 2))	
CHORISMUTPREPHENDEHYDRAT-CPLX	chorismate mutase / prephenate dehydratase	((CHORISMUTPREPHENDEHYDRAT-MONOMER, 2))	
CHORISMUTPREPHENDEHYDROG-CPLX	chorismate mutase / prephenate dehydrogenase	((CHORISMUTPREPHENDEHYDROG-MONOMER, 2))	
CITLY-CPLX	citrate lyase, inactive	((ACPSUB-CPLX, 1) (CITTRANS-CPLX, 1) (CITRYLY-CPLX, 1))	(ACECITLY-CPLX)
CITRATE-SI-SYNTHASE	citrate synthase	((CITSYN-MONOMER, 6))	
CITRYLY-CPLX	citrate lyase, citryl-ACP lyase component	((CITRYLY-MONOMER, 6))	
CITTRANS-CPLX	citrate lyase, citrate-ACP transferase component	((CITTRANS-MONOMER, 6))	
COADTRI-CPLX	phosphopantetheine adenylyltransferase	((PANTEPADENYLYLTRAN-MONOMER, 6))	
COBU-CPLX	cobinamide-P guanylyltransferase / cobinamide kinase	((COBU-MONOMER, 2))	
CPLX-123	PurR-Hypoxanthine DNA-binding transcriptional repressor	((PC00033, 1) (HYPOXANTHINE, 1))	
CPLX-124	RhaS-L-rhamnose DNA-binding transcriptional activator	((PC00086, 1) (RHAMNOSE, 1))	
CPLX-125	TrpR-Tryptophan DNA-binding transcriptional repressor	((TRP, 1) (PC00007, 1))	
CPLX-127	Cra-fructose-1-phosphate	((PC00061, 1) (FRU1P, 1))	
CPLX-128	Cra-fructose-1,6-bisphosphate	((PC00061, 1) (FRUCTOSE-16-DIPHOSPHATE, 1))	
CPLX-153	&beta;-glucoside PTS permease AscF - cryptic	((ASCF-MONOMER, 2))	
CPLX-154	&beta;-glucoside PTS permease BglF - cryptic	((BGLF-MONOMER, 2))	
CPLX-155	chitobiose / cellobiose PTS permease	((CELC-MONOMER, 1) (CELB-MONOMER, 2) (CELA-MONOMER, 1))	
CPLX-156	mannitol PTS permease - cryptic	((CMTB-MONOMER, 1) (CMTA-MONOMER, 2))	
CPLX-157	glucose PTS permease	((PTSG-MONOMER, 2) (CRR-MONOMER, 1))	
CPLX-158	fructose PTS permease	((FRUB-MONOMER, 1) (FRUA-MONOMER, 2))	
CPLX-159	PTS permease - unknown specificity	((FRVB-MONOMER, 2) (FRVA-MONOMER, 1))	
CPLX-160	PTS permease - unknown specificity	((FRWC-MONOMER, 2) (FRWB-MONOMER, 1) (EG11912-MONOMER, 1))	
CPLX-163	2-<I>O</I>-&alpha;-mannosyl-D-glycerate PTS permease	((HRSA-MONOMER, 2))	
CPLX-164	maltose / glucose PTS permease	((MALX-MONOMER, 2) (CRR-MONOMER, 1))	
CPLX-165	mannose PTS permease	((MANZ-MONOMER, 2) (MANY-MONOMER, 1) (MANX-MONOMER, 2))	
CPLX-166	mannitol PTS permease	((MTLA-MONOMER, 2))	
CPLX-167	N-acetylglucosamine PTS permease	((NAGE-MONOMER, 2))	
CPLX-168	trehalose PTS permease	((TREB-MONOMER, 2) (CRR-MONOMER, 1))	
CPLX-169	glucitol/sorbitol PTS permease	((G8210-MONOMER, 1) (GUTB-MONOMER, 1) (GUTA-MONOMER, 1))	
CPLX-170	galactosamine PTS permease - cryptic	((AGAB-MONOMER, 1) (AGAC-MONOMER, 2) (AGAD-MONOMER, 1))	
CPLX-171	hydroxypyruvate isomerase	((G6277-MONOMER, 2))	
CPLX-172	AraC-Arabinose DNA-binding transcriptional activator	((PC00003, 1) (ARABINOSE, 1))	
CPLX-3942	sulfur transfer protein complex	((G7712-MONOMER, 2) (G7713-MONOMER, 2) (G7714-MONOMER, 2))	
CPLX-3944	FecAR Signal Transduction System	((EG10286-MONOMER, 1) (EG10292-MONOMER, 1))	
CPLX-3945	curli secretion and assembly complex	((G6543-MONOMER, 1) (G6545-MONOMER, 1) (G6544-MONOMER, 1))	
CPLX-3946	exonuclease VII	((EG11072-MONOMER, 1) (EG11098-MONOMER, 4))	
CPLX-63	trimethylamine N-oxide reductase III	((G7022-MONOMER, 1) (G7023-MONOMER, 1))	
CPLX-64	allantoinase	((G6281-MONOMER, 4))	
CPLX-7	arsenite:H<sup>+</sup> antiporter	((ARSF-MONOMER, 2))	
CPLX-722	acid phosphatase	((APPA-MONOMER, 2))	
CPLX-7524	allantoate amidohydrolase	((G6285-MONOMER, 2))	
CPLX-8029	thiazole synthase	((CPLX0-3949, 6))	
CPLX-8331	MoaC dimer	((EG11666-MONOMER, 2))	
CPLX-8332	MoaC hexamer	((CPLX-8331, 3))	
CPLX-8401	predicted 5-keto 4-deoxyuronate isomerase	((G7463-MONOMER, 6))	
CPLX0-0	primosomal protein DnaT	((EG10244-MONOMER, 3))	
CPLX0-1	reduced flavorubredoxin	((G7413-MONOMER, 4))	(CPLX0-2)
CPLX0-1021	2-methylisocitrate lyase	((G6196-MONOMER, 4))	
CPLX0-1041	CsrA complex with CsrB RNA	((CSRB-RNA, 1) (EG11447-MONOMER, 18))	
CPLX0-1081	RNase PH	((EG10863-MONOMER, 1))	
CPLX0-1101	tRNA-guanine transglycosylase	((EG10996-MONOMER, 3))	
CPLX0-1121	23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase	((G7845-MONOMER, 2))	
CPLX0-1141	selenocysteine synthase	((EG10941-MONOMER, 10))	
CPLX0-1142	formyl-CoA transferase	((G7237-MONOMER, 2))	
CPLX0-1161	HslU hexamer	((EG11881-MONOMER, 6))	
CPLX0-1162	HslV hexamer	((EG11676-MONOMER, 6))	
CPLX0-1163	HslVU protease	((CPLX0-1161, 2) (CPLX0-1162, 2))	
CPLX0-1221	ADP-sugar pyrophosphorylase	((G7740-MONOMER, 2))	
CPLX0-1241	MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity	((EG11249-MONOMER, 2))	
CPLX0-1242	MazE-MazF antitoxin/toxin complex and DNA-binding transcriptional repressor	((CPLX0-1241, 2) (CPLX0-841, 1))	
CPLX0-1261	transketolase II	((TRANSKETOII-MONOMER, 1))	
CPLX0-1262	D-arabinose 5-phosphate isomerase	((G7662-MONOMER, 4))	
CPLX0-1321	HflK-HflC complex; regulator of FtsH protease	((EG10436-MONOMER, 1) (EG10435-MONOMER, 1))	
CPLX0-1341	SufBC<sub>2</sub>D Fe-S cluster scaffold complex	((G6909-MONOMER, 1) (G6908-MONOMER, 2) (G6907-MONOMER, 1))	
CPLX0-1342	SufE homodimer	((G6905-MONOMER, 2))	
CPLX0-1382	RNase P	((RNPB-RNA, 1) (EG10862-MONOMER, 1))	
CPLX0-1401	2,3-diaminopropionate ammonia-lyase	((G7490-MONOMER, 2))	
CPLX0-1421	bacterioferritin	((EG10113-MONOMER, 24))	
CPLX0-1441	ecotin homodimer; serine protease inhibitor	((EG10255-MONOMER, 2))	
CPLX0-1461	HF-I, host factor for RNA phage Q &beta; replication	((EG10438-MONOMER, 6))	
CPLX0-1521	Dps complex; stationary phase nucleoid component that sequesters iron and protects DNA from damage	((EG11415-MONOMER, 12))	
CPLX0-1541	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	((EG11090-MONOMER, 2))	
CPLX0-1581	palmitoyl transferase for Lipid A	((EG12180-MONOMER, 2))	
CPLX0-1601	putative selenate reductase	((G6845-MONOMER, 1) (G6846-MONOMER, 1) (G6847-MONOMER, 1) (G6848-MONOMER, 1))	
CPLX0-1621	ribonuclease G (RNAse G)	((EG11299-MONOMER, 2))	
CPLX0-1642	ribonuclease E inhibitor protein A	((EG11879-MONOMER, 3))	
